rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.15593415451,80.03540243856347,688300,联瑞新材,bottom_area,2023-08-18,42.0,2023-08-14,41.55,1.0830324909747362,3.9470517448856817,28.974358974358978,False,-0.3559,0.4407,2,2,2,100.0,24.003852247235756,26.809910956252438,18.916967509025266,1.0830324909747362,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
2,92.25163760010909,78.82934390771447,600935,华塑股份,bottom_area,2023-08-18,3.7,2023-06-27,3.65,1.3698630136986376,7.671232876712336,28.571428571428577,True,-0.5376,0.3201,1,1,1,100.0,28.50877192982458,28.50877192982458,18.630136986301363,1.3698630136986376,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
3,90.59412797071484,76.00030567685592,002150,正泰电源,bottom_area,2023-08-18,13.79,2023-08-18,13.74,0.3639010189228452,3.7845705967976677,28.4375,False,-2.6817,1.5474,1,1,1,100.0,164.87025948103792,164.87025948103792,19.636098981077154,0.3639010189228452,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
4,90.46477430418095,76.90749602853145,002219,新里程,bottom_area,2023-08-18,3.71,2023-08-07,3.67,1.0899182561307912,6.267029972752043,29.42307692307693,False,-2.3684,0.424,1,1,1,100.0,23.938223938223942,23.938223938223942,18.91008174386921,1.0899182561307912,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
5,89.94202043453414,77.12133769715538,002755,奥赛康,bottom_area,2023-08-18,7.82,2023-08-08,7.7,1.5584415584415598,6.363636363636354,31.00358422939068,False,-2.7363,0.3094,1,1,1,100.0,30.831099195710454,30.831099195710454,18.441558441558442,1.5584415584415598,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
6,89.66748327469448,76.27668709567584,002519,银河电子,bottom_area,2023-08-18,5.4,2023-08-17,5.34,1.123595505617987,4.494382022471914,28.03234501347709,False,-2.3508,1.195,1,1,1,100.0,20.959595959595962,20.959595959595962,18.876404494382015,1.123595505617987,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
7,88.98314977391205,79.05702309818294,688328,深科达,bottom_area,2023-08-18,22.46,2023-08-17,21.7,3.5023041474654453,5.898617511520743,31.04544010168414,False,0.0445,3.8197,2,2,2,100.0,25.92621803443088,29.170984455958543,16.497695852534555,3.5023041474654453,历史2/2次成功; 当前距低点3.50%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
8,87.60461967507636,75.14729653830956,002819,东方中科,bottom_area,2023-08-18,25.71,2023-08-17,25.31,1.5804030027657137,5.175819834057694,27.68571428571429,False,-2.6874,0.6164,1,1,1,100.0,20.487179487179493,20.487179487179493,18.41959699723429,1.5804030027657137,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
9,84.74131029057284,72.20911164231858,688248,南网科技,bottom_area,2023-08-18,30.78,2023-08-17,30.41,1.216705031239727,4.406445248273593,29.246161005118655,False,-2.0057,1.858,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,18.783294968760273,1.216705031239727,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
10,81.48466658974034,72.15227070058444,002045,国光电器,bottom_area,2023-08-18,13.7,2023-08-14,13.26,3.318250377073903,10.030165912518854,28.20790471034109,True,-4.3296,5.2077,3,4,3,75.0,30.875707313510432,33.77563329312426,16.681749622926098,3.318250377073903,历史3/4次成功; 当前距低点3.32%; 最新日涨幅-4.33%; 状态bottom_area; 底部已确认
11,78.29043323022823,66.76557981975704,300604,长川科技,bottom_area,2023-08-18,35.35,2023-08-17,34.91,1.2603838441707387,4.726439415640234,29.716126434467494,False,-1.9417,1.976,2,4,2,50.0,29.834704217560827,36.28082648300379,18.73961615582926,1.2603838441707387,历史2/4次成功; 当前距低点1.26%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
12,71.51148415980933,59.77965425267524,603348,文灿股份,bottom_area,2023-08-18,41.08,2023-08-18,41.01,0.17069007559131988,5.2913923433309,30.112474437627817,False,-4.9074,1.8451,2,4,2,50.0,28.97219153238415,31.539888682745836,19.82930992440868,0.17069007559131988,历史2/4次成功; 当前距低点0.17%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
13,68.25817213661432,59.52747570053576,300539,横河精密,bottom_area,2023-08-18,11.55,2023-08-17,11.27,2.484472049689451,4.8802129547471225,27.524115755627015,False,-1.1976,1.1471,1,2,1,50.0,39.25845147219192,39.25845147219192,17.51552795031055,2.484472049689451,历史1/2次成功; 当前距低点2.48%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
14,65.80681531914892,54.83901276595744,300763,锦浪科技,bottom_area,2023-08-18,81.09,2023-08-18,81.09,0.0,3.8352447897397948,30.603337612323482,False,-2.4423,1.6873,1,2,1,50.0,35.693617021276594,35.693617021276594,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
15,64.4953462652114,58.4168374984779,688262,国芯科技,bottom_area,2023-08-18,32.56,2023-08-17,31.14,4.560051380860635,7.4823378291586335,32.74298056155507,True,0.6803,1.8698,1,2,1,50.0,27.063197026022312,27.063197026022312,15.439948619139365,4.560051380860635,历史1/2次成功; 当前距低点4.56%; 最新日涨幅0.68%; 状态bottom_area; 底部已确认
16,63.866471872482556,54.04361849439654,002386,天原股份,bottom_area,2023-08-18,6.03,2023-08-17,5.98,0.8361204013377896,2.508361204013369,27.864897466827493,False,-0.1656,0.5402,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,19.163879598662213,0.8361204013377896,历史1/3次成功; 当前距低点0.84%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
17,63.53086054752693,56.94817830496738,300473,德尔股份,bottom_area,2023-08-18,16.42,2023-08-17,15.79,3.989867004433202,5.763141228625714,29.665924276169264,False,0.2442,1.7526,1,2,1,50.0,21.37137137137137,21.37137137137137,16.0101329955668,3.989867004433202,历史1/2次成功; 当前距低点3.99%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
18,63.052380274214215,55.508411205755394,300635,中达安,bottom_area,2023-08-18,13.73,2023-08-14,13.33,3.0007501875468896,6.826706676669168,27.475516866158866,False,-1.6476,3.4809,1,2,1,50.0,23.97914856646394,23.97914856646394,16.999249812453108,3.0007501875468896,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
19,60.2665764468521,52.76686211697109,688286,敏芯股份,bottom_area,2023-08-18,48.28,2023-08-16,47.01,2.701552861093391,7.679217187832375,28.338414634146336,False,-0.8624,0.8509,1,3,1,33.33333333333333,25.016501650165008,25.016501650165008,17.29844713890661,2.701552861093391,历史1/3次成功; 当前距低点2.70%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
20,59.60523952739857,52.263633135031014,001266,宏英智能,bottom_area,2023-08-18,26.24,2023-08-17,25.53,2.7810419114766836,5.875440658049354,27.51277683134582,False,-0.6061,5.7786,1,3,1,33.33333333333333,23.285351397121083,23.285351397121083,17.218958088523316,2.7810419114766836,历史1/3次成功; 当前距低点2.78%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
21,58.67978723404255,48.89982269503546,002240,盛新锂能,bottom_area,2023-08-18,24.88,2023-08-18,24.88,0.0,3.657556270096464,29.518413597733705,False,-3.3035,0.993,1,3,1,33.33333333333333,33.42198581560282,33.42198581560282,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
22,58.53372486010978,48.99315781544258,688117,圣诺生物,bottom_area,2023-08-18,25.06,2023-08-18,25.0,0.2399999999999949,7.920000000000002,28.714000570287997,False,-6.8401,16.7321,1,3,1,33.33333333333333,24.6076585059636,24.6076585059636,19.760000000000005,0.2399999999999949,历史1/3次成功; 当前距低点0.24%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
23,56.03348613354493,50.577024915490654,688355,明志科技,bottom_area,2023-08-18,22.45,2023-08-17,21.51,4.370060437006033,6.741050674105063,29.359605911330043,False,-1.1013,2.2156,1,4,1,25.0,35.08474576271185,35.08474576271185,15.62993956299397,4.370060437006033,历史1/4次成功; 当前距低点4.37%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
