rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.24797615403155,80.48701623125972,002563,森马服饰,bottom_area,2024-08-15,4.9,2024-07-30,4.78,2.510460251046027,7.531380753138063,29.080118694362017,True,1.2397,0.5474,1,1,1,100.0,28.929384965831446,28.929384965831446,17.489539748953973,2.510460251046027,历史1/1次成功; 当前距低点2.51%; 最新日涨幅1.24%; 状态bottom_area; 底部已确认
2,87.0313392683844,79.03142372407035,603218,日月股份,bottom_area,2024-08-15,9.8,2024-07-05,9.36,4.700854700854714,10.256410256410266,27.216174183514774,True,0.0,0.4943,1,1,1,100.0,47.95361527967258,47.95361527967258,15.299145299145286,4.700854700854714,历史1/1次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,87.01638406654509,79.17052780395854,002552,宝鼎科技,bottom_area,2024-08-15,11.12,2024-07-25,10.61,4.80678605089538,10.084825636192276,30.197368421052634,True,0.9991,0.807,1,1,1,100.0,52.23596574690771,52.23596574690771,15.193213949104623,4.80678605089538,历史1/1次成功; 当前距低点4.81%; 最新日涨幅1.00%; 状态bottom_area; 底部已确认
4,86.6347532057309,76.6980152671756,002687,乔治白,bottom_area,2024-08-15,4.06,2024-07-25,3.93,3.307888040712454,5.852417302798981,32.82051282051282,False,-0.4902,1.0001,1,1,1,100.0,64.00000000000001,64.00000000000001,16.692111959287548,3.307888040712454,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,84.97876597229329,75.3937463612896,301606,绿联科技,bottom_area,2024-08-15,29.89,2024-08-13,28.9,3.425605536332187,5.294117647058828,30.34466136418415,False,0.572,14.4662,1,1,1,100.0,21.957671957671955,21.957671957671955,16.57439446366781,3.425605536332187,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
6,84.20151208859741,74.78285764719726,001218,丽臣实业,bottom_area,2024-08-15,14.26,2024-07-25,13.78,3.4833091436865056,6.603773584905662,30.404040404040412,False,-1.1781,0.889,2,2,2,100.0,25.18711018711019,29.999999999999993,16.516690856313495,3.4833091436865056,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
7,83.89489521510086,73.837294507614,603368,柳药集团,bottom_area,2024-08-15,16.9,2024-07-31,16.41,2.985984156002428,8.470444850700796,31.908713692946062,True,0.4159,1.2534,2,3,2,66.66666666666666,37.89608449802624,42.85714285714285,17.014015843997573,2.985984156002428,历史2/3次成功; 当前距低点2.99%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
8,74.41303222057074,66.58270644400935,600343,航天动力,bottom_area,2024-08-15,8.01,2024-08-13,7.71,3.8910505836575857,5.05836575875486,31.16071428571428,False,1.1364,3.6305,2,4,2,50.0,38.62527835886361,55.72413793103447,16.108949416342416,3.8910505836575857,历史2/4次成功; 当前距低点3.89%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
9,73.70328567191159,65.26484031148912,000983,山西焦煤,bottom_area,2024-08-15,8.09,2024-08-14,7.83,3.3205619412515937,4.725415070242646,27.834101382488473,False,2.5349,0.716,2,4,2,50.0,24.546889986789015,27.212389380530986,16.67943805874841,3.3205619412515937,历史2/4次成功; 当前距低点3.32%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
10,72.00695757071546,64.3545424292845,600058,五矿发展,bottom_area,2024-08-15,6.24,2024-07-25,6.01,3.826955074875215,8.153078202995012,31.85941043083901,True,0.8078,0.4245,1,2,1,50.0,99.54954954954954,99.54954954954954,16.173044925124785,3.826955074875215,历史1/2次成功; 当前距低点3.83%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
11,69.63317320872277,60.98840000000001,300424,航新科技,bottom_area,2024-08-15,12.84,2024-08-15,12.5,2.719999999999999,3.519999999999996,28.3256880733945,False,-0.3879,5.4804,1,2,1,50.0,52.29885057471265,52.29885057471265,17.28,2.719999999999999,历史1/2次成功; 当前距低点2.72%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
