rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.76236811318556,83.33760397255892,300563,神宇股份,bottom_area,2025-10-30,37.3,2025-10-23,36.68,1.6902944383860345,6.27044711014176,28.776699029126213,False,-2.356,4.3046,4,4,4,100.0,15.86814673160799,20.477137176938378,8.309705561613965,1.6902944383860345,历史4/4次成功; 当前距低点1.69%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
2,86.24841918118345,79.31802648619708,002678,珠江钢琴,bottom_area,2025-10-30,4.99,2025-10-30,4.96,0.6048387096774244,3.83064516129033,29.0414878397711,False,-2.1569,3.1054,4,4,4,100.0,20.79063841000859,35.5191256830601,9.395161290322577,0.6048387096774244,历史4/4次成功; 当前距低点0.60%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
3,84.34060374455629,78.7666310160428,601619,嘉泽新能,bottom_area,2025-10-30,4.31,2025-10-29,4.25,1.4117647058823437,3.7647058823529442,28.451178451178453,False,-1.8223,2.2609,1,1,1,100.0,37.878787878787875,37.878787878787875,8.588235294117657,1.4117647058823437,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
4,81.06672339285569,75.4135863198996,301117,佳缘科技,bottom_area,2025-10-30,32.71,2025-10-30,32.32,1.2066831683168335,3.496287128712879,27.370786516853933,False,-5.5443,13.9718,1,1,1,100.0,27.552816901408463,27.552816901408463,8.793316831683168,1.2066831683168335,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-5.54%; 状态bottom_area; 底部未确认
5,81.0443872876942,76.76516014178891,603305,旭升集团,bottom_area,2025-10-30,14.71,2025-10-23,14.4,2.1527777777777812,5.416666666666662,29.064039408867,False,-1.8679,4.0221,5,6,5,83.33333333333334,22.312688934349005,32.41061130334487,7.84722222222222,2.1527777777777812,历史5/6次成功; 当前距低点2.15%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
6,80.21535954627413,75.84433099672599,300141,和顺电气,bottom_area,2025-10-30,11.4,2025-10-23,11.17,2.0590868397493325,8.504923903312438,27.935483870967744,True,-3.7975,6.3216,1,1,1,100.0,31.123919308357333,31.123919308357333,7.940913160250668,2.0590868397493325,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-3.80%; 状态bottom_area; 底部已确认
7,79.915,72.65,301112,信邦智能,bottom_area,2025-10-30,44.25,2025-10-30,44.25,0.0,6.214689265536723,28.62903225806452,False,-6.8421,5.6023,1,1,1,100.0,146.66666666666666,146.66666666666666,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
8,78.75859983845362,77.09906832298137,301009,可靠股份,bottom_area,2025-10-30,13.38,2025-09-23,12.88,3.881987577639751,9.627329192546572,30.566037735849054,True,-0.5204,2.7632,1,1,1,100.0,53.96648044692738,53.96648044692738,6.118012422360249,3.881987577639751,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
9,76.69706162060591,73.62917915578167,605488,福莱新材,bottom_area,2025-10-30,30.96,2025-10-23,30.1,2.857142857142855,6.312292358803982,27.64423076923077,False,-1.9322,1.7912,1,1,1,100.0,27.975617581007374,27.975617581007374,7.142857142857145,2.857142857142855,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
10,76.24285925368375,74.05197249352042,600706,曲江文旅,bottom_area,2025-10-30,10.14,2025-10-13,9.8,3.4693877551020393,6.632653061224475,31.420573827851634,False,-1.0732,2.9269,2,2,2,100.0,21.086970834156286,24.578313253012034,6.530612244897961,3.4693877551020393,历史2/2次成功; 当前距低点3.47%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
11,75.14287619048433,71.54236506696662,301498,乖宝宠物,bottom_area,2025-10-30,71.87,2025-10-28,70.17,2.4226877583012723,4.859626621063128,30.901033973412105,False,-2.1245,1.8459,1,1,1,100.0,11.430608365019017,11.430608365019017,7.577312241698728,2.4226877583012723,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
