rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.80524152673152,77.22194915367959,600403,大有能源,bottom_area,2025-11-20,8.31,2025-11-20,8.31,0.0,9.26594464500601,30.749999999999993,False,-9.9675,4.6362,4,4,4,100.0,24.58037179397625,37.18411552346569,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
2,86.85227021174997,76.14264207624355,002664,信质集团,bottom_area,2025-11-20,23.0,2025-11-20,22.9,0.4366812227074298,3.056768558951978,27.53164556962026,False,-1.1603,1.0724,2,2,2,100.0,34.990727225895085,52.526315789473685,14.563318777292569,0.4366812227074298,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
3,86.03910899705794,75.11100840336134,688588,凌志软件,bottom_area,2025-11-20,14.31,2025-11-20,14.28,0.21008403361345335,4.271708683473398,28.6,False,-2.8513,1.9501,1,1,1,100.0,43.33333333333334,43.33333333333334,14.789915966386546,0.21008403361345335,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
4,85.26082069722364,74.96848368461089,603809,豪能股份,bottom_area,2025-11-20,11.84,2025-11-20,11.77,0.5947323704333074,3.2285471537808053,30.764705882352946,False,-1.8242,2.0577,2,2,2,100.0,30.615448866660387,31.661442006269603,14.405267629566692,0.5947323704333074,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
5,83.48593981529514,74.25304347826084,600094,大名城,bottom_area,2025-11-20,4.19,2025-11-20,4.14,1.2077294685990512,3.864734299516912,30.067567567567572,False,-1.1792,1.7274,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,13.792270531400948,1.2077294685990512,历史2/3次成功; 当前距低点1.21%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
6,83.13149412025692,72.96569126394579,603173,福斯达,bottom_area,2025-11-20,38.26,2025-11-20,38.07,0.4990806409246065,3.5986340950879887,30.64310439059938,False,-1.0091,3.3543,1,1,1,100.0,35.34190927555856,35.34190927555856,14.500919359075393,0.4990806409246065,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
7,82.8566576987987,72.91640437722586,688608,恒玄科技,bottom_area,2025-11-20,202.8,2025-11-20,201.51,0.64016674110467,4.352141332936336,30.031250000000004,False,-2.3451,2.2698,1,1,1,100.0,36.80636853195971,36.80636853195971,14.35983325889533,0.64016674110467,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
8,82.77494544326032,72.84519814213485,603151,邦基科技,bottom_area,2025-11-20,18.85,2025-11-20,18.73,0.640683395622002,3.043246129204486,30.552465702632546,False,-0.9459,1.4341,1,1,1,100.0,36.42987249544626,36.42987249544626,14.359316604377998,0.640683395622002,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
9,81.94415741560407,73.45956510583794,605333,沪光股份,bottom_area,2025-11-20,29.29,2025-11-20,28.82,1.6308119361554434,1.9777931991672457,27.733199598796393,False,0.7915,0.5821,3,5,3,60.0,26.224818926195436,29.01840490797546,13.369188063844556,1.6308119361554434,历史3/5次成功; 当前距低点1.63%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
10,81.81151706614565,76.16625356651018,002678,珠江钢琴,bottom_area,2025-11-20,5.1,2025-11-03,4.92,3.658536585365848,7.113821138211375,29.613733905579405,True,0.7905,1.1137,3,4,3,75.0,23.939338608302766,35.5191256830601,11.34146341463415,3.658536585365848,历史3/4次成功; 当前距低点3.66%; 最新日涨幅0.79%; 状态bottom_area; 底部已确认
11,80.00722859549226,71.36696410220962,002123,梦网科技,bottom_area,2025-11-20,11.89,2025-11-20,11.73,1.3640238704177334,2.131287297527707,32.391930835734875,False,-0.1679,1.9072,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,13.635976129582266,1.3640238704177334,历史2/3次成功; 当前距低点1.36%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
