rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.09541503607883,80.11641747486095,000803,山高环能,bottom_area,2025-12-02,6.76,2025-12-02,6.68,1.1976047904191627,2.5449101796407176,30.34410844629823,False,-1.0249,2.1342,2,2,2,100.0,25.843851596863644,36.1111111111111,13.802395209580837,1.1976047904191627,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
2,88.3041123753555,78.70439877176997,603151,邦基科技,bottom_area,2025-12-02,18.41,2025-11-21,18.17,1.3208585580627321,4.237754540451291,32.62884686688913,False,-1.4981,1.249,1,1,1,100.0,36.42987249544626,36.42987249544626,13.679141441937267,1.3208585580627321,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
3,86.95543389890429,78.81674796747973,002321,华英农业,bottom_area,2025-12-02,2.76,2025-12-02,2.7,2.2222222222222077,2.592592592592587,30.051813471502587,False,0.3636,2.4285,1,1,1,100.0,25.609756097560986,25.609756097560986,12.777777777777791,2.2222222222222077,历史1/1次成功; 当前距低点2.22%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
4,85.43736090763238,77.05182697224832,600550,保变电气,bottom_area,2025-12-02,9.4,2025-11-28,9.22,1.9522776572668081,4.121475054229924,29.076923076923073,False,-1.0526,2.5238,1,1,1,100.0,35.285053929121716,35.285053929121716,13.047722342733191,1.9522776572668081,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
5,83.4069166309928,78.10082972594749,300559,佳发教育,bottom_area,2025-12-02,11.79,2025-11-21,11.34,3.9682539682539617,10.052910052910057,27.908455181182457,True,-1.2563,1.5287,3,3,3,100.0,23.109939642830778,29.09783989834816,11.031746031746037,3.9682539682539617,历史3/3次成功; 当前距低点3.97%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
6,81.19960516232089,70.67117893322884,300035,中科电气,bottom_area,2025-12-02,21.03,2025-12-02,21.02,0.0475737392959161,5.233111322549959,27.013888888888893,False,-4.9277,6.2357,1,1,1,100.0,27.686274509803933,27.686274509803933,14.952426260704083,0.0475737392959161,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
7,80.71722040314437,74.39826269648864,603173,福斯达,bottom_area,2025-12-02,38.0,2025-11-24,36.85,3.1207598371777436,5.427408412483039,32.86573146292585,False,-0.6276,1.9556,1,1,1,100.0,35.34190927555856,35.34190927555856,11.879240162822256,3.1207598371777436,历史1/1次成功; 当前距低点3.12%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
8,80.48289230349054,75.38056321597723,600506,统一股份,bottom_area,2025-12-02,26.12,2025-11-28,25.12,3.9808917197452227,6.210191082802543,31.17808219178082,False,2.3912,18.2163,1,1,1,100.0,28.69352869352869,28.69352869352869,11.019108280254777,3.9808917197452227,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
9,80.13007393700651,74.71644749021004,688766,普冉股份,bottom_area,2025-12-02,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,11.258333333333336,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,79.73949198652375,75.63424602692193,002664,信质集团,bottom_area,2025-12-02,22.91,2025-11-24,21.89,4.659661946094105,7.446322521699401,30.727848101265824,True,-2.094,1.6666,2,2,2,100.0,34.990727225895085,52.526315789473685,10.340338053905896,4.659661946094105,历史2/2次成功; 当前距低点4.66%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
11,79.40467956529834,72.55913176537432,603938,三孚股份,bottom_area,2025-12-02,17.77,2025-11-21,17.31,2.657423454650496,8.08781051415368,27.45180217937972,False,-0.7263,1.5186,1,1,1,100.0,19.774501300954046,19.774501300954046,12.342576545349504,2.657423454650496,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
12,79.0970865495473,69.57614094636105,301291,明阳电气,bottom_area,2025-12-02,40.85,2025-11-24,40.6,0.6157635467980295,4.926108374384236,27.0440251572327,False,-2.4827,2.8387,1,1,1,100.0,18.54882705946537,18.54882705946537,14.384236453201972,0.6157635467980295,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
13,78.78915808793901,72.20463276921467,603178,圣龙股份,bottom_area,2025-12-02,18.28,2025-11-24,17.78,2.8121484814398197,4.668166479190091,27.694184627897517,False,-1.2959,1.1198,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,12.18785151856018,2.8121484814398197,历史5/7次成功; 当前距低点2.81%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
14,77.45717892825664,71.8274591565287,003038,鑫铂股份,bottom_area,2025-12-02,15.91,2025-11-24,15.38,3.4460338101430383,5.7867360208062335,28.76331635016211,False,-1.1801,1.6438,1,1,1,100.0,25.507614213197975,25.507614213197975,11.553966189856961,3.4460338101430383,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
15,76.47087283402249,68.212663038041,688337,普源精电,bottom_area,2025-12-02,36.41,2025-11-21,35.92,1.3641425389754869,5.066815144766148,28.159999999999997,False,-1.2208,0.7126,3,6,3,50.0,38.886602295188766,54.46153846153845,13.63585746102451,1.3641425389754869,历史3/6次成功; 当前距低点1.36%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
16,76.33680399044457,68.29506060428947,688237,超卓航科,bottom_area,2025-12-02,46.0,2025-12-02,45.31,1.5228426395939034,8.585301258000442,27.48079385403328,False,-7.7232,5.2449,3,5,3,60.0,29.82334313206218,41.301843317972356,13.477157360406094,1.5228426395939034,历史3/5次成功; 当前距低点1.52%; 最新日涨幅-7.72%; 状态bottom_area; 底部未确认
17,72.88298415700827,68.68063378216338,688665,四方光电,bottom_area,2025-12-02,47.69,2025-11-21,45.72,4.308836395450566,5.599300087489069,27.715415019762844,False,-1.0581,0.5286,1,1,1,100.0,19.16548797736917,19.16548797736917,10.691163604549434,4.308836395450566,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
18,72.51920687559186,63.74776024901998,000002,万科A,bottom_area,2025-12-02,5.2,2025-12-01,5.17,0.5802707930367553,3.2882011605415844,27.591036414565824,False,0.0,1.7361,2,4,2,50.0,22.638589554536463,28.255902513328245,14.419729206963245,0.5802707930367553,历史2/4次成功; 当前距低点0.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,71.0493189623816,66.15549651837719,603197,保隆科技,bottom_area,2025-12-02,35.35,2025-11-21,34.1,3.6656891495601167,4.516129032258062,27.431368376250266,False,-0.254,0.7217,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,11.334310850439882,3.6656891495601167,历史4/6次成功; 当前距低点3.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
20,69.1294031029503,60.451920255468636,600383,金地集团,bottom_area,2025-12-02,3.33,2025-12-01,3.32,0.3012048192771154,4.216867469879522,27.192982456140346,False,-0.597,2.3844,2,4,2,50.0,23.971329265701364,32.594936708860764,14.698795180722884,0.3012048192771154,历史2/4次成功; 当前距低点0.30%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
21,68.74134091692079,63.59520016570911,002338,奥普光电,bottom_area,2025-12-02,50.42,2025-11-21,48.8,3.3196721311475503,5.594262295081975,30.632551528073915,False,-2.0971,1.5714,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,11.68032786885245,3.3196721311475503,历史2/3次成功; 当前距低点3.32%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
22,64.92633258522166,59.93665975507031,603127,昭衍新药,bottom_area,2025-12-02,27.7,2025-11-21,26.84,3.204172876304022,8.792846497764529,29.33122696155871,True,-2.2238,1.1402,1,2,1,50.0,41.08695652173912,41.08695652173912,11.795827123695977,3.204172876304022,历史1/2次成功; 当前距低点3.20%; 最新日涨幅-2.22%; 状态bottom_area; 底部已确认
23,64.59576222255927,58.53586935638808,002017,东信和平,bottom_area,2025-12-02,21.28,2025-11-24,20.82,2.2094140249759886,5.523535062439954,27.88361621059924,False,-2.6532,2.0248,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,12.79058597502401,2.2094140249759886,历史1/3次成功; 当前距低点2.21%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
24,63.17305346052891,57.77428580617301,300687,赛意信息,bottom_area,2025-12-02,22.81,2025-11-24,22.21,2.7014858171994502,9.14002701485816,27.251883393383558,True,-2.145,1.8732,1,2,1,50.0,23.299319727891156,23.299319727891156,12.298514182800549,2.7014858171994502,历史1/2次成功; 当前距低点2.70%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
25,62.016791889429236,58.78343778237354,688027,国盾量子,bottom_area,2025-12-02,443.6,2025-11-24,424.0,4.622641509433968,10.584905660377357,30.491803278688522,True,-2.0751,2.8939,2,5,2,40.0,40.60785174130632,54.833310085088584,10.377358490566033,4.622641509433968,历史2/5次成功; 当前距低点4.62%; 最新日涨幅-2.08%; 状态bottom_area; 底部已确认
26,61.11419933104827,58.184786451144824,002213,大为股份,bottom_area,2025-12-02,27.4,2025-11-28,26.13,4.860313815537695,8.687332567929582,28.68449781659389,True,-1.4743,12.8343,2,4,2,50.0,18.636031992315928,20.248254460822338,10.139686184462304,4.860313815537695,历史2/4次成功; 当前距低点4.86%; 最新日涨幅-1.47%; 状态bottom_area; 底部已确认
27,58.288413950763974,53.75476459320496,002468,申通快递,bottom_area,2025-12-02,14.08,2025-11-21,13.65,3.150183150183148,6.2271062271062245,31.988041853512705,False,-1.676,0.8056,1,2,1,50.0,16.382699868938413,16.382699868938413,11.849816849816852,3.150183150183148,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
28,58.11954420819877,50.826743525715344,000661,长春高新,bottom_area,2025-12-02,98.98,2025-11-24,98.68,0.3040129712201025,2.452371301175504,30.394300627777387,False,-1.109,1.1132,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.695987028779896,0.3040129712201025,历史1/3次成功; 当前距低点0.30%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
29,55.97239262684688,49.020110758776994,688348,昱能科技,bottom_area,2025-12-02,52.6,2025-12-02,52.4,0.38167938931298256,2.8625954198473282,27.504150525733262,False,-2.4481,1.1255,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,14.618320610687016,0.38167938931298256,历史1/3次成功; 当前距低点0.38%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
30,44.98654553730483,42.920560878101846,002706,良信股份,bottom_area,2025-12-02,9.92,2025-11-24,9.45,4.973544973544981,5.925925925925932,27.083333333333343,False,-0.5015,1.3561,1,6,1,16.666666666666664,19.37406855439642,19.37406855439642,10.026455026455018,4.973544973544981,历史1/6次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
