rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.80508243539201,79.91203036127565,001218,丽臣实业,bottom_area,2024-08-05,13.95,2024-07-25,13.78,1.233671988388969,6.603773584905662,30.404040404040412,False,-1.7606,0.9703,2,2,2,100.0,25.18711018711019,29.999999999999993,13.766328011611032,1.233671988388969,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,87.61610953168092,80.97354817701242,000065,北方国际,bottom_area,2024-08-05,9.49,2024-07-25,9.19,3.26441784548423,8.7051142546246,30.641509433962266,True,-2.4666,0.8845,3,3,3,100.0,29.926993896325044,41.48061104582843,11.73558215451577,3.26441784548423,历史3/3次成功; 当前距低点3.26%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
3,85.79316407117415,79.76744174055636,601886,江河集团,bottom_area,2024-08-05,4.62,2024-07-25,4.46,3.587443946188344,8.744394618834074,29.54186413902054,True,-1.7021,0.8115,3,3,3,100.0,27.40222547239673,33.5540838852097,11.412556053811656,3.587443946188344,历史3/3次成功; 当前距低点3.59%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
4,85.17043803110856,78.3045999220052,300349,金卡智能,bottom_area,2024-08-05,10.35,2024-07-25,10.05,2.9850746268656607,9.55223880597014,32.59557344064386,True,-2.3585,1.3634,1,1,1,100.0,45.48693586698337,45.48693586698337,12.01492537313434,2.9850746268656607,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
5,84.97927344871894,77.85832061068703,002687,乔治白,bottom_area,2024-08-05,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.7371,0.8387,1,1,1,100.0,64.00000000000001,64.00000000000001,12.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
6,84.5880220487831,76.78400367895848,002563,森马服饰,bottom_area,2024-08-05,4.89,2024-07-30,4.78,2.301255230125511,7.531380753138063,29.080118694362017,True,-1.6097,0.7217,1,1,1,100.0,28.929384965831446,28.929384965831446,12.698744769874487,2.301255230125511,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
7,84.52313941773241,74.0064354348809,001203,大中矿业,bottom_area,2024-08-05,8.17,2024-08-05,8.14,0.36855036855036066,3.1941031941031914,30.00859845227859,False,-1.6847,0.5158,2,2,2,100.0,22.670592877288865,29.46341463414634,14.63144963144964,0.36855036855036066,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
8,84.31148588564109,79.27041237969814,000811,冰轮环境,bottom_area,2024-08-05,8.46,2024-07-24,8.12,4.187192118226622,11.083743842364537,31.64983164983166,True,-2.4221,1.1582,3,3,3,100.0,32.0817763938432,47.451868629671566,10.812807881773379,4.187192118226622,历史3/3次成功; 当前距低点4.19%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
9,82.75374062437649,76.5287935909519,002552,宝鼎科技,bottom_area,2024-08-05,10.96,2024-07-25,10.61,3.29877474081057,10.084825636192276,30.197368421052634,True,-4.6127,1.1171,1,1,1,100.0,52.23596574690771,52.23596574690771,11.70122525918943,3.29877474081057,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-4.61%; 状态bottom_area; 底部已确认
10,79.17932437450625,73.22396114664772,603367,辰欣药业,bottom_area,2024-08-05,13.15,2024-07-30,12.73,3.299293008641005,6.59858601728201,27.048710601719193,False,-1.0534,0.8943,1,1,1,100.0,31.216931216931226,31.216931216931226,11.700706991358995,3.299293008641005,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
11,77.24554989201846,73.03378557075992,600210,紫江企业,bottom_area,2024-08-05,4.89,2024-07-25,4.68,4.487179487179486,9.61538461538462,27.329192546583858,True,-2.5896,1.2153,2,2,2,100.0,18.895455922199744,19.867549668874158,10.512820512820513,4.487179487179486,历史2/2次成功; 当前距低点4.49%; 最新日涨幅-2.59%; 状态bottom_area; 底部已确认
12,76.37225995633139,71.95832166842297,300435,中泰股份,bottom_area,2024-08-05,10.67,2024-07-25,10.23,4.301075268817199,9.38416422287389,27.549575070821525,True,-1.659,0.7214,1,1,1,100.0,27.498781082398814,27.498781082398814,10.698924731182801,4.301075268817199,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
13,73.4499490617272,69.39545532907478,603187,海容冷链,bottom_area,2024-08-05,10.8,2024-07-25,10.34,4.448742746615095,9.187620889748542,32.90071382219338,True,-1.5497,1.0252,1,1,1,100.0,15.530047265361235,15.530047265361235,10.551257253384904,4.448742746615095,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
14,68.61909202090858,64.52784726056838,002346,柘中股份,bottom_area,2024-08-05,7.2,2024-07-25,6.91,4.196816208393632,8.104196816208388,29.989868287740624,True,-2.0408,0.3606,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,10.803183791606367,4.196816208393632,历史2/3次成功; 当前距低点4.20%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
15,62.62852883418652,59.03643926788686,600058,五矿发展,bottom_area,2024-08-05,6.27,2024-07-25,6.01,4.326123128119797,8.153078202995012,31.85941043083901,True,-1.4151,0.4137,1,2,1,50.0,99.54954954954954,99.54954954954954,10.673876871880204,4.326123128119797,历史1/2次成功; 当前距低点4.33%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
16,60.25169062752439,56.64764846085304,002833,弘亚数控,bottom_area,2024-08-05,15.93,2024-07-30,15.29,4.185742315238722,9.875735775016361,31.923419412288517,True,-1.9692,1.4294,1,2,1,50.0,35.43624161073825,35.43624161073825,10.814257684761278,4.185742315238722,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
17,58.8823117220872,54.23905179703334,002545,东方铁塔,bottom_area,2024-08-05,6.01,2024-07-25,5.83,3.0874785591766676,7.375643224699823,29.247572815533985,True,-2.4351,0.8331,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,11.912521440823332,3.0874785591766676,历史1/3次成功; 当前距低点3.09%; 最新日涨幅-2.44%; 状态bottom_area; 底部已确认
18,56.56134025617983,52.609873015872985,603156,养元饮品,bottom_area,2024-08-05,20.67,2024-07-30,19.95,3.6090225563909897,6.516290726817046,27.322404371584703,False,-0.0967,0.2549,1,2,1,50.0,15.851851851851857,15.851851851851857,11.39097744360901,3.6090225563909897,历史1/2次成功; 当前距低点3.61%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
19,54.7244463846651,52.17867447276265,601163,三角轮胎,bottom_area,2024-08-05,14.87,2024-07-25,14.17,4.940014114326035,7.339449541284409,27.18396711202467,True,-1.2616,1.0149,1,2,1,50.0,20.655412115193645,20.655412115193645,10.059985885673964,4.940014114326035,历史1/2次成功; 当前距低点4.94%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
