rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
80,61.806062907904284,55.64532994923859,000663,永安林业,bottom_area,2024-02-02,6.16,2024-02-02,5.91,4.230118443316413,12.690355329949238,27.03703703703703,False,-5.2308,3.133,1,2,1,50.0,50.39215686274511,50.39215686274511,15.769881556683588,4.230118443316413,历史1/2次成功; 当前距低点4.23%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
81,61.41113550433918,55.405652193976316,605289,罗曼股份,bottom_area,2024-02-02,31.7,2024-02-02,30.38,4.344963791968402,13.166556945358801,30.954545454545457,False,-4.6043,7.5915,2,5,2,40.0,38.45252494443158,53.38199513381995,15.6550362080316,4.344963791968402,历史2/5次成功; 当前距低点4.34%; 最新日涨幅-4.60%; 状态bottom_area; 底部未确认
82,61.34822205969293,54.187308643027606,603139,康惠股份,bottom_area,2024-02-02,12.97,2024-02-02,12.57,3.1821797931583164,14.240254574383446,28.86247877758914,False,-7.0917,2.52,1,2,1,50.0,29.315476190476186,29.315476190476186,16.817820206841684,3.1821797931583164,历史1/2次成功; 当前距低点3.18%; 最新日涨幅-7.09%; 状态bottom_area; 底部未确认
83,60.8856441332932,54.16950617283951,603116,红蜻蜓,bottom_area,2024-02-02,4.92,2024-02-02,4.75,3.578947368421051,10.315789473684216,29.629629629629626,False,-2.5743,2.176,1,2,1,50.0,23.86831275720163,23.86831275720163,16.42105263157895,3.578947368421051,历史1/2次成功; 当前距低点3.58%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
84,60.86515442252278,53.612549461936474,688279,峰岹科技,bottom_area,2024-02-02,80.9,2024-02-02,78.52,3.0310748853795335,8.787570045848199,31.321612875010935,False,-3.6905,1.6378,1,2,1,50.0,24.37311935807422,24.37311935807422,16.96892511462047,3.0310748853795335,历史1/2次成功; 当前距低点3.03%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
85,60.29529077664049,54.987127480277096,300562,乐心医疗,bottom_area,2024-02-02,8.08,2024-02-02,7.7,4.935064935064934,17.142857142857135,27.902621722846437,False,-7.8677,5.5951,2,4,2,50.0,21.769223291533006,22.71604938271605,15.064935064935067,4.935064935064934,历史2/4次成功; 当前距低点4.94%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
86,59.92105626561991,53.28727145400964,300609,汇纳科技,bottom_area,2024-02-02,17.19,2024-02-02,16.6,3.5542168674698784,14.578313253012034,30.775646371976645,False,-6.8293,5.1739,1,4,1,25.0,49.87035436473638,49.87035436473638,16.445783132530124,3.5542168674698784,历史1/4次成功; 当前距低点3.55%; 最新日涨幅-6.83%; 状态bottom_area; 底部未确认
87,59.77711761440799,54.370099091659796,002657,中科金财,bottom_area,2024-02-02,12.69,2024-02-02,12.11,4.789430222956235,14.533443435177537,28.806584362139926,False,-5.2278,4.633,1,2,1,50.0,56.540447504302946,56.540447504302946,15.210569777043768,4.789430222956235,历史1/2次成功; 当前距低点4.79%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
88,59.73255858794565,53.44199090813405,688195,腾景科技,bottom_area,2024-02-02,21.12,2024-02-02,20.33,3.8858829316281494,15.100836202656176,29.40972222222223,False,-8.2138,6.5774,3,8,3,37.5,27.684430065839933,38.77410468319559,16.114117068371854,3.8858829316281494,历史3/8次成功; 当前距低点3.89%; 最新日涨幅-8.21%; 状态bottom_area; 底部未确认
89,59.66983686470017,54.30204819277108,000757,浩物股份,bottom_area,2024-02-02,3.48,2024-02-02,3.32,4.81927710843374,12.95180722891567,27.032967032967033,False,-5.6911,3.1639,1,2,1,50.0,52.941176470588246,52.941176470588246,15.180722891566262,4.81927710843374,历史1/2次成功; 当前距低点4.82%; 最新日涨幅-5.69%; 状态bottom_area; 底部未确认
90,59.645125704761135,54.19937861531735,300647,超频三,bottom_area,2024-02-02,4.2,2024-02-02,4.01,4.738154613466344,16.209476309226943,27.090909090909093,False,-6.25,3.2261,1,2,1,50.0,48.45360824742268,48.45360824742268,15.261845386533658,4.738154613466344,历史1/2次成功; 当前距低点4.74%; 最新日涨幅-6.25%; 状态bottom_area; 底部未确认
91,59.278711130637014,51.63616186432116,002192,融捷股份,bottom_area,2024-02-02,36.39,2024-02-02,35.53,2.4204897269912733,12.440191387559812,31.607314725697787,False,-7.8267,6.7231,1,3,1,33.33333333333333,25.707231766279197,25.707231766279197,17.57951027300873,2.4204897269912733,历史1/3次成功; 当前距低点2.42%; 最新日涨幅-7.83%; 状态bottom_area; 底部未确认
92,59.19652391216146,52.80441100145856,000955,欣龙控股,bottom_area,2024-02-02,4.18,2024-02-02,4.03,3.7220843672456443,14.392059553349876,29.668411867364746,False,-6.0674,4.4615,1,2,1,50.0,28.498727735368945,28.498727735368945,16.277915632754357,3.7220843672456443,历史1/2次成功; 当前距低点3.72%; 最新日涨幅-6.07%; 状态bottom_area; 底部未确认
93,59.14817778755209,51.7772657238128,002798,帝欧水华,bottom_area,2024-02-02,4.58,2024-02-02,4.46,2.690582959641258,15.246636771300443,29.874213836477992,False,-7.6613,3.4332,1,3,1,33.33333333333333,29.776674937965264,29.776674937965264,17.309417040358742,2.690582959641258,历史1/3次成功; 当前距低点2.69%; 最新日涨幅-7.66%; 状态bottom_area; 底部未确认
94,59.03235373050682,53.16668177392686,300746,汉嘉数智,bottom_area,2024-02-02,7.36,2024-02-02,7.06,4.24929178470256,15.722379603399439,28.17904374364192,False,-7.7694,1.9845,1,2,1,50.0,36.90896259703598,36.90896259703598,15.75070821529744,4.24929178470256,历史1/2次成功; 当前距低点4.25%; 最新日涨幅-7.77%; 状态bottom_area; 底部未确认
95,58.92911840791152,52.409454329774604,002084,海鸥住工,bottom_area,2024-02-02,2.91,2024-02-02,2.81,3.5587188612099676,13.167259786476873,27.2020725388601,False,-6.4309,2.0921,1,3,1,33.33333333333333,43.81720430107525,43.81720430107525,16.441281138790035,3.5587188612099676,历史1/3次成功; 当前距低点3.56%; 最新日涨幅-6.43%; 状态bottom_area; 底部未确认
96,58.850566006497054,51.824927323333824,002455,百川股份,bottom_area,2024-02-02,4.78,2024-02-02,4.64,3.0172413793103576,12.500000000000004,28.834355828220858,False,-7.3643,2.6708,1,4,1,25.0,35.42600896860987,35.42600896860987,16.98275862068964,3.0172413793103576,历史1/4次成功; 当前距低点3.02%; 最新日涨幅-7.36%; 状态bottom_area; 底部未确认
97,58.82454978803547,53.047774763433296,688199,久日新材,bottom_area,2024-02-02,17.87,2024-02-02,17.13,4.319906596614139,14.127262113251614,27.660472972972975,False,-6.0463,1.8604,1,2,1,50.0,37.135278514588855,37.135278514588855,15.680093403385861,4.319906596614139,历史1/2次成功; 当前距低点4.32%; 最新日涨幅-6.05%; 状态bottom_area; 底部未确认
98,58.383437917599906,51.61434366628397,002708,光洋股份,bottom_area,2024-02-02,6.71,2024-02-02,6.5,3.23076923076923,12.61538461538462,28.728070175438592,False,-5.7584,6.4567,1,3,1,33.33333333333333,35.522388059701484,35.522388059701484,16.76923076923077,3.23076923076923,历史1/3次成功; 当前距低点3.23%; 最新日涨幅-5.76%; 状态bottom_area; 底部未确认
99,58.14613610278477,52.6030219606905,300517,海波重科,bottom_area,2024-02-02,8.37,2024-02-02,8.01,4.494382022471903,14.481897627965045,28.290062667860344,False,-7.1032,3.2384,1,2,1,50.0,36.88286544046467,36.88286544046467,15.505617977528097,4.494382022471903,历史1/2次成功; 当前距低点4.49%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
100,58.13196447107018,52.4236152544721,603098,森特股份,bottom_area,2024-02-02,9.9,2024-02-02,9.49,4.320337197049527,11.696522655426758,29.231916480238628,False,-4.5323,1.6391,1,2,1,50.0,33.78486055776891,33.78486055776891,15.679662802950473,4.320337197049527,历史1/2次成功; 当前距低点4.32%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
