rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,107.30487845212299,91.7225716770745,688800,瑞可达,bottom_area,2026-04-16,67.94,2026-04-14,96.97,2026-04-16,67.01,1.3878525593194933,1.6116997463065188,30.896153449520465,29.937093946581417,False,1.1011904761904612,1.4423289857180897,23,24,23,95.83333333333334,43.795925693492464,62.85320468642316,2021-07-28; 2023-03-16; 2023-03-20; 2023-03-24; 2023-03-29; 2023-03-31; 2023-05-08; 2023-07-20; 2023-08-01; 2023-08-09; 2025-03-18; 2025-05-12; 2025-05-15; 2025-06-11; 2025-06-16; 2025-07-09; 2025-07-24; 2025-07-29; 2025-07-31; 2025-08-22; 2025-08-27; 2026-03-23; 2026-03-31,18.612147440680506,1.3878525593194933,历史23/24次成功; 当前距低点1.39%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
2,88.04492978783657,77.38942307077475,603787,新日股份,bottom_area,2026-04-16,12.71,2026-03-31,17.11,2026-04-16,12.35,2.9149797570850304,3.15789473684211,27.819988310929283,25.715955581531265,False,0.8730158730158921,3.0888947408307796,4,6,4,66.66666666666666,48.65005510893525,92.85714285714283,2020-02-04; 2022-01-27; 2025-04-09; 2025-06-23,17.085020242914972,2.9149797570850304,历史4/6次成功; 当前距低点2.91%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
3,87.96258583772675,74.70188354362047,601888,中国中免,bottom_area,2026-04-16,68.49,2026-02-11,98.72,2026-04-07,67.79,1.0326006785661435,3.7468653193686268,31.331037277147484,30.621961102106976,False,0.16086575021936333,0.9357915268301628,2,3,2,66.66666666666666,27.793260344540847,32.5199436884092,2011-06-20; 2015-08-25,18.96739932143386,1.0326006785661435,历史2/3次成功; 当前距低点1.03%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
4,86.66035731483913,75.33220603185362,001391,国货航,bottom_area,2026-04-16,5.32,2025-05-14,7.73,2026-04-03,5.2,2.3076923076923097,3.4615384615384563,32.729624838292374,31.177231565329883,False,-0.18761726078798668,0.9651667351236638,1,1,1,100.0,30.39647577092513,30.39647577092513,2025-01-07,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
5,81.78894222721858,73.0684500659304,001328,登康口腔,bottom_area,2026-04-16,32.46,2026-02-06,44.35,2026-04-07,31.27,3.8055644387591987,6.459865685960983,29.492671927846676,26.80947012401353,False,-0.09233610341643494,0.523569260542889,1,1,1,100.0,36.58675799086758,36.58675799086758,2024-02-06,16.1944355612408,3.8055644387591987,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
6,75.5873672919731,65.91594017262744,600690,海尔智家,bottom_area,2026-04-16,21.06,2025-12-03,28.31,2026-04-07,20.55,2.4817518248175086,3.5523114355231167,27.41080890144825,25.60932532673967,False,0.047505938242276,0.736315255258827,7,16,7,43.75,31.30690501726537,52.06971677559914,1993-12-20; 1994-08-10; 1996-12-17; 2008-02-01; 2008-04-22; 2008-08-13; 2015-08-26,17.518248175182492,2.4817518248175086,历史7/16次成功; 当前距低点2.48%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
7,75.0512203330506,66.77279245208061,600826,兰生股份,bottom_area,2026-04-16,9.55,2026-02-02,13.06,2026-03-23,9.22,3.5791757049891544,8.568329718004328,29.402756508422662,26.875957120980086,True,0.6322444678609207,0.5104186172685664,8,19,8,42.10526315789473,43.73597853131345,155.2204176334107,1994-07-29; 1995-02-07; 1996-11-26; 2008-03-20; 2008-04-03; 2008-11-04; 2012-12-04; 2024-11-27,16.420824295010846,3.5791757049891544,历史8/19次成功; 当前距低点3.58%; 最新日涨幅0.63%; 状态bottom_area; 底部已确认
8,71.58202817768947,62.70444845021581,603369,今世缘,bottom_area,2026-04-16,26.36,2026-01-29,35.44,2026-04-07,25.66,2.7279812938425536,4.208885424785652,27.595936794582386,25.620767494356656,False,-0.3779289493575311,0.5936397176772538,2,4,2,50.0,25.990568818155026,27.076923076923077,2018-10-30; 2020-02-04,17.272018706157446,2.7279812938425536,历史2/4次成功; 当前距低点2.73%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
9,71.22385584217315,60.71908212486517,000631,顺发恒能,bottom_area,2026-04-16,3.26,2026-04-01,4.54,2026-04-16,3.22,1.2422360248447077,1.8633540372670687,29.074889867841406,28.193832599118945,False,0.0,0.8094390754457149,4,15,4,26.666666666666668,25.186632230346405,32.745098039215684,2009-06-08; 2012-11-28; 2015-06-30; 2017-01-16,18.757763975155292,1.2422360248447077,历史4/15次成功; 当前距低点1.24%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,71.17514523499223,61.75882982361406,600617,国新能源,bottom_area,2026-04-16,3.24,2026-03-27,4.62,2026-04-16,3.17,2.208201892744489,2.839116719242898,31.385281385281388,29.87012987012987,False,0.0,2.1683568042974186,9,27,9,33.33333333333333,28.173101106119127,33.8235294117647,1993-02-24; 1994-08-10; 1995-02-07; 2008-06-20; 2008-09-18; 2010-07-02; 2015-08-25; 2021-02-08; 2024-02-06,17.791798107255513,2.208201892744489,历史9/27次成功; 当前距低点2.21%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
