rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,76.9075477551379,74.46799072918525,688143,长盈通,bottom_area,2023-08-15,29.06,2023-08-15,28.4,2.323943661971832,2.887323943661973,32.04115817181144,False,-0.6835,1.0345,1,1,1,100.0,25.949367088607595,25.949367088607595,5.676056338028168,2.323943661971832,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
23,76.56004955245028,73.92439571884309,605118,力鼎光电,bottom_area,2023-08-15,14.54,2023-07-28,14.23,2.178496134926203,7.027406886858749,30.210887690044142,True,-1.0211,0.2378,1,1,1,100.0,12.050359712230225,12.050359712230225,5.821503865073797,2.178496134926203,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
24,76.2772825163974,71.77804101833769,300455,航天智装,bottom_area,2023-08-15,10.81,2023-08-15,10.72,0.8395522388059687,2.9850746268656576,31.282051282051277,False,-1.3686,0.8501,2,2,2,100.0,16.463549047394118,18.904109589041095,7.160447761194032,0.8395522388059687,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
25,76.03008000147572,71.5718292790147,603051,鹿山新材,bottom_area,2023-08-15,36.41,2023-08-15,36.1,0.8587257617728397,3.71191135734071,27.39340305711987,False,-2.4645,2.8125,2,2,2,100.0,15.58991406374611,18.738110336081178,7.141274238227161,0.8587257617728397,历史2/2次成功; 当前距低点0.86%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
26,75.06610718506724,72.0806395607088,002626,金达威,confirmed_rebound,2023-08-15,18.33,2023-06-26,17.99,1.8899388549193992,8.115619788771546,27.165991902834012,True,-1.3455,0.5515,1,1,1,100.0,8.815592203898044,8.815592203898044,6.110061145080601,1.8899388549193992,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-1.35%; 状态confirmed_rebound; 底部已确认
27,72.80296335640395,70.80788424330439,688314,康拓医疗,bottom_area,2023-08-15,32.51,2023-08-15,31.7,2.555205047318608,2.9652996845425905,27.790432801822323,False,-0.1229,1.3718,1,1,1,100.0,9.106192210703279,9.106192210703279,5.444794952681392,2.555205047318608,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
28,72.12898306278254,73.01120175060231,002219,新里程,bottom_area,2023-08-15,3.84,2023-08-07,3.67,4.632152588555857,6.267029972752043,29.42307692307693,False,1.0526,0.5472,1,1,1,100.0,23.938223938223942,23.938223938223942,3.367847411444143,4.632152588555857,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
29,71.94713591939342,72.01775173941185,300635,中达安,bottom_area,2023-08-15,13.87,2023-08-14,13.33,4.0510127531882905,5.4013503375844,27.475516866158866,False,-0.6447,2.9834,2,2,2,100.0,17.279896863877134,23.97914856646394,3.9489872468117095,4.0510127531882905,历史2/2次成功; 当前距低点4.05%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
30,71.56051765093791,67.50686784101238,300375,鹏翎股份,bottom_area,2023-08-15,4.17,2023-08-15,4.13,0.9685230024213084,4.1162227602905554,32.84552845528456,False,-1.8824,6.0651,1,1,1,100.0,11.74785100286532,11.74785100286532,7.031476997578692,0.9685230024213084,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
31,68.32519599480023,68.29534010841402,002554,惠博普,confirmed_rebound,2023-08-15,3.66,2023-06-26,3.52,3.9772727272727306,10.51136363636364,27.27272727272727,True,-1.0811,1.1053,3,4,3,75.0,18.21785982040783,28.404669260700388,4.02272727272727,3.9772727272727306,历史3/4次成功; 当前距低点3.98%; 最新日涨幅-1.08%; 状态confirmed_rebound; 底部已确认
32,68.29068776677997,68.27165733964698,601360,三六零,bottom_area,2023-08-15,11.48,2023-08-14,11.04,3.985507246376824,6.3405797101449375,31.68316831683169,False,-1.9641,0.983,1,1,1,100.0,13.003300330033007,13.003300330033007,4.014492753623176,3.985507246376824,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
33,65.25676025489737,63.08743783122709,000890,法尔胜,bottom_area,2023-08-15,4.56,2023-08-14,4.46,2.242152466367705,6.502242152466368,27.47967479674797,False,0.0,8.9802,1,2,1,50.0,32.954545454545446,32.954545454545446,5.757847533632296,2.242152466367705,历史1/2次成功; 当前距低点2.24%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
