rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.38832069513596,74.47451844645663,600227,赤天化,bottom_area,2024-05-29,1.67,2024-05-29,1.66,0.6024096385542175,3.6144578313253044,28.755364806866957,False,-1.7647,1.1259,1,1,1,100.0,44.72049689440993,44.72049689440993,19.397590361445783,0.6024096385542175,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,82.18775096147476,72.54947960376059,688331,荣昌生物,bottom_area,2024-05-29,44.23,2024-05-27,42.88,3.1483208955223745,10.774253731343277,27.00034048348655,True,-3.0044,1.601,1,1,1,100.0,26.761565836298917,26.761565836298917,16.851679104477626,3.1483208955223745,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-3.00%; 状态bottom_area; 底部已确认
3,70.59082784550034,58.966329425387165,605117,德业股份,bottom_area,2024-05-29,69.18,2024-05-29,69.09,0.13026487190621422,9.277753654653345,31.857185126738337,False,-1.0866,1.5497,3,9,3,33.33333333333333,54.69731694041234,60.22338317420285,19.869735128093787,0.13026487190621422,历史3/9次成功; 当前距低点0.13%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
4,67.3786505661754,59.469092761244944,300598,诚迈科技,bottom_area,2024-05-29,28.24,2024-05-29,27.38,3.1409788166544903,5.441928414901395,31.240582621798097,False,1.2186,2.5937,1,3,1,33.33333333333333,43.96339317141851,43.96339317141851,16.85902118334551,3.1409788166544903,历史1/3次成功; 当前距低点3.14%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
5,66.60371167121014,57.851300842621626,002837,英维克,bottom_area,2024-05-29,24.39,2024-05-27,23.85,2.264150943396223,4.402515723270428,28.335336538461537,False,0.8268,1.2115,1,3,1,33.33333333333333,24.517374517374524,24.517374517374524,17.73584905660378,2.264150943396223,历史1/3次成功; 当前距低点2.26%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
6,64.82536297895864,57.38419340869933,688177,百奥泰,bottom_area,2024-05-29,26.59,2024-05-27,25.74,3.302253302253308,10.606060606060607,28.060368921185024,True,-0.4493,0.6606,1,2,1,50.0,28.56629536471435,28.56629536471435,16.697746697746695,3.302253302253308,历史1/2次成功; 当前距低点3.30%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
7,63.16057553956834,52.63381294964029,000702,正虹科技,bottom_area,2024-05-29,5.81,2024-05-29,5.81,0.0,4.991394148020655,29.57575757575758,False,-9.9225,25.8965,1,2,1,50.0,34.05275779376499,34.05275779376499,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态bottom_area; 底部未确认
8,62.32317059529138,55.13902399605841,605303,园林股份,bottom_area,2024-05-29,7.89,2024-05-28,7.64,3.2722513089005236,8.376963350785337,29.19369786839666,False,1.5444,8.0847,1,4,1,25.0,23.681489141675293,23.681489141675293,16.727748691099478,3.2722513089005236,历史1/4次成功; 当前距低点3.27%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
9,60.15792829190198,53.58741150442478,002520,日发精机,bottom_area,2024-05-29,3.98,2024-05-29,3.84,3.645833333333337,9.895833333333332,31.914893617021274,False,1.5306,7.4167,1,5,1,20.0,30.752212389380546,30.752212389380546,16.354166666666664,3.645833333333337,历史1/5次成功; 当前距低点3.65%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
10,60.101860465116275,50.08488372093023,000525,红太阳,bottom_area,2024-05-29,5.14,2024-05-29,5.14,0.0,0.0,27.092198581560282,False,-4.9908,0.3505,1,2,1,50.0,20.348837209302317,20.348837209302317,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
11,59.412495921696575,49.510413268080484,688287,退市观典,bottom_area,2024-05-29,5.45,2024-05-29,5.45,0.0,8.807339449541276,27.81456953642384,False,-14.9766,9.5251,1,3,1,33.33333333333333,36.70473083197391,36.70473083197391,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-14.98%; 状态bottom_area; 底部未确认
