rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.02590857653036,81.24641379630434,300598,诚迈科技,bottom_area,2025-12-15,44.49,2025-12-15,44.4,0.2027027027027104,2.3648648648648747,30.625000000000004,False,-2.3271,2.2058,5,5,5,100.0,26.22890300250812,45.24950099800398,9.79729729729729,0.2027027027027104,历史5/5次成功; 当前距低点0.20%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
2,88.66505769555114,83.88395836227474,603030,全筑股份,bottom_area,2025-12-15,2.93,2025-12-15,2.87,2.0905923344947754,6.6202090592334475,28.606965174129346,False,0.6873,2.4649,6,7,6,85.71428571428571,32.19167603261121,51.87969924812029,7.909407665505225,2.0905923344947754,历史6/7次成功; 当前距低点2.09%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
3,88.44190058413888,82.13239230138359,300358,楚天科技,bottom_area,2025-12-15,9.06,2025-12-05,8.96,1.1160714285714244,4.575892857142839,27.74193548387096,False,0.0,2.2482,3,4,3,75.0,34.04319977702382,38.205499276411004,8.883928571428577,1.1160714285714244,历史3/4次成功; 当前距低点1.12%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,88.0313275515604,81.72846815834768,301001,凯淳股份,bottom_area,2025-12-15,29.37,2025-12-15,29.05,1.1015490533562833,2.340791738382099,29.898648648648646,False,-0.4407,4.2274,1,1,1,100.0,58.89483065953654,58.89483065953654,8.898450946643717,1.1015490533562833,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
5,87.00315779317889,79.95926245435773,605228,神通科技,bottom_area,2025-12-15,14.11,2025-12-12,14.03,0.5702066999287247,1.7818959372772631,27.680412371134018,False,-0.2827,0.5394,5,5,5,100.0,23.813622205350633,47.56554307116105,9.429793300071276,0.5702066999287247,历史5/5次成功; 当前距低点0.57%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
6,86.26200355208672,81.38902979373567,600708,光明地产,bottom_area,2025-12-15,3.14,2025-12-15,3.08,1.9480519480519498,2.5974025974025996,27.186761229314428,False,0.3195,0.6298,1,1,1,100.0,36.07843137254903,36.07843137254903,8.05194805194805,1.9480519480519498,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
7,85.27392870167172,78.64948198907278,002176,江特电机,bottom_area,2025-12-15,9.32,2025-12-15,9.25,0.7567567567567599,2.1621621621621547,28.12742812742812,False,-0.6397,2.3202,5,5,5,100.0,19.058534378915056,39.01808785529715,9.24324324324324,0.7567567567567599,历史5/5次成功; 当前距低点0.76%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
8,85.17421797826601,80.42568046164745,002459,晶澳科技,bottom_area,2025-12-15,11.28,2025-12-12,11.06,1.9891500904159027,3.797468354430379,27.712418300653596,False,0.0887,1.2349,5,6,5,83.33333333333334,17.51402867990521,26.683937823834192,8.010849909584097,1.9891500904159027,历史5/6次成功; 当前距低点1.99%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
9,85.14804222899473,78.98678128581302,688365,光云科技,bottom_area,2025-12-15,16.23,2025-12-15,16.06,1.0585305105853158,2.677459526774594,30.14354066985646,False,-2.2289,2.5771,1,1,1,100.0,34.732423924449115,34.732423924449115,8.941469489414684,1.0585305105853158,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
10,83.65883436258545,77.63323177968545,300035,中科电气,bottom_area,2025-12-15,20.64,2025-12-05,20.42,1.0773751224289856,5.729676787463261,29.097222222222218,False,-1.6206,2.5744,1,1,1,100.0,27.686274509803933,27.686274509803933,8.922624877571014,1.0773751224289856,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
11,82.9989996872195,77.59430935362859,603197,保隆科技,bottom_area,2025-12-15,34.6,2025-11-21,34.1,1.4662756598240467,5.014662756598243,27.431368376250266,False,-0.6889,0.7372,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,8.533724340175954,1.4662756598240467,历史5/6次成功; 当前距低点1.47%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
12,82.2630698535822,79.96218849960026,603178,圣龙股份,bottom_area,2025-12-15,18.28,2025-12-05,17.66,3.510758776896948,5.039637599094001,28.182187881252542,False,1.5556,1.3193,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,6.489241223103052,3.510758776896948,历史6/7次成功; 当前距低点3.51%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
13,81.99386989200758,75.7405570008354,002129,TCL中环,bottom_area,2025-12-15,8.43,2025-12-15,8.36,0.8373205741626829,2.8708133971291896,27.430555555555557,False,-1.5187,2.2785,3,3,3,100.0,21.073375859818903,31.12759643916912,9.162679425837318,0.8373205741626829,历史3/3次成功; 当前距低点0.84%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
14,81.94964715722604,75.25283521598685,003038,鑫铂股份,bottom_area,2025-12-15,15.26,2025-12-12,15.18,0.527009222661397,2.108036890645588,29.68967114404817,False,0.3287,1.3297,1,1,1,100.0,25.507614213197975,25.507614213197975,9.472990777338604,0.527009222661397,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
15,80.55483160039596,76.42841483690128,002291,遥望科技,bottom_area,2025-12-15,6.39,2025-12-15,6.25,2.239999999999995,4.799999999999997,32.650862068965516,False,0.1567,5.0731,3,4,3,75.0,17.153843209146633,27.107438016528935,7.760000000000006,2.239999999999995,历史3/4次成功; 当前距低点2.24%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
16,79.7728222917612,74.34026450128283,605368,蓝天燃气,bottom_area,2025-12-15,7.8,2025-12-15,7.7,1.298701298701294,2.987012987012981,30.568079350766453,False,-2.133,2.4621,1,1,1,100.0,12.695179904955879,12.695179904955879,8.701298701298708,1.298701298701294,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
17,79.67039543051182,72.91434589800443,301177,迪阿股份,bottom_area,2025-12-15,28.6,2025-12-12,28.5,0.3508771929824611,1.5087719298245605,30.94257329779501,False,0.1401,0.2304,1,1,1,100.0,10.776053215077603,10.776053215077603,9.64912280701754,0.3508771929824611,历史1/1次成功; 当前距低点0.35%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
18,79.13008992178935,72.60032820174956,301567,贝隆精密,bottom_area,2025-12-15,45.93,2025-12-15,45.71,0.48129512141763037,2.3627215051411032,28.015748031496063,False,-1.859,9.5728,2,2,2,100.0,16.4929090246331,16.59192825112107,9.518704878582371,0.48129512141763037,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
19,78.68552315942424,74.82895399213714,688665,四方光电,bottom_area,2025-12-15,46.8,2025-11-21,45.72,2.3622047244094455,9.383202099737531,27.715415019762844,True,-2.965,0.9138,1,1,1,100.0,19.16548797736917,19.16548797736917,7.6377952755905545,2.3622047244094455,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
20,78.44569685842606,75.68540559553027,603938,三孚股份,bottom_area,2025-12-15,17.85,2025-11-21,17.31,3.119584055459288,8.08781051415368,27.45180217937972,False,1.7674,1.7154,1,1,1,100.0,19.774501300954046,19.774501300954046,6.880415944540713,3.119584055459288,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
21,78.38384649405914,71.25804226732649,600222,太龙药业,bottom_area,2025-12-15,6.88,2025-12-15,6.88,0.0,2.76162790697675,27.11864406779661,False,-3.3708,6.2362,2,2,2,100.0,25.849689609282233,37.696335078534034,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
22,77.91958106165353,76.01637111511656,688050,爱博医疗,bottom_area,2025-12-15,61.07,2025-12-10,58.89,3.701816946850059,4.703684836135161,29.750685911964688,False,0.0164,0.8889,2,2,2,100.0,12.024267494272554,12.90770757525636,6.298183053149941,3.701816946850059,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
23,77.3916581332727,76.39305609284337,002418,康盛股份,bottom_area,2025-12-15,4.59,2025-12-05,4.4,4.318181818181807,7.954545454545446,27.031509121061358,True,2.2272,4.998,1,1,1,100.0,29.078014184397176,29.078014184397176,5.681818181818193,4.318181818181807,历史1/1次成功; 当前距低点4.32%; 最新日涨幅2.23%; 状态bottom_area; 底部已确认
24,77.02155051519338,70.18593691949575,603038,华立股份,bottom_area,2025-12-15,16.11,2025-12-15,16.09,0.12430080795524906,2.9832193909260436,27.3589164785553,False,-2.8347,2.1514,3,4,3,75.0,19.969584739966248,28.753412192902637,9.87569919204475,0.12430080795524906,历史3/4次成功; 当前距低点0.12%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
25,76.50556509485895,72.08419867432934,300768,迪普科技,bottom_area,2025-12-15,19.01,2025-12-05,18.66,1.875669882100758,6.216505894962488,27.05238467552775,False,-1.4004,1.2178,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,8.124330117899243,1.875669882100758,历史2/3次成功; 当前距低点1.88%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
