rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.15766108712275,78.56061754479576,002479,富春环保,bottom_area,2024-02-07,3.36,2024-02-06,3.28,2.4390243902439046,10.365853658536594,30.801687763713087,True,-3.7249,3.3824,2,2,2,100.0,33.718242766407904,35.321100917431195,17.560975609756095,2.4390243902439046,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
2,88.59862511426907,75.27730158730158,000520,凤凰航运,bottom_area,2024-02-07,1.91,2024-02-07,1.89,1.0582010582010593,8.994708994709002,30.00000000000001,False,-6.3725,2.211,1,1,1,100.0,24.999999999999986,24.999999999999986,18.941798941798943,1.0582010582010593,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.37%; 状态bottom_area; 底部未确认
3,87.88176643832632,76.66281753130593,603030,全筑股份,bottom_area,2024-02-07,2.05,2024-02-06,2.0,2.499999999999991,9.000000000000007,27.007299270073,True,-1.4423,0.9773,3,4,3,75.0,34.88073941562313,50.5813953488372,17.50000000000001,2.499999999999991,历史3/4次成功; 当前距低点2.50%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
4,85.88298469804236,71.5691539150353,603230,内蒙新华,bottom_area,2024-02-07,11.29,2024-02-07,11.29,0.0,10.008857395925604,29.70112079701121,False,-9.9681,25.3591,2,2,2,100.0,27.522332876533863,31.521142229544196,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
5,84.65446861037819,75.63391047976413,002564,天沃科技,bottom_area,2024-02-07,3.27,2024-02-07,3.15,3.8095238095238133,5.71428571428572,28.73303167420815,False,3.1546,2.9591,1,1,1,100.0,27.954971857410886,27.954971857410886,16.19047619047619,3.8095238095238133,历史1/1次成功; 当前距低点3.81%; 最新日涨幅3.15%; 状态bottom_area; 底部未确认
6,84.28870153846154,70.24058461538462,603177,德创环保,bottom_area,2024-02-07,6.73,2024-02-07,6.73,0.0,11.292719167904899,28.251599147121535,False,-10.0267,2.4654,1,1,1,100.0,37.04615384615384,37.04615384615384,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
7,83.36056192189002,72.76937557572076,600981,苏豪汇鸿,bottom_area,2024-02-07,2.02,2024-02-06,1.97,2.53807106598985,13.705583756345192,31.59722222222222,True,-6.0465,1.9017,1,1,1,100.0,20.463320463320475,20.463320463320475,17.461928934010153,2.53807106598985,历史1/1次成功; 当前距低点2.54%; 最新日涨幅-6.05%; 状态bottom_area; 底部已确认
8,82.51021276595745,68.75851063829788,002418,康盛股份,bottom_area,2024-02-07,1.78,2024-02-07,1.78,0.0,11.797752808988763,32.31939163498099,False,-10.101,3.6688,1,1,1,100.0,29.078014184397176,29.078014184397176,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.10%; 状态bottom_area; 底部未确认
9,81.60276581277436,72.73424660311176,605068,明新旭腾,bottom_area,2024-02-07,14.09,2024-02-06,13.59,3.679175864606328,19.205298013245027,30.733944954128447,True,-4.9899,1.2298,1,1,1,100.0,34.262191260291324,34.262191260291324,16.320824135393675,3.679175864606328,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-4.99%; 状态bottom_area; 底部已确认
10,81.41920126787477,72.15388399848264,605567,春雪食品,bottom_area,2024-02-07,7.99,2024-02-06,7.73,3.3635187580853785,10.090556274256137,30.796777081468214,False,-3.034,3.0341,1,1,1,100.0,36.46616541353383,36.46616541353383,16.636481241914623,3.3635187580853785,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
11,80.42990074441683,71.23791208791206,600327,大东方,bottom_area,2024-02-07,3.41,2024-02-06,3.3,3.333333333333343,13.333333333333346,29.93630573248408,True,-4.7486,2.7232,1,1,1,100.0,21.978021978021978,21.978021978021978,16.666666666666657,3.333333333333343,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-4.75%; 状态bottom_area; 底部已确认
12,78.3586870419177,66.73836070704414,002256,兆新股份,bottom_area,2024-02-07,1.7,2024-02-06,1.68,1.1904761904761916,11.904761904761903,27.89699570815451,True,-5.5556,2.2884,2,4,2,50.0,29.85293774908523,31.775700934579426,18.80952380952381,1.1904761904761916,历史2/4次成功; 当前距低点1.19%; 最新日涨幅-5.56%; 状态bottom_area; 底部已确认
13,74.09752403317177,67.4798126743723,000407,胜利股份,bottom_area,2024-02-07,2.59,2024-02-06,2.47,4.858299595141687,13.765182186234812,31.197771587743723,True,-5.1282,2.9746,1,1,1,100.0,20.466321243523332,20.466321243523332,15.141700404858316,4.858299595141687,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-5.13%; 状态bottom_area; 底部已确认
14,73.64528936230202,62.6743212237094,000985,大庆华科,bottom_area,2024-02-07,10.58,2024-02-07,10.46,1.1472275334607955,10.898661567877618,27.71250863856254,False,-8.3189,3.6524,1,2,1,50.0,56.687898089171995,56.687898089171995,18.852772466539207,1.1472275334607955,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-8.32%; 状态bottom_area; 底部未确认
15,72.34572253778762,60.288102114823026,000020,深华发A,bottom_area,2024-02-07,11.81,2024-02-07,11.81,0.0,9.229466553767992,27.98780487804877,False,-9.9848,9.174,2,3,2,66.66666666666666,22.427072301915857,23.076923076923073,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
16,71.10779614201056,60.99601270283026,002780,三夫户外,bottom_area,2024-02-07,9.0,2024-02-07,8.86,1.5801354401805936,8.803611738148998,29.90506329113925,False,-6.0543,9.3371,1,2,1,50.0,46.28344895936571,46.28344895936571,18.419864559819406,1.5801354401805936,历史1/2次成功; 当前距低点1.58%; 最新日涨幅-6.05%; 状态bottom_area; 底部未确认
17,68.3516286462709,59.54839851431066,603037,凯众股份,bottom_area,2024-02-07,12.23,2024-02-06,11.94,2.4288107202680145,12.73031825795646,32.95901179112858,True,-5.9231,5.8912,1,2,1,50.0,39.71014492753625,39.71014492753625,17.571189279731986,2.4288107202680145,历史1/2次成功; 当前距低点2.43%; 最新日涨幅-5.92%; 状态bottom_area; 底部已确认
