rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.49063488967586,85.0474061787635,603305,旭升集团,bottom_area,2025-10-24,14.85,2025-10-23,14.4,3.124999999999995,4.30555555555555,29.064039408867,False,1.3652,3.1593,6,6,6,100.0,20.174226767545644,32.41061130334487,4.875000000000005,3.124999999999995,历史6/6次成功; 当前距低点3.12%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
2,84.88754161543046,81.3632363512561,000572,海马汽车,confirmed_rebound,2025-10-24,5.67,2025-10-23,5.57,1.795332136445236,8.438061041292634,28.129032258064512,False,-0.5263,6.6439,6,6,6,100.0,16.75587969006048,30.592105263157897,6.204667863554764,1.795332136445236,历史6/6次成功; 当前距低点1.80%; 最新日涨幅-0.53%; 状态confirmed_rebound; 底部未确认
3,83.05733785643127,78.71508481923864,002453,华软科技,bottom_area,2025-10-24,6.7,2025-10-23,6.62,1.2084592145015116,3.474320241691836,32.17213114754098,False,-1.6153,4.6545,2,2,2,100.0,18.44285929194665,28.60169491525425,6.791540785498489,1.2084592145015116,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
4,82.4498396156319,81.01496494242697,000700,模塑科技,bottom_area,2025-10-24,9.35,2025-10-23,9.07,3.0871003307607428,3.3076074972436484,30.974124809741248,False,0.863,1.7806,2,2,2,100.0,31.363191916997117,52.926829268292686,4.912899669239257,3.0871003307607428,历史2/2次成功; 当前距低点3.09%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
5,81.87766516833318,77.37529346832682,300056,中创环保,confirmed_rebound,2025-10-24,10.49,2025-10-15,10.38,1.05973025048169,8.188824662813097,29.001367989056074,True,-0.4744,2.4848,1,1,1,100.0,27.10472279260781,27.10472279260781,6.94026974951831,1.05973025048169,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.47%; 状态confirmed_rebound; 底部已确认
6,79.0717954767972,77.76491291257203,300141,和顺电气,bottom_area,2025-10-24,11.52,2025-10-23,11.17,3.1333930170098445,4.118173679498665,27.935483870967744,False,0.6114,8.1636,1,1,1,100.0,31.123919308357333,31.123919308357333,4.866606982990156,3.1333930170098445,历史1/1次成功; 当前距低点3.13%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
7,78.18634481983521,77.89448186885369,688036,传音控股,bottom_area,2025-10-24,76.65,2025-10-23,73.84,3.8055254604550406,5.119176598049839,29.609151572926596,False,-1.0968,1.0693,4,4,4,100.0,12.5326877348988,19.148936170212753,4.194474539544959,3.8055254604550406,历史4/4次成功; 当前距低点3.81%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
8,78.1067459807074,72.3210610932476,600629,华建集团,bottom_area,2025-10-24,29.84,2025-10-24,29.84,0.0,0.0,27.09504031272905,False,-10.0121,1.9665,1,1,1,100.0,48.23151125401931,48.23151125401931,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
9,77.46543042752093,78.7535050499563,600353,旭光电子,bottom_area,2025-10-24,16.19,2025-10-23,15.44,4.857512953367888,6.735751295336794,27.81673679289388,False,2.3388,4.185,3,3,3,100.0,24.239970879758562,41.11111111111111,3.142487046632113,4.857512953367888,历史3/3次成功; 当前距低点4.86%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
10,75.87381821980786,75.61250141491789,605488,福莱新材,bottom_area,2025-10-24,31.25,2025-10-23,30.1,3.8205980066445133,4.617940199335538,27.64423076923077,False,1.1327,1.8834,1,1,1,100.0,27.975617581007374,27.975617581007374,4.179401993355487,3.8205980066445133,历史1/1次成功; 当前距低点3.82%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
11,74.68024988338293,74.90218227530976,002674,兴业科技,bottom_area,2025-10-24,14.04,2025-10-20,13.48,4.154302670623135,6.824925816023739,27.52688172043011,False,-0.2841,1.2856,2,2,2,100.0,34.05372238887374,36.52849740932641,3.845697329376865,4.154302670623135,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
12,72.14444888423975,67.83541509481198,301498,乖宝宠物,bottom_area,2025-10-24,71.95,2025-10-24,71.38,0.7985430092462978,3.670495937237328,29.709502708025603,False,-1.7747,4.0824,1,1,1,100.0,11.430608365019017,11.430608365019017,7.201456990753702,0.7985430092462978,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
