rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.03245269147196,85.77954368814041,688208,道通科技,bottom_area,2022-09-02,27.35,2022-09-02,26.95,1.4842300556586352,2.708719851576996,29.89073881373569,False,0.1098,2.2859,3,3,3,100.0,20.66445276904346,34.72341892124764,6.515769944341365,1.4842300556586352,历史3/3次成功; 当前距低点1.48%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
2,87.50580883183223,83.31498632290753,603185,弘元绿能,bottom_area,2022-09-02,136.57,2022-09-01,134.62,1.4485217649680497,4.969543901351952,29.065233428179997,False,-1.9739,1.5827,3,3,3,100.0,29.449548102336955,43.51028702057404,6.551478235031951,1.4485217649680497,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,87.48389297312835,82.80709791174759,300340,科恒股份,bottom_area,2022-09-02,12.38,2022-09-02,12.24,1.1437908496732072,3.1862745098039262,27.999999999999996,False,-0.4023,2.5092,3,3,3,100.0,22.983554026895213,42.54473161033797,6.8562091503267935,1.1437908496732072,历史3/3次成功; 当前距低点1.14%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
4,86.32089040339184,82.15477478764406,300726,宏达电子,bottom_area,2022-09-02,46.16,2022-09-02,45.51,1.4282575258184984,2.4170511975390054,27.300319488817898,False,0.742,1.3983,2,2,2,100.0,17.156999712420586,20.972375690607738,6.5717424741815025,1.4282575258184984,历史2/2次成功; 当前距低点1.43%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
5,84.82404368548576,82.93230874068799,688288,鸿泉技术,bottom_area,2022-09-02,19.64,2022-09-01,19.1,2.8272251308900476,4.0314136125654425,30.087847730600288,False,2.666,1.0042,3,3,3,100.0,21.819258274824108,41.992882562277565,5.172774869109952,2.8272251308900476,历史3/3次成功; 当前距低点2.83%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
6,84.183621095061,80.63498415710171,605319,无锡振华,bottom_area,2022-09-02,13.87,2022-08-29,13.63,1.7608217168011624,5.209097578870132,27.345415778251603,False,0.8727,0.9479,2,2,2,100.0,13.062675652733196,17.248790972595383,6.239178283198838,1.7608217168011624,历史2/2次成功; 当前距低点1.76%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
7,83.63427114279118,80.23835483583397,002747,埃斯顿,bottom_area,2022-09-02,18.77,2022-09-01,18.43,1.8448182311448718,3.635377102550199,30.68822865739,False,1.5143,1.681,2,2,2,100.0,11.959894638947768,13.690987124463508,6.155181768855128,1.8448182311448718,历史2/2次成功; 当前距低点1.84%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
8,82.72676464152974,83.24684166200281,001212,中旗新材,confirmed_rebound,2022-09-02,28.94,2022-08-31,27.74,4.325883201153579,10.598413842826249,28.72559095580679,True,0.9066,6.5302,3,3,3,100.0,42.90244817544601,82.06521739130437,3.674116798846421,4.325883201153579,历史3/3次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态confirmed_rebound; 底部已确认
9,82.30383287591374,81.07627694605915,605258,协和电子,bottom_area,2022-09-02,23.09,2022-09-01,22.37,3.2185963343763917,3.933839964237814,28.98412698412698,False,2.5311,2.0823,1,1,1,100.0,49.971379507727534,49.971379507727534,4.781403665623609,3.2185963343763917,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
10,82.19611589318835,78.84633185448094,002735,王子新材,bottom_area,2022-09-02,19.96,2022-09-02,19.6,1.8367346938775482,3.1122448979591804,27.808471454880284,False,0.5035,1.1724,1,1,1,100.0,21.043478260869563,21.043478260869563,6.163265306122452,1.8367346938775482,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
11,82.05850712089362,80.85181947907382,688071,华依科技,bottom_area,2022-09-02,60.41,2022-09-02,58.52,3.2296650717703232,5.3144224196855765,29.840546697038718,False,0.3155,1.4878,3,3,3,100.0,15.566966896291156,16.966413867822318,4.770334928229677,3.2296650717703232,历史3/3次成功; 当前距低点3.23%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
12,82.0428641969818,79.8788953933217,002520,日发精机,bottom_area,2022-09-02,6.29,2022-09-01,6.13,2.610114192495924,3.5889070146818884,29.62112514351321,False,2.2764,2.3822,2,2,2,100.0,19.4083642592064,30.752212389380546,5.389885807504076,2.610114192495924,历史2/2次成功; 当前距低点2.61%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
13,81.8298655616943,77.31955801104974,300611,美力科技,confirmed_rebound,2022-09-02,9.6,2022-08-31,9.5,1.0526315789473648,11.789473684210519,31.70381020848311,False,-0.2079,3.5072,1,1,1,100.0,35.911602209944746,35.911602209944746,6.947368421052635,1.0526315789473648,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.21%; 状态confirmed_rebound; 底部未确认
14,81.59913864542023,78.3871762994899,603055,台华新材,bottom_area,2022-09-02,10.66,2022-09-01,10.46,1.9120458891013314,3.537284894837468,31.767775603392035,False,1.2346,0.3454,1,1,1,100.0,19.498069498069512,19.498069498069512,6.087954110898669,1.9120458891013314,历史1/1次成功; 当前距低点1.91%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
15,81.43200443204586,77.39547903490465,002850,科达利,bottom_area,2022-09-02,111.3,2022-09-02,109.81,1.356889172206534,3.81568163190966,28.68554357708793,False,-0.9522,1.7025,2,2,2,100.0,13.167668535137384,13.44718098343773,6.643110827793467,1.356889172206534,历史2/2次成功; 当前距低点1.36%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
16,81.30634383688704,81.8175690158187,300648,星云股份,bottom_area,2022-09-02,45.58,2022-09-02,43.69,4.325932707713437,5.241474021515219,27.509540401526472,False,0.3081,3.6205,4,4,4,100.0,17.53062144841583,26.78362573099414,3.6740672922865634,4.325932707713437,历史4/4次成功; 当前距低点4.33%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
17,81.23589521587603,78.11505314093148,002196,方正电机,bottom_area,2022-09-02,8.31,2022-09-01,8.15,1.9631901840490813,5.521472392638028,27.29705619982159,False,0.2413,1.888,1,1,1,100.0,18.661971830985923,18.661971830985923,6.036809815950919,1.9631901840490813,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
18,81.05259091650905,80.22287149790147,002045,国光电器,bottom_area,2022-09-02,12.84,2022-09-02,12.41,3.464947622884768,5.882352941176474,29.166666666666664,False,2.0668,16.4507,2,2,2,100.0,31.73630149504698,33.77563329312426,4.535052377115232,3.464947622884768,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
19,80.44488673070859,76.88807939386272,605069,正和生态,bottom_area,2022-09-02,10.48,2022-08-29,10.31,1.6488845780795336,5.237633365664395,30.66577000672494,False,1.256,0.8117,1,1,1,100.0,8.212560386473426,8.212560386473426,6.351115421920467,1.6488845780795336,历史1/1次成功; 当前距低点1.65%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
20,79.64629577821746,76.46200572422696,300740,水羊股份,bottom_area,2022-09-02,14.1,2022-09-01,13.84,1.8786127167630042,3.973988439306363,30.869130869130867,False,1.2204,1.4632,1,1,1,100.0,8.73786407766991,8.73786407766991,6.121387283236996,1.8786127167630042,历史1/1次成功; 当前距低点1.88%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
21,79.59239132690409,77.206607740086,002671,龙泉股份,bottom_area,2022-09-02,4.66,2022-08-26,4.55,2.4175824175824245,5.4945054945054945,27.316293929712458,False,1.3043,0.7849,1,1,1,100.0,19.347826086956534,19.347826086956534,5.582417582417576,2.4175824175824245,历史1/1次成功; 当前距低点2.42%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
22,79.27187814708054,76.28851323281083,002184,海得控制,bottom_area,2022-09-02,11.19,2022-09-01,10.97,2.005469462169543,2.8258887876025405,30.962869729389553,False,1.084,2.2288,1,1,1,100.0,9.360126916975144,9.360126916975144,5.994530537830458,2.005469462169543,历史1/1次成功; 当前距低点2.01%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
23,78.78138430953463,74.81443203611131,002346,柘中股份,bottom_area,2022-09-02,14.65,2022-09-02,14.46,1.3139695712309785,3.5961272475795267,30.14492753623188,False,-0.3401,1.2085,1,1,1,100.0,15.431627196333075,15.431627196333075,6.686030428769022,1.3139695712309785,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
