rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.80002427638324,82.38743716692821,603928,兴业股份,bottom_area,2025-07-17,15.8,2025-07-15,15.62,1.1523687580025703,3.008962868117802,29.92373261552266,False,0.1267,3.3209,1,1,1,100.0,31.69267707082834,31.69267707082834,18.84763124199743,1.1523687580025703,历史1/1次成功; 当前距低点1.15%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
2,89.66915683000136,79.9659212778095,002826,易明医药,bottom_area,2025-07-17,18.18,2025-07-15,17.53,3.707929264118645,4.677695379349688,30.73883840379296,False,0.8319,5.9997,1,1,1,100.0,50.0,50.0,16.292070735881357,3.707929264118645,历史1/1次成功; 当前距低点3.71%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
3,88.32511152439106,76.76879685454938,002155,湖南黄金,bottom_area,2025-07-17,17.79,2025-06-30,17.39,2.3001725129384623,7.073030477285798,29.28019520130134,True,-0.6145,1.8121,1,1,1,100.0,28.834355828220854,28.834355828220854,17.69982748706154,2.3001725129384623,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
4,88.25440591548616,77.52436381220546,301348,蓝箭电子,bottom_area,2025-07-17,20.36,2025-07-15,19.79,2.8802425467407797,3.183425972713505,29.92209631728045,False,0.6426,3.9927,1,1,1,100.0,26.727509778357234,26.727509778357234,17.119757453259222,2.8802425467407797,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
5,85.83640963635366,75.89678839470413,301108,洁雅股份,bottom_area,2025-07-17,23.9,2025-07-15,23.15,3.2397408207343417,4.103671706263511,32.32972814966384,False,1.4862,2.2966,1,1,1,100.0,22.383857343969968,22.383857343969968,16.76025917926566,3.2397408207343417,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
6,83.31190991497643,74.35029625937834,000999,华润三九,bottom_area,2025-07-17,31.56,2025-07-15,30.42,3.747534516765276,5.0295857988165595,30.036798528058867,False,2.2021,1.2771,1,1,1,100.0,20.293951384963254,20.293951384963254,16.252465483234722,3.747534516765276,历史1/1次成功; 当前距低点3.75%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
7,83.27061392507383,70.67830120430656,002658,雪迪龙,bottom_area,2025-07-17,8.06,2025-07-17,7.98,1.0025062656641612,2.1303258145363397,30.36649214659686,False,-0.9828,7.7014,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,18.99749373433584,1.0025062656641612,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
8,70.14473317209105,59.835811401552306,603022,新通联,bottom_area,2025-07-17,10.32,2025-07-15,10.19,1.2757605495583983,2.2571148184494643,32.202262142381905,False,-0.578,3.256,1,2,1,50.0,26.099706744868023,26.099706744868023,18.7242394504416,1.2757605495583983,历史1/2次成功; 当前距低点1.28%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
9,68.69350718153228,61.80624161073827,002636,金安国纪,bottom_area,2025-07-17,12.42,2025-07-16,11.92,4.194630872483222,5.956375838926182,28.192771084337352,False,2.8146,9.3341,1,2,1,50.0,69.0,69.0,15.80536912751678,4.194630872483222,历史1/2次成功; 当前距低点4.19%; 最新日涨幅2.81%; 状态bottom_area; 底部未确认
10,68.65933295845466,60.1091945457428,600241,时代万恒,bottom_area,2025-07-17,8.38,2025-07-15,8.16,2.6960784313725568,4.044117647058824,30.25641025641025,False,0.1195,1.7909,1,2,1,50.0,22.50673854447439,22.50673854447439,17.303921568627445,2.6960784313725568,历史1/2次成功; 当前距低点2.70%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
11,66.29570768492597,58.63291062553223,002041,登海种业,bottom_area,2025-07-17,9.84,2025-06-23,9.53,3.2528856243441817,4.931794333683113,29.719764011799416,False,0.0,0.6597,1,2,1,50.0,21.395106715252467,21.395106715252467,16.74711437565582,3.2528856243441817,历史1/2次成功; 当前距低点3.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,64.8040267396568,56.64351966873706,600227,赤天化,bottom_area,2025-07-17,2.36,2025-07-16,2.3,2.6086956521739157,3.478260869565221,27.444794952681388,False,-0.4219,1.7267,1,3,1,33.33333333333333,44.72049689440993,44.72049689440993,17.391304347826086,2.6086956521739157,历史1/3次成功; 当前距低点2.61%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
13,64.79251319587154,56.48299557728953,000637,茂化实华,bottom_area,2025-07-17,4.16,2025-07-07,4.06,2.4630541871921316,5.665024630541883,27.370304114490168,False,-0.2398,2.9457,1,2,1,50.0,22.627737226277358,22.627737226277358,17.53694581280787,2.4630541871921316,历史1/2次成功; 当前距低点2.46%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
14,61.24435200844675,55.213302425107024,300698,万马科技,bottom_area,2025-07-17,43.87,2025-07-14,42.06,4.303376129339028,7.489300998573463,27.093083723348926,True,-0.7241,5.9685,1,4,1,25.0,63.86182462356068,63.86182462356068,15.696623870660975,4.303376129339028,历史1/4次成功; 当前距低点4.30%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
