rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.44120144548059,85.3677668073667,605117,德业股份,bottom_area,2022-05-26,193.44,2022-05-26,186.08,3.9552880481513246,7.480653482373166,30.567164179104473,False,4.3872,2.1805,4,4,4,100.0,32.074320199740406,59.18895599654874,4.044711951848676,3.9552880481513246,历史4/4次成功; 当前距低点3.96%; 最新日涨幅4.39%; 状态bottom_area; 底部未确认
2,84.45044001782536,82.32374331550804,002663,普邦股份,bottom_area,2022-05-26,1.92,2022-05-25,1.87,2.6737967914438405,4.812834224598923,28.897338403041818,False,1.0526,2.9947,1,1,1,100.0,66.45569620253163,66.45569620253163,5.32620320855616,2.6737967914438405,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
3,80.05836640982756,77.29177059436915,002811,郑中设计,bottom_area,2022-05-26,8.94,2022-05-25,8.75,2.171428571428566,4.571428571428576,31.80046765393609,False,0.5624,3.7758,1,1,1,100.0,16.78832116788322,16.78832116788322,5.8285714285714345,2.171428571428566,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,79.88252906835707,77.34273631977948,002777,久远银海,bottom_area,2022-05-26,12.79,2022-05-26,12.5,2.319999999999993,3.1200000000000045,27.536231884057973,False,0.7087,0.4913,1,1,1,100.0,18.88352860096485,18.88352860096485,5.680000000000007,2.319999999999993,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
5,79.44270552893778,78.20269186980681,688188,柏楚电子,bottom_area,2022-05-26,209.48,2022-05-26,203.02,3.1819525169933893,4.871441237316514,30.629399302945398,False,3.2633,1.0116,1,1,1,100.0,34.07281509974057,34.07281509974057,4.818047483006611,3.1819525169933893,历史1/1次成功; 当前距低点3.18%; 最新日涨幅3.26%; 状态bottom_area; 底部未确认
6,78.80505473450904,76.30940135680233,605077,华康股份,bottom_area,2022-05-26,20.67,2022-05-26,20.2,2.326732673267339,4.702970297029699,32.396251673360105,False,0.4861,0.9029,1,1,1,100.0,13.410493827160492,13.410493827160492,5.673267326732661,2.326732673267339,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
7,76.37310886609689,76.41646572608329,002690,美亚光电,bottom_area,2022-05-26,18.33,2022-05-25,17.62,4.029511918274673,5.732122587968206,29.57633892885691,False,0.7143,0.611,2,2,2,100.0,18.19221989112653,23.25123152709359,3.970488081725328,4.029511918274673,历史2/2次成功; 当前距低点4.03%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
8,75.52230193458325,72.04813954491551,002723,小崧股份,bottom_area,2022-05-26,13.09,2022-05-26,12.89,1.5515903801396376,4.965089216446848,31.72669491525423,False,-3.252,4.2539,1,1,1,100.0,13.686911890504701,13.686911890504701,6.448409619860362,1.5515903801396376,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
9,75.12798368384807,72.42245243128964,601515,衢州东峰,bottom_area,2022-05-26,4.39,2022-05-25,4.3,2.0930232558139505,2.7906976744186074,27.731092436974798,False,-0.2273,0.6542,1,1,1,100.0,12.121212121212132,12.121212121212132,5.90697674418605,2.0930232558139505,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
10,72.58901682701205,70.65296321433419,300452,山河药辅,bottom_area,2022-05-26,13.05,2022-05-26,12.72,2.59433962264151,4.245283018867918,32.34042553191489,False,-0.9112,5.9628,1,1,1,100.0,8.752997601918471,8.752997601918471,5.40566037735849,2.59433962264151,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
