rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.09904667123317,77.79064188965242,600331,宏达股份,bottom_area,2021-11-05,3.38,2021-11-05,3.34,1.1976047904191627,7.185628742514977,30.848861283643895,False,-5.3221,3.8644,1,1,1,100.0,40.221402214022135,40.221402214022135,6.802395209580838,1.1976047904191627,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
2,78.4476734682007,76.98187297391934,300417,南华仪器,bottom_area,2021-11-05,11.26,2021-10-28,10.93,3.0192131747483995,5.946935041171092,27.80713342140027,False,0.2671,2.6086,1,1,1,100.0,25.514403292181065,25.514403292181065,4.9807868252516005,3.0192131747483995,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
3,77.10254444125464,75.12674971551778,000936,华西股份,bottom_area,2021-11-05,5.81,2021-11-03,5.66,2.65017667844522,4.063604240282677,29.072681704260656,False,0.6932,0.6749,1,1,1,100.0,11.016949152542363,11.016949152542363,5.34982332155478,2.65017667844522,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
4,76.34092612252466,73.79690160746564,603069,海汽集团,bottom_area,2021-11-05,14.62,2021-10-29,14.3,2.2377622377622273,5.9440559440559415,29.03225806451612,False,-1.6151,0.7559,1,1,1,100.0,21.284943599803825,21.284943599803825,5.762237762237773,2.2377622377622273,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,75.50158389988626,71.75318129278918,002386,天原股份,bottom_area,2021-11-05,10.49,2021-11-05,10.35,1.3526570048309234,7.729468599033823,27.82426778242678,False,-6.0877,7.0335,1,1,1,100.0,9.662576687116577,9.662576687116577,6.647342995169077,1.3526570048309234,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-6.09%; 状态bottom_area; 底部未确认
6,74.02135612942322,69.21357241629154,002233,塔牌集团,bottom_area,2021-11-05,9.87,2021-11-05,9.82,0.509164969450091,2.851323828920564,31.567944250871076,False,-2.2772,1.8863,1,1,1,100.0,15.292841648590022,15.292841648590022,7.49083503054991,0.509164969450091,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
7,73.41300493490799,69.22093345113814,000695,滨海能源,bottom_area,2021-11-05,8.56,2021-11-05,8.48,0.9433962264150951,6.485849056603761,32.21422861710631,False,-5.6229,3.1426,2,2,2,100.0,14.203638964325545,20.174346201743475,7.0566037735849045,0.9433962264150951,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
8,72.90272753883991,67.68587004454842,600997,开滦股份,bottom_area,2021-11-05,7.11,2021-11-05,7.1,0.1408450704225447,4.507042253521131,30.04926108374385,False,-5.0734,1.7628,1,1,1,100.0,12.77955271565495,12.77955271565495,7.859154929577455,0.1408450704225447,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
9,72.49553957219253,68.35003073154444,000301,东方盛虹,confirmed_rebound,2021-11-05,21.5,2021-11-05,21.3,0.9389671361502313,9.389671361502346,30.528375733855185,False,-7.5269,4.8335,2,2,2,100.0,19.682127967564348,28.337639965546952,7.061032863849769,0.9389671361502313,历史2/2次成功; 当前距低点0.94%; 最新日涨幅-7.53%; 状态confirmed_rebound; 底部未确认
10,71.1050693527319,66.48446367532014,688202,美迪西,bottom_area,2021-11-05,540.75,2021-11-05,538.02,0.5074160811865764,6.462585034013603,27.30147148242735,False,-5.2994,2.7166,1,1,1,100.0,10.813829787234049,10.813829787234049,7.492583918813424,0.5074160811865764,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
11,70.94257198681674,69.29215119710065,300497,富祥股份,confirmed_rebound,2021-11-05,16.29,2021-11-05,15.85,2.776025236593057,12.30283911671925,30.237676056338024,False,-6.6476,16.4735,1,1,1,100.0,24.094025465230157,24.094025465230157,5.223974763406943,2.776025236593057,历史1/1次成功; 当前距低点2.78%; 最新日涨幅-6.65%; 状态confirmed_rebound; 底部未确认
12,68.672702322754,67.91644354597184,601155,新城控股,confirmed_rebound,2021-11-05,29.6,2021-11-05,28.62,3.4241788958770107,9.294199860237597,28.144614612101428,False,-5.5821,1.239,1,1,1,100.0,24.642857142857142,24.642857142857142,4.57582110412299,3.4241788958770107,历史1/1次成功; 当前距低点3.42%; 最新日涨幅-5.58%; 状态confirmed_rebound; 底部未确认
13,67.03525643511453,67.62095885795925,002111,威海广泰,bottom_area,2021-11-05,11.73,2021-11-01,11.23,4.452359750667854,6.945681211041846,29.98753117206982,False,-0.8453,0.8334,1,1,1,100.0,15.227629513343796,15.227629513343796,3.5476402493321464,4.452359750667854,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
14,53.63552457200631,49.862798154788905,002607,中公教育,bottom_area,2021-11-05,9.59,2021-11-05,9.57,0.20898641588296316,4.911180773249726,28.47533632286996,False,-4.5771,3.7464,1,2,1,50.0,9.458533241946544,9.458533241946544,7.791013584117038,0.20898641588296316,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
