rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,80.59466394604458,73.30707796055418,002574,明牌珠宝,bottom_area,2025-01-10,4.25,2025-01-06,4.15,2.4096385542168584,8.91566265060239,28.07625649913344,True,-3.8462,0.9197,1,1,1,100.0,21.779859484777532,21.779859484777532,12.590361445783142,2.4096385542168584,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-3.85%; 状态bottom_area; 底部已确认
36,80.27817325818839,72.83302009311446,688148,芳源股份,bottom_area,2025-01-10,4.5,2025-01-06,4.4,2.2727272727272645,9.09090909090908,31.142410015649443,True,-4.2553,0.9708,3,4,3,75.0,21.71956061791728,26.66666666666668,12.727272727272734,2.2727272727272645,历史3/4次成功; 当前距低点2.27%; 最新日涨幅-4.26%; 状态bottom_area; 底部已确认
37,80.09813381109608,74.52505058241137,300746,汉嘉数智,bottom_area,2025-01-10,10.29,2025-01-06,9.93,3.625377643504526,9.969788519637465,31.893004115226343,True,-4.5455,1.4854,2,2,2,100.0,26.564040911837,36.90896259703598,11.374622356495474,3.625377643504526,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-4.55%; 状态bottom_area; 底部已确认
38,79.22033763722177,71.27112420748826,000155,川能动力,bottom_area,2025-01-10,10.62,2025-01-02,10.43,1.82166826462128,6.711409395973164,27.569444444444446,False,-2.925,1.1857,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,13.17833173537872,1.82166826462128,历史2/3次成功; 当前距低点1.82%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
39,79.01441687765012,74.1399063444109,002469,三维化学,bottom_area,2025-01-10,6.89,2025-01-06,6.62,4.0785498489425915,8.459214501510568,27.012127894156563,True,-2.8209,3.0761,1,1,1,100.0,36.5,36.5,10.921450151057407,4.0785498489425915,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
40,78.9847866894198,68.68242320819114,000926,福星股份,bottom_area,2025-01-10,2.31,2025-01-10,2.31,0.0,5.194805194805199,27.8125,False,-4.1494,2.0984,1,1,1,100.0,28.668941979522177,28.668941979522177,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.15%; 状态bottom_area; 底部未确认
41,78.62818196817375,68.84205738705738,000839,国安股份,bottom_area,2025-01-10,2.74,2025-01-08,2.73,0.36630036630037477,5.860805860805867,28.157894736842103,False,-3.5211,0.8865,1,1,1,100.0,21.75925925925925,21.75925925925925,14.633699633699623,0.36630036630037477,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
42,78.6065396153949,69.39559781681734,601216,君正集团,bottom_area,2025-01-10,4.98,2025-01-06,4.94,0.8097165991902842,5.465587044534404,31.767955801104968,False,-2.1611,0.9233,1,1,1,100.0,19.955654101995574,19.955654101995574,14.190283400809717,0.8097165991902842,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
43,78.46655180505465,68.2317841783084,603215,比依股份,bottom_area,2025-01-10,16.15,2025-01-10,16.15,0.0,6.439628482972154,31.567796610169502,False,-7.9247,33.6188,3,4,3,75.0,30.412818162948412,36.01562499999999,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-7.92%; 状态bottom_area; 底部未确认
44,78.16080321585237,69.73571865443428,000718,苏宁环球,bottom_area,2025-01-10,2.21,2025-01-08,2.18,1.3761467889908165,5.045871559633022,28.75816993464052,False,-1.7778,1.2238,2,3,2,66.66666666666666,27.77777777777778,36.111111111111114,13.623853211009182,1.3761467889908165,历史2/3次成功; 当前距低点1.38%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
45,78.05874528301887,67.87716981132075,000402,金融街,bottom_area,2025-01-10,3.0,2025-01-10,3.0,0.0,5.666666666666664,32.126696832579185,False,-4.4586,0.8811,1,1,1,100.0,24.339622641509433,24.339622641509433,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
46,77.86574102264008,68.71473136326294,600199,金种子酒,bottom_area,2025-01-10,11.5,2025-01-08,11.41,0.7887817703768611,4.645048203330406,27.232142857142854,False,-2.1277,1.2625,3,4,3,75.0,20.20512795549562,23.70304114490161,14.211218229623137,0.7887817703768611,历史3/4次成功; 当前距低点0.79%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
47,77.1245770971036,69.49192054890268,001287,中电港,bottom_area,2025-01-10,18.2,2025-01-06,17.86,1.9036954087346019,6.382978723404259,29.988239905919258,False,-2.9851,2.2482,2,3,2,66.66666666666666,32.93376029113394,42.36351071181756,13.096304591265397,1.9036954087346019,历史2/3次成功; 当前距低点1.90%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
48,76.89131947604676,67.23538606190834,605266,健之佳,bottom_area,2025-01-10,20.2,2025-01-10,20.14,0.29791459781528656,5.3128103277060585,29.531140657802652,False,-4.672,2.037,4,6,4,66.66666666666666,34.50518644226089,55.413271245634455,14.702085402184714,0.29791459781528656,历史4/6次成功; 当前距低点0.30%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
49,76.60616003131955,70.68407288534347,002194,武汉凡谷,bottom_area,2025-01-10,10.39,2025-01-06,10.07,3.177755710029794,7.845084409136039,28.98448519040902,True,-3.4387,2.6612,1,1,1,100.0,17.093311312964495,17.093311312964495,11.822244289970204,3.177755710029794,历史1/1次成功; 当前距低点3.18%; 最新日涨幅-3.44%; 状态bottom_area; 底部已确认
50,76.57223847809719,70.57480309418602,300342,天银机电,bottom_area,2025-01-10,14.88,2025-01-06,14.43,3.118503118503126,9.078309078309083,28.986220472440948,True,-4.0619,2.9589,3,4,3,75.0,19.9461838944793,26.68539325842696,11.881496881496874,3.118503118503126,历史3/4次成功; 当前距低点3.12%; 最新日涨幅-4.06%; 状态bottom_area; 底部已确认
51,76.56966463414635,66.58231707317074,000886,海南高速,bottom_area,2025-01-10,5.75,2025-01-10,5.75,0.0,7.652173913043485,32.98368298368298,False,-4.6434,2.6309,1,1,1,100.0,17.378048780487816,17.378048780487816,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.64%; 状态bottom_area; 底部未确认
52,76.36407224741605,66.40354108470962,002459,晶澳科技,bottom_area,2025-01-10,12.5,2025-01-10,12.5,0.0,7.040000000000006,29.298642533936654,False,-5.8735,1.6359,3,4,3,75.0,20.58355421886888,26.683937823834192,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-5.87%; 状态bottom_area; 底部未确认
53,75.59086768240357,68.72156721853881,601020,华钰矿业,bottom_area,2025-01-10,12.03,2025-01-06,11.75,2.38297872340425,7.4042553191489295,27.018633540372676,True,-2.7486,2.6421,2,3,2,66.66666666666666,25.473613124913108,26.324110671936758,12.61702127659575,2.38297872340425,历史2/3次成功; 当前距低点2.38%; 最新日涨幅-2.75%; 状态bottom_area; 底部已确认
54,75.56537589554989,68.40351661906438,300409,道氏技术,bottom_area,2025-01-10,12.34,2025-01-08,12.08,2.1523178807947003,7.0364238410596,28.26603325415677,True,-2.8346,2.7467,3,6,3,50.0,40.380652619765016,50.03460207612457,12.8476821192053,2.1523178807947003,历史3/6次成功; 当前距低点2.15%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
55,74.56077701065317,66.41251029776429,000062,深圳华强,bottom_area,2025-01-10,20.47,2025-01-08,20.21,1.2864918357248787,5.78921326076199,27.35442127965492,False,-2.6629,1.1121,2,4,2,50.0,28.256514425897883,37.385512073272274,13.71350816427512,1.2864918357248787,历史2/4次成功; 当前距低点1.29%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
56,74.4859970649631,67.45360042491842,002551,尚荣医疗,bottom_area,2025-01-10,2.82,2025-01-06,2.76,2.173913043478263,9.420289855072472,31.000000000000007,True,-4.4068,1.9459,2,4,2,50.0,45.75334496800466,52.61780104712043,12.826086956521737,2.173913043478263,历史2/4次成功; 当前距低点2.17%; 最新日涨幅-4.41%; 状态bottom_area; 底部已确认
57,73.61845812863075,68.79555844979004,001696,宗申动力,bottom_area,2025-01-10,20.99,2025-01-08,20.21,3.859475507174654,8.411677387431961,27.769835596854897,True,-1.7782,6.0808,2,3,2,66.66666666666666,43.97040827678273,65.16853932584267,11.140524492825346,3.859475507174654,历史2/3次成功; 当前距低点3.86%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
58,73.52878003186287,65.9891248299683,603155,新亚强,bottom_area,2025-01-10,12.03,2025-01-06,11.83,1.6906170752324539,6.593406593406588,27.155172413793093,False,-4.1434,1.029,2,3,2,66.66666666666666,21.70465104748192,25.624375624375624,13.309382924767545,1.6906170752324539,历史2/3次成功; 当前距低点1.69%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
59,73.33056287363205,65.1579004970074,000620,盈新发展,bottom_area,2025-01-10,1.75,2025-01-10,1.73,1.1560693641618507,8.670520231213867,29.387755102040824,False,-7.4074,3.4303,4,8,4,50.0,30.12762713600226,58.4192439862543,13.843930635838147,1.1560693641618507,历史4/8次成功; 当前距低点1.16%; 最新日涨幅-7.41%; 状态bottom_area; 底部未确认
