rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.30394519511664,79.05833660344453,605118,力鼎光电,bottom_area,2023-07-25,15.0,2023-07-24,14.85,1.0101010101010124,3.3670033670033668,27.170181461500743,False,0.5362,9.0717,1,1,1,100.0,12.050359712230225,12.050359712230225,8.989898989898988,1.0101010101010124,历史1/1次成功; 当前距低点1.01%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,84.62109214309613,79.30846402868549,300342,天银机电,bottom_area,2023-07-25,11.45,2023-07-25,11.27,1.597160603371781,5.2351375332741785,27.337201805286917,False,-4.5833,9.7141,3,3,3,100.0,19.9461838944793,26.68539325842696,8.40283939662822,1.597160603371781,历史3/3次成功; 当前距低点1.60%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
3,80.61085788577682,76.4243067167948,600990,四创电子,bottom_area,2023-07-25,23.22,2023-07-24,22.72,2.200704225352113,2.376760563380294,29.199127454035533,False,1.7528,0.6321,1,1,1,100.0,12.483399734395755,12.483399734395755,7.799295774647888,2.200704225352113,历史1/1次成功; 当前距低点2.20%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
4,78.83937458945486,75.67845472985435,601669,中国电建,bottom_area,2023-07-25,5.77,2023-06-07,5.61,2.852049910873427,5.882352941176471,29.78723404255319,False,1.7637,1.0391,1,1,1,100.0,16.457680250783696,16.457680250783696,7.147950089126573,2.852049910873427,历史1/1次成功; 当前距低点2.85%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
5,77.24993454496179,73.92007687632723,002654,万润科技,bottom_area,2023-07-25,10.7,2023-07-24,10.42,2.6871401151631416,7.005758157389639,27.63888888888889,False,-1.5639,12.0991,2,2,2,100.0,10.789012574726865,11.22448979591837,7.3128598848368584,2.6871401151631416,历史2/2次成功; 当前距低点2.69%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
6,76.27680262418713,73.99693274616635,688287,退市观典,bottom_area,2023-07-25,11.23,2023-07-24,10.86,3.406998158379383,3.5911602209944804,27.406417112299476,False,1.1712,0.6745,1,1,1,100.0,14.219830899308223,14.219830899308223,6.593001841620618,3.406998158379383,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
7,76.01410199831791,75.38311245506095,600995,南网储能,bottom_area,2023-07-25,11.23,2023-06-07,10.74,4.562383612662944,8.379888268156428,32.7909887359199,True,0.9892,0.6412,1,1,1,100.0,26.64165103189493,26.64165103189493,5.437616387337057,4.562383612662944,历史1/1次成功; 当前距低点4.56%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
8,75.652408718213,74.80420661664904,002755,奥赛康,bottom_area,2023-07-25,8.29,2023-07-17,7.94,4.408060453400488,4.6599496221662475,28.853046594982075,False,0.2418,0.339,1,1,1,100.0,30.831099195710454,30.831099195710454,5.591939546599513,4.408060453400488,历史1/1次成功; 当前距低点4.41%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
9,75.32227117732003,71.01440396225122,002829,星网宇达,bottom_area,2023-07-25,32.03,2023-07-25,31.43,1.909004136175633,2.3862551702195356,29.796738887647983,False,1.0091,2.7005,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,8.090995863824368,1.909004136175633,历史2/3次成功; 当前距低点1.91%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
10,74.39605910789463,67.97670426195556,301338,凯格精机,bottom_area,2023-07-25,45.28,2023-07-25,45.16,0.2657218777679463,7.993799822852096,28.11206622094875,False,-5.45,43.1667,1,1,1,100.0,15.873925501432662,15.873925501432662,9.734278122232054,0.2657218777679463,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
11,74.0694527983757,70.11154310685946,002403,爱仕达,bottom_area,2023-07-25,8.68,2023-07-24,8.5,2.1176470588235263,2.5882352941176547,31.891025641025646,False,1.5205,1.7643,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,7.882352941176474,2.1176470588235263,历史2/3次成功; 当前距低点2.12%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
