rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.78767041312507,84.00739866096212,603226,菲林格尔,bottom_area,2023-09-15,5.36,2023-09-12,5.25,2.0952380952381016,3.428571428571423,29.71887550200803,False,1.5152,3.2449,3,3,3,100.0,18.62656730163969,20.479302832244016,7.904761904761899,2.0952380952381016,历史3/3次成功; 当前距低点2.10%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,86.6568991510469,80.32679820550443,300561,汇金科技,bottom_area,2023-09-15,12.88,2023-09-13,12.75,1.019607843137261,3.058823529411769,30.96913914455874,False,-0.9231,2.8304,2,2,2,100.0,24.79303273041607,27.62128325508607,8.98039215686274,1.019607843137261,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
3,85.26418446984525,80.90762029985315,601777,千里科技,bottom_area,2023-09-15,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,0.0,0.5325,1,1,1,100.0,27.96352583586626,27.96352583586626,7.752808988764043,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
4,83.15762067969278,78.13531432741999,603221,爱丽家居,bottom_area,2023-09-15,8.23,2023-09-14,8.09,1.7305315203955574,3.3374536464771274,29.40663176265271,False,0.9816,2.9506,1,1,1,100.0,15.91895803183791,15.91895803183791,8.269468479604443,1.7305315203955574,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
5,81.38324095201973,75.43028011241097,603258,电魂网络,bottom_area,2023-09-15,28.89,2023-09-15,28.6,1.013986013986011,3.076923076923073,29.695181907571282,False,-0.8239,2.7428,1,1,1,100.0,15.065420560747667,15.065420560747667,8.98601398601399,1.013986013986011,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
6,80.30416624674518,77.12307076207449,002265,建设工业,bottom_area,2023-09-15,12.51,2023-08-25,12.16,2.8782894736842075,7.1546052631578885,28.344136711844424,True,0.8058,0.5997,3,4,3,75.0,19.519197645561725,32.75229357798165,7.121710526315793,2.8782894736842075,历史3/4次成功; 当前距低点2.88%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
7,79.96472516218834,73.07700723855449,688191,智洋创新,bottom_area,2023-09-15,18.27,2023-09-15,18.22,0.27442371020856593,2.524698133918775,27.120000000000005,False,-1.6685,2.9347,2,2,2,100.0,16.51985643994637,22.671568627450974,9.725576289791436,0.27442371020856593,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
8,79.7035143606716,74.75972602665112,601778,晶科科技,bottom_area,2023-09-15,3.72,2023-08-29,3.66,1.6393442622950833,7.377049180327869,28.79377431906614,True,0.2695,1.0098,2,3,2,66.66666666666666,26.348195043103452,42.344827586206904,8.360655737704917,1.6393442622950833,历史2/3次成功; 当前距低点1.64%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
9,78.57488548911584,72.75585808730811,688259,创耀科技,bottom_area,2023-09-15,80.77,2023-09-15,80.0,0.9624999999999949,8.337500000000002,27.391541114539848,False,-8.101,15.491,3,3,3,100.0,16.776118748968262,19.50136612021858,9.037500000000005,0.9624999999999949,历史3/3次成功; 当前距低点0.96%; 最新日涨幅-8.10%; 状态bottom_area; 底部未确认
10,78.5182539056497,76.38833345487575,000028,国药一致,bottom_area,2023-09-15,31.74,2023-09-08,30.65,3.556280587275693,5.481239804241435,30.577576443941112,False,0.4113,0.8635,2,2,2,100.0,12.240070934754426,14.150943396226415,6.443719412724308,3.556280587275693,历史2/2次成功; 当前距低点3.56%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
11,77.42487267432982,71.72114382682079,603106,恒银科技,bottom_area,2023-09-15,7.18,2023-09-11,7.11,0.9845288326300898,6.610407876230657,30.634146341463413,False,-0.4161,4.8312,1,1,1,100.0,34.60144927536232,34.60144927536232,9.015471167369911,0.9845288326300898,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
