rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.09331603652406,77.56741702741705,002016,世荣兆业,bottom_area,2025-02-27,6.01,2025-02-25,5.94,1.1784511784511682,3.1986531986531905,30.281690140845065,False,-0.3317,2.0942,1,1,1,100.0,28.571428571428566,28.571428571428566,18.821548821548834,1.1784511784511682,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
2,75.13038258157988,67.465071018296,688205,德科立,bottom_area,2025-02-27,80.99,2025-02-27,77.81,4.086878293278489,15.923403161547359,31.14159292035398,False,-9.4072,16.1574,1,1,1,100.0,20.12448132780082,20.12448132780082,15.913121706721512,4.086878293278489,历史1/1次成功; 当前距低点4.09%; 最新日涨幅-9.41%; 状态bottom_area; 底部未确认
3,62.42396556241815,56.35496891051638,300422,博世科,bottom_area,2025-02-27,4.29,2025-02-06,4.11,4.379562043795613,6.5693430656934195,30.220713073005083,False,-0.464,2.495,1,2,1,50.0,45.4320987654321,45.4320987654321,15.62043795620439,4.379562043795613,历史1/2次成功; 当前距低点4.38%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
