rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.29454965237463,83.12011316951862,002584,西陇科学,bottom_area,2023-11-23,9.95,2023-11-23,9.75,2.051282051282044,7.6923076923076925,31.818181818181824,False,-8.1256,41.9735,4,4,4,100.0,29.338904550761658,68.08510638297875,5.948717948717956,2.051282051282044,历史4/4次成功; 当前距低点2.05%; 最新日涨幅-8.13%; 状态bottom_area; 底部未确认
2,80.72223502721634,77.65982771471514,300683,海特生物,bottom_area,2023-11-23,37.43,2023-11-21,36.7,1.9891008174386833,3.5149863760217954,28.931061192873734,False,1.9058,1.5836,1,1,1,100.0,16.532137518684582,16.532137518684582,6.0108991825613165,1.9891008174386833,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
3,79.00288531106133,79.8008942535973,000928,中钢国际,bottom_area,2023-11-23,6.24,2023-10-23,5.97,4.522613065326641,7.705192629815745,31.06235565819862,True,1.2987,1.3192,3,3,3,100.0,16.57232280936585,18.798449612403097,3.4773869346733592,4.522613065326641,历史3/3次成功; 当前距低点4.52%; 最新日涨幅1.30%; 状态bottom_area; 底部已确认
4,78.52404969523954,74.48455686589833,300554,三超新材,bottom_area,2023-11-23,29.06,2023-11-23,28.7,1.2543554006968622,4.00696864111499,27.341772151898734,False,-1.3243,14.751,1,1,1,100.0,12.927350427350436,12.927350427350436,6.745644599303138,1.2543554006968622,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
5,76.72073580967995,71.27737431843417,605086,龙高股份,bottom_area,2023-11-23,28.64,2023-11-23,28.59,0.1748863238894743,4.442112626792583,28.219934722570923,False,-4.7872,19.1553,2,2,2,100.0,15.839328693022429,17.79249448123621,7.825113676110526,0.1748863238894743,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
6,76.5615623354129,73.38364835288856,601022,宁波远洋,bottom_area,2023-11-23,10.77,2023-11-23,10.58,1.795841209829863,3.7807183364839356,27.084769124741552,False,-0.554,16.4289,1,1,1,100.0,13.646055437100205,13.646055437100205,6.204158790170138,1.795841209829863,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
7,76.46995574948282,77.46594649006944,600048,保利发展,bottom_area,2023-11-23,11.2,2023-10-30,10.7,4.672897196261683,5.981308411214959,28.139691067830768,False,3.2258,0.8672,2,2,2,100.0,31.721247836269217,31.987577639751546,3.327102803738317,4.672897196261683,历史2/2次成功; 当前距低点4.67%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
8,76.03360694403167,77.27137577936647,002080,中材科技,confirmed_rebound,2023-11-23,17.33,2023-10-26,16.53,4.839685420447654,9.074410163339381,27.244718309859145,True,1.4637,0.3559,3,3,3,100.0,17.074508268747955,28.579356270810223,3.1603145795523466,4.839685420447654,历史3/3次成功; 当前距低点4.84%; 最新日涨幅1.46%; 状态confirmed_rebound; 底部已确认
9,71.34532949206924,66.77862095641055,301448,开创电气,bottom_area,2023-11-23,39.4,2023-11-23,39.18,0.5615109749872356,6.942317508933127,27.698837423878942,False,-7.2941,34.7582,1,1,1,100.0,13.058419243986243,13.058419243986243,7.438489025012765,0.5615109749872356,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-7.29%; 状态bottom_area; 底部未确认
10,68.53234164024447,69.86306672063756,002366,融发核电,confirmed_rebound,2023-11-23,5.25,2023-10-23,5.0,5.0,9.2,28.469241773962807,True,0.0,0.8416,3,4,3,75.0,16.710036132459983,25.0,3.0,5.0,历史3/4次成功; 当前距低点5.00%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
11,66.14772070958351,63.72159071592025,300337,银邦股份,bottom_area,2023-11-23,8.93,2023-11-22,8.75,2.057142857142854,3.885714285714284,27.022518765638033,False,1.8244,4.9817,1,2,1,50.0,34.09610983981694,34.09610983981694,5.942857142857147,2.057142857142854,历史1/2次成功; 当前距低点2.06%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
