rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.1855123465366,82.34911851036509,603106,恒银科技,bottom_area,2023-09-14,7.21,2023-09-11,7.11,1.4064697609001355,6.610407876230657,30.634146341463413,False,0.0,3.4355,1,1,1,100.0,34.60144927536232,34.60144927536232,8.593530239099865,1.4064697609001355,历史1/1次成功; 当前距低点1.41%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.27089352838915,82.36091585256327,300561,汇金科技,bottom_area,2023-09-14,13.0,2023-09-13,12.75,1.9607843137254901,2.6666666666666656,30.96913914455874,False,0.7752,3.6122,2,2,2,100.0,24.79303273041607,27.62128325508607,8.03921568627451,1.9607843137254901,历史2/2次成功; 当前距低点1.96%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
3,86.2594581956536,81.16995357180265,688191,智洋创新,bottom_area,2023-09-14,18.58,2023-09-14,18.25,1.8082191780821826,2.73972602739726,27.0,False,0.1617,3.5421,2,2,2,100.0,16.51985643994637,22.671568627450974,8.191780821917819,1.8082191780821826,历史2/2次成功; 当前距低点1.81%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
4,82.57532703329522,75.89168437524783,603226,菲林格尔,bottom_area,2023-09-14,5.28,2023-09-12,5.25,0.5714285714285762,3.428571428571423,29.71887550200803,False,-1.3084,4.0098,3,3,3,100.0,18.62656730163969,20.479302832244016,9.428571428571425,0.5714285714285762,历史3/3次成功; 当前距低点0.57%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
5,80.85910754676831,76.72762029985314,601777,千里科技,bottom_area,2023-09-14,3.64,2023-08-25,3.56,2.247191011235957,8.146067415730338,27.93522267206478,True,-0.8174,0.5646,1,1,1,100.0,27.96352583586626,27.96352583586626,7.752808988764043,2.247191011235957,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
6,80.15740262253932,77.35538076319548,000028,国药一致,bottom_area,2023-09-14,31.61,2023-09-08,30.65,3.132137030995109,5.481239804241435,30.577576443941112,False,0.5407,0.7076,2,2,2,100.0,12.240070934754426,14.150943396226415,6.867862969004893,3.132137030995109,历史2/2次成功; 当前距低点3.13%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
7,79.14966567103411,72.97994967970676,603221,爱丽家居,bottom_area,2023-09-14,8.15,2023-09-14,8.09,0.7416563658838133,2.1013597033374527,29.40663176265271,False,0.1229,2.6809,1,1,1,100.0,15.91895803183791,15.91895803183791,9.258343634116187,0.7416563658838133,历史1/1次成功; 当前距低点0.74%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
8,79.13472980040206,74.81807076207447,002265,建设工业,bottom_area,2023-09-14,12.41,2023-08-25,12.16,2.055921052631579,7.1546052631578885,28.344136711844424,True,-1.0367,0.6546,3,4,3,75.0,19.519197645561725,32.75229357798165,7.944078947368421,2.055921052631579,历史3/4次成功; 当前距低点2.06%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
9,78.9122404878135,78.08960790262707,300588,熙菱信息,bottom_area,2023-09-14,12.91,2023-09-12,12.36,4.449838187702271,9.870550161812304,27.20848056537103,True,2.7049,21.5298,2,2,2,100.0,23.146446078431378,25.98039215686274,5.550161812297729,4.449838187702271,历史2/2次成功; 当前距低点4.45%; 最新日涨幅2.70%; 状态bottom_area; 底部已确认
10,76.7619251709255,75.50717360947394,002339,积成电子,bottom_area,2023-09-14,6.8,2023-08-25,6.53,4.134762633996931,9.494640122511488,27.201783723522855,True,-1.1628,1.1158,3,4,3,75.0,48.70662588702658,82.94930875576038,5.86523736600307,4.134762633996931,历史3/4次成功; 当前距低点4.13%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
11,76.30777443153136,71.20267684632327,601778,晶科科技,bottom_area,2023-09-14,3.71,2023-08-29,3.66,1.36612021857923,7.377049180327869,28.79377431906614,True,-1.0667,1.0868,2,3,2,66.66666666666666,26.348195043103452,42.344827586206904,8.63387978142077,1.36612021857923,历史2/3次成功; 当前距低点1.37%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
12,75.1902317740798,73.48540348981682,688339,亿华通,bottom_area,2023-09-14,53.32,2023-08-29,51.37,3.7959898773603324,9.791707222114077,27.392226148409897,True,-2.6119,0.6741,2,2,2,100.0,12.850862420421358,14.0971239981141,6.204010122639668,3.7959898773603324,历史2/2次成功; 当前距低点3.80%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
13,74.05869830614984,67.72555665405113,603258,电魂网络,bottom_area,2023-09-14,29.13,2023-09-14,29.04,0.30991735537190035,6.887052341597796,28.613569321533927,False,-6.4247,5.7262,1,1,1,100.0,15.065420560747667,15.065420560747667,9.6900826446281,0.30991735537190035,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-6.42%; 状态bottom_area; 底部未确认
