rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.00107966844904,82.82411735983518,300595,欧普康视,bottom_area,2024-10-17,18.23,2024-10-16,18.0,1.2777777777777801,4.277777777777776,27.594529364440866,False,0.0549,1.6734,2,2,2,100.0,18.911025232088786,19.855715871254166,13.72222222222222,1.2777777777777801,历史2/2次成功; 当前距低点1.28%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,92.26107686500698,82.43540640935446,688358,祥生医疗,bottom_area,2024-10-17,23.03,2024-10-16,22.7,1.4537444933920787,4.5374449339207095,28.232690483717988,False,0.6996,0.8183,3,4,3,75.0,39.8115260983247,68.06588735387884,13.54625550660792,1.4537444933920787,历史3/4次成功; 当前距低点1.45%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
3,90.42567927355161,80.94086692261925,688349,三一重能,bottom_area,2024-10-17,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0,1.6703,1,1,1,100.0,28.790581519800213,28.790581519800213,13.449920508744034,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,88.49775072525401,81.53090651922336,300510,金冠股份,bottom_area,2024-10-17,4.33,2024-10-11,4.2,3.0952380952380927,8.809523809523812,27.835051546391753,True,-0.6881,2.9,3,3,3,100.0,30.849727829925854,40.000000000000014,11.904761904761907,3.0952380952380927,历史3/3次成功; 当前距低点3.10%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
5,88.3091346172413,79.65878105925148,688255,凯尔达,bottom_area,2024-10-17,20.25,2024-10-11,19.86,1.9637462235649576,9.214501510574028,27.834302325581394,True,0.1979,1.251,1,1,1,100.0,17.774851876234372,17.774851876234372,13.036253776435041,1.9637462235649576,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
6,84.78876899963312,75.20024592505641,688315,诺禾致源,bottom_area,2024-10-17,11.47,2024-10-14,11.35,1.0572687224669692,8.01762114537445,27.70700636942675,True,-1.2059,0.8241,3,5,3,60.0,41.83235813054352,86.2826357231662,13.94273127753303,1.0572687224669692,历史3/5次成功; 当前距低点1.06%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
7,83.80726265226569,74.0909495336044,688310,迈得医疗,bottom_area,2024-10-17,11.4,2024-10-16,11.3,0.8849557522123862,3.8938053097345082,28.25396825396825,False,0.0,0.9551,1,1,1,100.0,23.648648648648653,23.648648648648653,14.115044247787614,0.8849557522123862,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,82.8587373634394,76.60161625928153,300763,锦浪科技,bottom_area,2024-10-17,71.44,2024-10-16,69.17,3.281769553274535,6.375596356802077,29.266796195930056,False,2.2178,4.1241,3,4,3,75.0,30.855112047029355,36.020348268440614,11.718230446725464,3.281769553274535,历史3/4次成功; 当前距低点3.28%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
9,82.21786796536796,72.1912987012987,300723,一品红,bottom_area,2024-10-17,15.48,2024-10-16,15.4,0.5194805194805199,3.441558441558437,27.76735459662289,False,-0.4502,0.966,1,1,1,100.0,31.428571428571427,31.428571428571427,14.48051948051948,0.5194805194805199,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
10,81.09279134590449,70.8382904892759,688226,威腾电气,bottom_area,2024-10-17,16.41,2024-10-16,16.37,0.24434941967012305,4.703726328649966,27.244444444444436,False,-1.8541,2.0871,1,1,1,100.0,20.78175895765472,20.78175895765472,14.755650580329876,0.24434941967012305,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
11,80.53729334861984,70.18571962984839,001215,千味央厨,bottom_area,2024-10-17,25.68,2024-10-17,25.65,0.11695906432748983,3.6647173489278804,27.562835357243713,False,-2.2087,3.715,1,1,1,100.0,15.711754282339044,15.711754282339044,14.88304093567251,0.11695906432748983,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
12,80.37584319108474,71.72299654020964,688236,春立医疗,bottom_area,2024-10-17,12.45,2024-10-16,12.28,1.384364820846905,3.583061889250825,29.18108419838524,False,-0.1604,3.0057,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,13.615635179153093,1.384364820846905,历史2/3次成功; 当前距低点1.38%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
13,80.18194593574971,69.99337902956384,688126,沪硅产业,bottom_area,2024-10-17,19.39,2024-10-17,19.35,0.20671834625322552,4.702842377260982,29.224579370885145,False,-1.7233,1.0941,1,1,1,100.0,15.777940102264429,15.777940102264429,14.793281653746773,0.20671834625322552,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
14,79.27457937270982,73.0273765993796,300662,科锐国际,bottom_area,2024-10-17,18.68,2024-10-16,18.12,3.0905077262693084,6.125827814569533,31.519274376417233,False,-0.107,3.7185,1,1,1,100.0,27.600721587492483,27.600721587492483,11.909492273730692,3.0905077262693084,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
15,78.18307951083149,69.95541484483938,301499,维科精密,bottom_area,2024-10-17,25.89,2024-10-14,25.5,1.5294117647058845,8.78431372549019,29.166666666666668,True,-1.5589,10.2527,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,13.470588235294114,1.5294117647058845,历史2/3次成功; 当前距低点1.53%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
16,76.91730758563833,70.10389752306028,688117,圣诺生物,bottom_area,2024-10-17,26.87,2024-10-14,26.21,2.518122853872568,5.036245707745136,29.123850730124385,False,0.1118,1.7423,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,12.481877146127433,2.518122853872568,历史2/3次成功; 当前距低点2.52%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
17,71.99827772258072,63.14626680514688,688148,芳源股份,bottom_area,2024-10-17,4.38,2024-10-16,4.36,0.45871559633026543,4.1284403669724705,27.333333333333325,False,-0.6803,1.485,2,3,2,66.66666666666666,20.943396226415096,26.66666666666668,14.541284403669735,0.45871559633026543,历史2/3次成功; 当前距低点0.46%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
18,71.94919538727977,62.65722985910433,688005,容百科技,bottom_area,2024-10-17,25.27,2024-10-17,25.25,0.07920792079207752,4.316831683168316,27.442528735632177,False,-1.7496,2.3894,2,4,2,50.0,33.10658020704442,38.76758854924795,14.920792079207922,0.07920792079207752,历史2/4次成功; 当前距低点0.08%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
19,71.80399603381969,63.27293869748151,300759,康龙化成,bottom_area,2024-10-17,25.51,2024-10-16,25.33,0.7106198183971705,3.8294512435846917,30.45030203185064,False,-2.1856,3.0019,2,3,2,66.66666666666666,24.712286111614976,32.829977628635355,14.289380181602828,0.7106198183971705,历史2/3次成功; 当前距低点0.71%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
20,70.5992927787812,63.35161616161618,000430,张家界,bottom_area,2024-10-17,6.04,2024-10-16,5.94,1.6835016835016776,4.377104377104373,28.433734939759038,False,-0.9836,4.2896,1,2,1,50.0,53.99999999999999,53.99999999999999,13.31649831649832,1.6835016835016776,历史1/2次成功; 当前距低点1.68%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
21,69.27151122288736,60.69015533318023,688339,亿华通,bottom_area,2024-10-17,22.49,2024-10-17,22.4,0.40178571428571364,3.9285714285714404,27.2963323596235,False,-1.9616,1.6975,2,5,2,40.0,48.15175678361104,76.30996309963099,14.598214285714286,0.40178571428571364,历史2/5次成功; 当前距低点0.40%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
22,69.15134092009875,60.393572313196664,002347,泰尔股份,bottom_area,2024-10-17,4.31,2024-10-17,4.3,0.23255813953487878,3.720930232558143,27.97319932998325,False,-1.8223,10.8506,2,4,2,50.0,22.816155222237516,29.585798816568047,14.767441860465121,0.23255813953487878,历史2/4次成功; 当前距低点0.23%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
23,68.83167208211977,60.29960875922155,688357,建龙微纳,bottom_area,2024-10-17,22.75,2024-10-17,22.66,0.39717563989408583,3.0008826125330965,27.208480565371023,False,-0.9578,1.0983,3,6,3,50.0,24.32886676440894,31.65083135391925,14.602824360105915,0.39717563989408583,历史3/6次成功; 当前距低点0.40%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
24,67.82642155794869,63.53612052723595,688320,禾川科技,bottom_area,2024-10-17,26.59,2024-10-14,25.57,3.989049667579193,9.307782557684781,30.440696409140365,True,1.1796,2.8511,2,5,2,40.0,35.920181555465064,38.29133374308544,11.010950332420807,3.989049667579193,历史2/5次成功; 当前距低点3.99%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
25,67.10386661878205,59.834684016451824,300693,盛弘股份,bottom_area,2024-10-17,24.13,2024-10-16,23.81,1.3439731205375904,3.611927761444784,27.62917933130699,False,0.0415,3.3524,1,5,1,20.0,36.12334801762114,36.12334801762114,13.65602687946241,1.3439731205375904,历史1/5次成功; 当前距低点1.34%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
26,67.03766265107073,61.596559038709444,605117,德业股份,bottom_area,2024-10-17,82.98,2024-10-17,80.6,2.9528535980149004,7.071960297766753,27.906976744186053,False,-3.5116,3.0637,4,9,4,44.44444444444444,45.04276414555002,60.22338317420285,12.0471464019851,2.9528535980149004,历史4/9次成功; 当前距低点2.95%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
27,63.16465629822344,55.58915543519337,688062,迈威生物,bottom_area,2024-10-17,23.5,2024-10-17,23.35,0.6423982869378954,3.383297644539611,29.242424242424235,False,-0.802,1.4662,1,2,1,50.0,35.34313725490197,35.34313725490197,14.357601713062104,0.6423982869378954,历史1/2次成功; 当前距低点0.64%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
