rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.06392146863844,81.8909433962264,603004,鼎龙科技,bottom_area,2024-09-10,16.28,2024-09-10,15.9,2.389937106918244,3.773584905660375,28.184281842818425,False,-0.489,11.8217,2,2,2,100.0,52.20363732099522,55.7168784029038,17.610062893081757,2.389937106918244,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
2,93.35256194540405,80.59213980898191,002674,兴业科技,bottom_area,2024-09-10,7.92,2024-08-21,7.77,1.9305019305019353,6.30630630630631,31.72231985940247,False,0.7634,0.2759,1,1,1,100.0,31.578947368421055,31.578947368421055,18.069498069498067,1.9305019305019353,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,93.11116880782993,79.23087300986168,603027,千禾味业,bottom_area,2024-09-10,10.64,2024-09-10,10.52,1.1406844106463974,2.7566539923954463,27.04576976421637,False,-1.4815,1.265,1,1,1,100.0,37.051792828685265,37.051792828685265,18.859315589353603,1.1406844106463974,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
4,87.93191950464399,76.00894736842106,300761,立华股份,bottom_area,2024-09-10,18.36,2024-09-10,18.0,1.999999999999997,3.4999999999999947,27.710843373493972,False,-1.1841,0.4921,1,1,1,100.0,30.263157894736853,30.263157894736853,18.000000000000004,1.999999999999997,历史1/1次成功; 当前距低点2.00%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
5,86.87011547707654,76.45256091501223,603079,圣达生物,bottom_area,2024-09-10,10.7,2024-08-26,10.39,2.983638113570729,6.929740134744936,28.83561643835616,False,0.0935,1.0123,1,1,1,100.0,22.232558139534888,22.232558139534888,17.01636188642927,2.983638113570729,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
6,86.55483132147072,78.5927270145737,000532,华金资本,bottom_area,2024-09-10,10.7,2024-09-04,10.22,4.696673189823861,7.632093933463789,27.926657263751757,True,0.0,2.6206,2,2,2,100.0,28.877106921355356,32.044198895027606,15.30332681017614,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,83.76083919562885,74.96106231515422,600345,长江通信,bottom_area,2024-09-10,15.18,2024-09-10,14.61,3.9014373716632464,4.449007529089667,27.529761904761905,False,2.6369,2.23,1,1,1,100.0,25.46419098143237,25.46419098143237,16.098562628336754,3.9014373716632464,历史1/1次成功; 当前距低点3.90%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
8,83.22955137113183,70.92594622862893,601919,中远海控,bottom_area,2024-09-10,11.61,2024-09-10,11.47,1.2205754141237906,2.7027027027026915,29.328404189772023,False,-0.172,0.3902,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,18.77942458587621,1.2205754141237906,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
9,82.88091953792356,69.93110300787284,301607,富特科技,bottom_area,2024-09-10,40.08,2024-09-10,39.81,0.6782215523737655,11.780959557900019,29.41489361702127,False,-3.8618,55.0296,1,1,1,100.0,31.437893264973205,31.437893264973205,19.321778447626237,0.6782215523737655,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
10,76.05583122257683,67.12623043622948,600183,生益科技,bottom_area,2024-09-10,17.41,2024-08-29,16.88,3.1398104265402913,7.760663507109018,29.519832985386223,True,1.8129,0.7745,2,4,2,50.0,23.14515165989969,25.158227848101262,16.86018957345971,3.1398104265402913,历史2/4次成功; 当前距低点3.14%; 最新日涨幅1.81%; 状态bottom_area; 底部已确认
11,72.1702847696076,61.9365205914265,000037,深南电A,bottom_area,2024-09-10,6.96,2024-09-10,6.85,1.605839416058399,2.1897810218978155,29.235537190082646,False,0.4329,0.9873,2,8,2,25.0,39.8001852690304,45.16765285996055,18.394160583941602,1.605839416058399,历史2/8次成功; 当前距低点1.61%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
