rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,102.30025439842126,87.29213324416183,000919,金陵药业,bottom_area,2026-05-28,6.27,8.83,2026-05-28,6.19,1.292407108239082,2.2617124394184116,29.898074745186857,28.992072480181207,False,0.8039,1.7367,3,3,3,100.0,26.44527661799429,31.2267657992565,18.707592891760918,1.292407108239082,历史3/3次成功; 当前距低点1.29%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
2,95.59442823216504,83.99166734039851,300411,金盾股份,bottom_area,2026-05-28,8.18,11.24,2026-05-28,7.95,2.8930817610062833,3.773584905660375,29.270462633451956,27.22419928825623,False,1.4888,2.3552,3,3,3,100.0,28.322009438133495,33.550488599348526,17.106918238993718,2.8930817610062833,历史3/3次成功; 当前距低点2.89%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
3,94.69871206479239,82.22390243902439,300348,长亮科技,bottom_area,2026-05-28,10.48,14.95,2026-05-28,10.25,2.2439024390243945,4.097560975609755,31.438127090301,29.899665551839462,False,-0.8515,2.0327,2,2,2,100.0,61.67178134052256,87.71331058020478,17.756097560975608,2.2439024390243945,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
4,94.52920282242776,82.56446227929376,300272,开能健康,bottom_area,2026-05-28,6.39,9.02,2026-05-27,6.23,2.568218298555365,4.333868378812192,30.931263858093118,29.15742793791574,False,1.4286,1.6366,1,1,1,100.0,65.74468085106382,65.74468085106382,17.43178170144464,2.568218298555365,历史1/1次成功; 当前距低点2.57%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
5,94.02485865834949,80.54565756142715,688819,天能股份,bottom_area,2026-05-28,24.93,36.54,2026-05-28,24.56,1.5065146579804602,2.605863192182413,32.785987958401755,31.773399014778324,False,0.1607,0.3074,1,1,1,100.0,26.131779471089207,26.131779471089207,18.493485342019543,1.5065146579804602,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
6,93.81933653722254,80.92291430952969,000912,泸天化,bottom_area,2026-05-28,3.79,5.43,2026-05-27,3.72,1.8817204301075225,3.763440860215045,31.491712707182312,30.202578268876607,False,1.0667,1.671,4,5,4,80.0,26.092671452552917,33.20388349514563,18.11827956989248,1.8817204301075225,历史4/5次成功; 当前距低点1.88%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
7,93.6659358321956,82.1092857142857,000913,钱江摩托,bottom_area,2026-05-28,11.51,15.85,2026-05-28,11.2,2.7678571428571477,4.553571428571443,29.33753943217666,27.381703470031542,False,1.3204,0.9154,1,1,1,100.0,53.534183082271134,53.534183082271134,17.232142857142854,2.7678571428571477,历史1/1次成功; 当前距低点2.77%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
8,92.66902142088203,81.19871719566866,300798,锦鸡股份,bottom_area,2026-05-28,8.24,11.45,2026-05-27,8.02,2.743142144638412,4.862842892768087,29.95633187772926,28.03493449781659,False,1.8541,3.6022,1,1,1,100.0,44.801512287334596,44.801512287334596,17.25685785536159,2.743142144638412,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
9,92.45399752536227,82.12534930045801,300355,蒙草生态,bottom_area,2026-05-28,3.26,4.38,2026-05-27,3.15,3.492063492063488,6.349206349206354,28.08219178082192,25.570776255707766,False,3.4921,2.2423,3,3,3,100.0,25.63039818474601,33.201581027668,16.507936507936513,3.492063492063488,历史3/3次成功; 当前距低点3.49%; 最新日涨幅3.49%; 状态bottom_area; 底部未确认
10,92.14164254509072,81.07966718471948,605089,味知香,bottom_area,2026-05-28,22.15,31.08,2026-05-27,21.51,2.9753602975360156,5.299860529986039,30.79150579150578,28.732303732303734,False,1.1416,0.9502,2,2,2,100.0,30.341336898395717,38.50267379679143,17.024639702463983,2.9753602975360156,历史2/2次成功; 当前距低点2.98%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
11,91.10715794133377,78.20945787132567,601800,中国交建,bottom_area,2026-05-28,6.27,8.55,2026-05-27,6.17,1.6207455429497513,3.7277147487844475,27.836257309941526,26.66666666666668,False,-0.1592,0.5307,1,1,1,100.0,37.44493392070484,37.44493392070484,18.37925445705025,1.6207455429497513,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
12,90.44124750228555,77.58165017546385,603325,博隆技术,bottom_area,2026-05-28,55.25,77.95,2026-05-28,54.39,1.5811730097444372,3.5668321382607053,30.224502886465686,29.121231558691473,False,-0.1626,1.7714,1,1,1,100.0,33.584541062801925,33.584541062801925,18.418826990255564,1.5811730097444372,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
