rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.067955278792,81.24878550606063,000070,特发信息,bottom_area,2024-01-12,7.4,2024-01-10,7.3,1.3698630136986376,3.2876712328767157,29.604628736740597,False,-1.4647,0.8903,2,2,2,100.0,34.04340417899739,50.60532687651331,8.630136986301363,1.3698630136986376,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
2,86.8185990891138,84.42816314465664,300745,欣锐科技,bottom_area,2024-01-12,24.9,2024-01-10,24.05,3.5343035343035254,6.320166320166318,27.777777777777768,False,1.1784,2.705,4,4,4,100.0,21.862232273487457,36.150000000000006,6.465696465696475,3.5343035343035254,历史4/4次成功; 当前距低点3.53%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
3,85.54034710224178,78.95313304357653,688079,美迪凯,bottom_area,2024-01-12,10.14,2024-01-12,10.06,0.7952286282306169,3.0815109343936253,28.55113636363636,False,-2.6871,2.7407,4,4,4,100.0,21.162657612593186,30.064655172413808,9.204771371769384,0.7952286282306169,历史4/4次成功; 当前距低点0.80%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
4,84.28830803141692,79.63534883720928,603013,亚普股份,bottom_area,2024-01-12,16.67,2024-01-10,16.34,2.0195838433292645,3.671970624235015,28.175824175824175,False,-0.6555,0.3993,1,1,1,100.0,53.30739299610896,53.30739299610896,7.980416156670736,2.0195838433292645,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
5,83.24076944826143,77.14322140876614,002355,兴民智通,bottom_area,2024-01-12,5.01,2024-01-10,4.96,1.0080645161290287,3.83064516129033,28.427128427128423,False,-1.9569,2.0903,4,5,4,80.0,17.535529599679155,21.138211382113823,8.991935483870972,1.0080645161290287,历史4/5次成功; 当前距低点1.01%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
6,82.92006915375929,77.54928496271725,688072,拓荆科技,bottom_area,2024-01-12,198.09,2024-01-10,195.19,1.4857318510169608,5.794354218966137,27.643090154211148,False,-0.9996,1.2626,2,2,2,100.0,15.573943994816789,19.9367088607595,8.514268148983039,1.4857318510169608,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
7,82.6321369528641,80.00887506149117,300454,深信服,bottom_area,2024-01-12,65.3,2024-01-10,63.21,3.3064388546116064,5.995886726783736,30.52319191030996,False,-0.9556,1.0718,4,4,4,100.0,17.782557258094812,29.49391262831224,6.693561145388394,3.3064388546116064,历史4/4次成功; 当前距低点3.31%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
8,82.50220471802488,79.64117461109772,002095,生意宝,bottom_area,2024-01-12,17.37,2024-01-10,16.84,3.147268408551076,7.422802850356295,30.240265120132566,True,-2.251,1.6836,3,3,3,100.0,21.32766979889348,33.84030418250951,6.852731591448924,3.147268408551076,历史3/3次成功; 当前距低点3.15%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
9,82.32238961753289,81.34816015460349,002146,荣盛发展,bottom_area,2024-01-12,1.67,2024-01-10,1.6,4.37499999999999,6.874999999999992,27.927927927927932,False,0.6024,2.6198,4,4,4,100.0,15.608387927975553,19.587628865979376,5.625000000000011,4.37499999999999,历史4/4次成功; 当前距低点4.37%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
10,82.0937158908794,77.38342071681255,002284,亚太股份,bottom_area,2024-01-12,8.05,2024-01-10,7.9,1.8987341772151944,5.69620253164556,30.457746478873233,False,-2.0681,1.3989,2,2,2,100.0,19.744809897113992,27.214170692431566,8.101265822784805,1.8987341772151944,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
11,81.14506271031716,75.50551405470061,603186,华正新材,bottom_area,2024-01-12,30.7,2024-01-10,30.33,1.2199142762941015,3.6267721727662425,30.911161731207294,False,-1.413,1.0813,1,1,1,100.0,17.994186046511643,17.994186046511643,8.780085723705898,1.2199142762941015,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
12,80.83494369032928,77.65040462427746,600172,黄河旋风,bottom_area,2024-01-12,3.56,2024-01-08,3.46,2.890173410404627,4.913294797687859,29.098360655737704,False,-1.1111,1.2586,1,1,1,100.0,51.074589127686465,51.074589127686465,7.109826589595373,2.890173410404627,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
13,80.37333259997827,75.39661367570088,600006,东风股份,bottom_area,2024-01-12,5.56,2024-01-10,5.47,1.6453382084095038,3.2906764168190237,27.645502645502646,False,-1.0676,0.4882,1,1,1,100.0,22.6235741444867,22.6235741444867,8.354661791590496,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
14,80.17859232096652,74.52018300936703,001236,弘业期货,bottom_area,2024-01-12,10.47,2024-01-10,10.35,1.1594202898550823,2.9951690821256087,28.025034770514612,False,-0.9461,1.1671,1,1,1,100.0,11.955168119551693,11.955168119551693,8.840579710144919,1.1594202898550823,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
15,79.76467692345723,76.72064418298339,002385,大北农,bottom_area,2024-01-12,5.57,2024-01-09,5.41,2.957486136783736,4.251386321626609,27.38255033557047,False,0.0,0.7037,1,1,1,100.0,23.353293413173663,23.353293413173663,7.042513863216264,2.957486136783736,历史1/1次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,79.38112857779664,74.02831216006862,301488,豪恩汽电,bottom_area,2024-01-12,63.7,2024-01-10,62.86,1.3363028953229452,3.802099904549794,30.0,False,-1.6824,3.7727,1,1,1,100.0,11.478939577445836,11.478939577445836,8.663697104677055,1.3363028953229452,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
17,79.07958428865095,72.7785504923379,603039,泛微网络,bottom_area,2024-01-12,40.68,2024-01-10,40.42,0.6432459178624393,4.057397328055419,28.320624224153217,False,-1.3818,0.3849,2,2,2,100.0,19.43629669389389,25.971438060445035,9.356754082137561,0.6432459178624393,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
18,78.23689898217084,76.22017831090942,002413,雷科防务,bottom_area,2024-01-12,5.14,2024-01-10,4.96,3.6290322580645102,4.032258064516133,27.906976744186046,False,0.7843,1.934,1,1,1,100.0,28.894472361809044,28.894472361809044,6.37096774193549,3.6290322580645102,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
19,77.33345036827127,73.27968079251512,002195,岩山科技,bottom_area,2024-01-12,2.82,2024-01-11,2.76,2.173913043478263,4.347826086956526,29.230769230769234,False,-1.7422,1.2495,1,1,1,100.0,17.72151898734177,17.72151898734177,7.826086956521738,2.173913043478263,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
20,77.05208407221166,70.52478970582176,600981,苏豪汇鸿,bottom_area,2024-01-12,2.82,2024-01-10,2.81,0.35587188612098886,2.8469750889679744,27.948717948717945,False,-1.7422,0.8912,1,1,1,100.0,20.463320463320475,20.463320463320475,9.644128113879011,0.35587188612098886,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
21,76.3948539396874,73.7259554249461,603306,华懋科技,bottom_area,2024-01-12,23.37,2024-01-11,22.66,3.1332744924977973,5.8693733451014936,27.603833865814696,False,-0.4685,1.828,2,2,2,100.0,15.214092837855201,19.519094766619503,6.866725507502203,3.1332744924977973,历史2/2次成功; 当前距低点3.13%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
22,75.95570693907331,70.22072272638248,002632,道明光学,bottom_area,2024-01-12,8.02,2024-01-11,7.95,0.8805031446540804,4.276729559748415,31.876606683804624,False,-2.9056,6.0693,1,1,1,100.0,25.259515570934255,25.259515570934255,9.11949685534592,0.8805031446540804,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
23,75.91639234380933,70.50984327923094,605218,伟时电子,bottom_area,2024-01-12,20.71,2024-01-12,20.48,1.123046875000002,5.273437499999992,29.887024991441287,False,-2.9522,3.9121,2,3,2,66.66666666666666,28.83722305142083,42.36874236874236,8.876953124999998,1.123046875000002,历史2/3次成功; 当前距低点1.12%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
24,75.10577414832552,68.89841678686722,002862,实丰文化,bottom_area,2024-01-12,16.96,2024-01-12,16.88,0.47393364928911047,7.345971563981054,32.45298119247699,False,-6.8132,22.0604,1,1,1,100.0,23.381642512077295,23.381642512077295,9.52606635071089,0.47393364928911047,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
25,74.91043374593376,73.22623044568304,601016,节能风电,bottom_area,2024-01-12,3.0,2023-12-27,2.89,3.806228373702418,5.8823529411764675,29.166666666666664,False,1.3514,0.6555,1,1,1,100.0,14.970059880239523,14.970059880239523,6.193771626297583,3.806228373702418,历史1/1次成功; 当前距低点3.81%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
26,74.47480267661868,71.16251124416308,601933,永辉超市,bottom_area,2024-01-12,2.75,2024-01-10,2.68,2.6119402985074567,4.104477611940293,32.83208020050125,False,-0.3623,0.3035,1,1,1,100.0,11.70825335892515,11.70825335892515,7.388059701492544,2.6119402985074567,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
27,74.30347746302205,71.32618447246186,001366,播恩集团,bottom_area,2024-01-12,15.5,2024-01-11,15.07,2.8533510285335084,4.512276045122759,27.478344562078927,False,-0.2574,10.0694,1,1,1,100.0,15.547445255474459,15.547445255474459,7.146648971466492,2.8533510285335084,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
28,74.23685596097013,68.30155997393071,300413,芒果超媒,bottom_area,2024-01-12,22.44,2024-01-11,22.3,0.6278026905829621,3.8116591928251022,28.79948914431673,False,-2.3074,2.0802,1,1,1,100.0,11.843817787418656,11.843817787418656,9.372197309417038,0.6278026905829621,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
29,74.21090981810663,72.61996317142464,002041,登海种业,bottom_area,2024-01-12,12.37,2024-01-10,11.91,3.862300587741386,5.793450881612086,29.484902309058615,False,-0.8019,0.5327,2,2,2,100.0,18.2043468358871,21.395106715252467,6.137699412258614,3.862300587741386,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
30,69.1271203217467,65.27258336535262,300601,康泰生物,bottom_area,2024-01-12,25.13,2024-01-09,24.64,1.9886363636363573,6.006493506493507,27.911059098888234,False,-1.451,0.9682,2,3,2,66.66666666666666,11.290363482671175,11.580726965342352,8.011363636363642,1.9886363636363573,历史2/3次成功; 当前距低点1.99%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
31,68.61595179787822,67.78515876565295,002544,普天科技,bottom_area,2024-01-12,17.95,2024-01-12,17.2,4.3604651162790695,5.232558139534897,29.45036915504512,False,-0.6091,1.3117,1,1,1,100.0,14.983974358974352,14.983974358974352,5.639534883720931,4.3604651162790695,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
32,68.43824742352311,62.57751352813852,603286,日盈电子,bottom_area,2024-01-12,23.17,2024-01-11,23.1,0.30303030303030426,3.0735930735930617,31.37254901960783,False,-1.3623,2.3508,2,3,2,66.66666666666666,15.97718253968253,16.874999999999986,9.696969696969697,0.30303030303030426,历史2/3次成功; 当前距低点0.30%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
33,66.84543653176353,64.37659069034987,300678,中科信息,bottom_area,2024-01-12,26.91,2024-01-10,26.12,3.024502297090349,6.8147013782542025,29.09880564603692,False,-2.6059,1.9257,2,3,2,66.66666666666666,19.170910005640856,24.552238805970156,6.975497702909651,3.024502297090349,历史2/3次成功; 当前距低点3.02%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
34,66.67755240960561,61.781434754185014,002660,茂硕电源,bottom_area,2024-01-12,10.12,2024-01-10,10.02,0.9980039920159646,3.9920159680638756,31.275720164609055,False,-2.0329,7.5377,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,9.001996007984037,0.9980039920159646,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
35,65.08678459826855,63.56997867185047,688111,金山办公,bottom_area,2024-01-12,257.33,2024-01-10,248.0,3.7620967741935423,6.346774193548391,29.541451218819255,False,0.2454,0.5149,2,4,2,50.0,20.84709310221366,27.68058076225045,6.237903225806458,3.7620967741935423,历史2/4次成功; 当前距低点3.76%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
36,62.25482114588587,58.360283420590996,600986,浙文互联,bottom_area,2024-01-12,5.05,2024-01-10,4.97,1.6096579476861181,4.828973843058355,30.489510489510497,False,-2.3211,2.4927,1,2,1,50.0,22.25969645868466,22.25969645868466,8.390342052313882,1.6096579476861181,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
37,62.10315397326841,57.7411056791993,301360,荣旗科技,bottom_area,2024-01-12,66.98,2024-01-12,66.2,1.1782477341389743,5.438066465256789,32.95523597326311,False,-4.1225,9.3946,1,2,1,50.0,23.857583403420236,23.857583403420236,8.821752265861027,1.1782477341389743,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
38,60.29063994143825,55.96471846044193,002324,普利特,confirmed_rebound,2024-01-12,11.1,2024-01-09,10.98,1.0928961748633808,12.477231329690339,28.608582574772434,False,-2.4605,1.3846,1,2,1,50.0,13.260869565217392,13.260869565217392,8.90710382513662,1.0928961748633808,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-2.46%; 状态confirmed_rebound; 底部未确认
39,59.4993139968164,55.391307115742386,605118,力鼎光电,bottom_area,2024-01-12,20.32,2024-01-12,20.07,1.2456402590931739,5.530642750373689,31.43149982917663,False,-4.4214,3.5128,1,2,1,50.0,12.050359712230225,12.050359712230225,8.754359740906827,1.2456402590931739,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
40,59.389539915930406,56.87303398728929,601777,千里科技,bottom_area,2024-01-12,3.39,2024-01-08,3.3,2.7272727272727364,4.242424242424246,28.41648590021693,False,-0.5865,0.2688,1,2,1,50.0,27.96352583586626,27.96352583586626,7.2727272727272645,2.7272727272727364,历史1/2次成功; 当前距低点2.73%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
41,58.46525484496862,53.69844133599771,300451,创业慧康,bottom_area,2024-01-12,5.61,2024-01-12,5.58,0.5376344086021551,2.688172043010759,29.89949748743718,False,-2.2648,1.5421,1,2,1,50.0,23.89380530973452,23.89380530973452,9.462365591397845,0.5376344086021551,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
42,51.49123547400612,46.81021406727829,605178,时空科技,bottom_area,2024-01-12,21.22,2024-01-12,21.22,0.0,3.440150801131011,30.426229508196723,False,-2.257,5.1707,1,3,1,33.33333333333333,11.97247706422018,11.97247706422018,10.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
