rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.62637246717296,85.7467078432013,300745,欣锐科技,bottom_area,2024-01-10,24.32,2024-01-10,24.05,1.1226611226611207,3.284823284823281,27.777777777777768,False,-1.098,2.0562,4,4,4,100.0,21.862232273487457,36.150000000000006,6.877338877338879,1.1226611226611207,历史4/4次成功; 当前距低点1.12%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
2,88.71818891675659,84.14722836366842,688111,金山办公,bottom_area,2024-01-10,251.1,2024-01-10,248.0,1.2499999999999976,3.8306451612903225,29.541451218819255,False,-2.0556,0.6535,4,4,4,100.0,14.823808406819378,27.68058076225045,6.7500000000000036,1.2499999999999976,历史4/4次成功; 当前距低点1.25%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
3,86.32523677455015,82.86816015460349,002146,荣盛发展,bottom_area,2024-01-10,1.63,2024-01-10,1.6,1.8749999999999878,3.7499999999999893,27.927927927927932,False,-0.6098,1.7378,4,4,4,100.0,15.608387927975553,19.587628865979376,6.125000000000012,1.8749999999999878,历史4/4次成功; 当前距低点1.87%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
4,86.19264729314614,81.60416184971098,600172,黄河旋风,bottom_area,2024-01-10,3.5,2024-01-08,3.46,1.1560693641618507,3.7572254335260085,29.098360655737704,False,-1.1299,1.2754,1,1,1,100.0,51.074589127686465,51.074589127686465,6.8439306358381495,1.1560693641618507,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
5,86.16531451483557,81.58883720930231,603013,亚普股份,bottom_area,2024-01-10,16.53,2024-01-10,16.34,1.1627906976744264,2.325581395348831,28.175824175824175,False,-0.9587,0.4334,1,1,1,100.0,53.30739299610896,53.30739299610896,6.837209302325574,1.1627906976744264,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
6,86.14402822881657,82.12364671785302,601777,千里科技,bottom_area,2024-01-10,3.35,2024-01-08,3.3,1.5151515151515234,2.4242424242424265,28.41648590021693,False,0.0,0.2427,2,2,2,100.0,18.054796625798296,27.96352583586626,6.484848484848476,1.5151515151515234,历史2/2次成功; 当前距低点1.52%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,84.66753297078654,79.09151863054669,300454,深信服,bottom_area,2024-01-10,63.5,2024-01-10,63.21,0.4587881664293611,2.4046828033539045,30.52319191030996,False,-1.5504,1.1207,4,4,4,100.0,17.782557258094812,29.49391262831224,7.54121183357064,0.4587881664293611,历史4/4次成功; 当前距低点0.46%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
8,84.6123345230533,81.54034927143194,688079,美迪凯,bottom_area,2024-01-10,10.32,2024-01-10,10.11,2.0771513353115814,6.52818991097923,28.19602272727273,False,-4.797,4.1505,4,4,4,100.0,21.162657612593186,30.064655172413808,5.922848664688419,2.0771513353115814,历史4/4次成功; 当前距低点2.08%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
9,84.07669603474379,81.64763837350893,300601,康泰生物,bottom_area,2024-01-10,25.25,2024-01-09,24.64,2.4756493506493484,6.006493506493507,27.911059098888234,False,1.8145,2.3788,3,3,3,100.0,10.602789747255038,11.580726965342352,5.524350649350652,2.4756493506493484,历史3/3次成功; 当前距低点2.48%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
10,82.83157836926675,80.24580700014,002041,登海种业,bottom_area,2024-01-10,12.19,2024-01-10,11.91,2.35096557514693,2.85474391267842,29.484902309058615,False,0.9106,0.6311,2,2,2,100.0,18.2043468358871,21.395106715252467,5.64903442485307,2.35096557514693,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
11,82.59761349352851,79.2492948299335,002385,大北农,bottom_area,2024-01-10,5.51,2024-01-09,5.41,1.8484288354898273,2.4029574861367817,27.38255033557047,False,0.1818,0.812,1,1,1,100.0,23.353293413173663,23.353293413173663,6.151571164510173,1.8484288354898273,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
12,82.12408657623293,77.96979830868786,688072,拓荆科技,bottom_area,2024-01-10,197.73,2024-01-10,195.19,1.3012961729596764,3.4889082432501675,27.643090154211148,False,-1.4307,1.0398,2,2,2,100.0,15.573943994816789,19.9367088607595,6.698703827040324,1.3012961729596764,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
13,82.05274669197173,78.2142803290524,603039,泛微网络,bottom_area,2024-01-10,41.03,2024-01-10,40.42,1.5091538842157333,3.513112320633354,28.320624224153217,False,-2.0296,0.3793,2,2,2,100.0,19.43629669389389,25.971438060445035,6.490846115784267,1.5091538842157333,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
14,82.0105787728034,76.33741564304692,000070,特发信息,bottom_area,2024-01-10,7.32,2024-01-10,7.3,0.27397260273973234,2.739726027397263,29.604628736740597,False,-2.008,0.9311,2,2,2,100.0,34.04340417899739,50.60532687651331,7.726027397260268,0.27397260273973234,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
15,81.43881657962235,77.95979445952388,601016,节能风电,bottom_area,2024-01-10,2.94,2023-12-27,2.89,1.7301038062283676,5.8823529411764675,29.166666666666664,False,0.0,0.2856,1,1,1,100.0,14.970059880239523,14.970059880239523,6.269896193771632,1.7301038062283676,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,80.68467991611963,75.33097330333794,603286,日盈电子,bottom_area,2024-01-10,23.29,2024-01-10,23.19,0.43122035360068073,2.630444156964206,31.105169340463444,False,-1.8955,2.8873,3,3,3,100.0,13.893310266384404,16.874999999999986,7.568779646399319,0.43122035360068073,历史3/3次成功; 当前距低点0.43%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
17,80.61478070049256,74.69837230683665,300678,中科信息,bottom_area,2024-01-10,26.13,2024-01-10,26.12,0.03828483920366772,4.32618683001531,29.09880564603692,False,-4.0397,2.374,3,3,3,100.0,15.890654517317197,24.552238805970156,7.961715160796333,0.03828483920366772,历史3/3次成功; 当前距低点0.04%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
18,80.41390394012298,77.29731989740935,603259,药明康德,bottom_area,2024-01-10,67.62,2024-01-10,66.33,1.944821347806432,3.090607568219504,28.369330453563713,False,0.3264,0.6614,1,1,1,100.0,14.040390163483993,14.040390163483993,6.055178652193568,1.944821347806432,历史1/1次成功; 当前距低点1.94%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
19,79.77434475582362,74.69710175282668,605218,伟时电子,bottom_area,2024-01-10,20.75,2024-01-10,20.63,0.5816771691711149,4.750363548230734,29.373502225265323,False,-5.2944,5.9419,3,3,3,100.0,22.54476182009046,42.36874236874236,7.4183228308288856,0.5816771691711149,历史3/3次成功; 当前距低点0.58%; 最新日涨幅-5.29%; 状态bottom_area; 底部未确认
20,79.48441110700634,74.44302734268918,002095,生意宝,bottom_area,2024-01-10,16.94,2024-01-10,16.84,0.5938242280285121,3.919239904988124,30.240265120132566,False,-3.4758,2.0868,3,3,3,100.0,21.32766979889348,33.84030418250951,7.406175771971488,0.5938242280285121,历史3/3次成功; 当前距低点0.59%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
21,77.15373425077216,71.43864282478903,605178,时空科技,bottom_area,2024-01-10,21.41,2024-01-10,21.41,0.0,4.156936011209718,29.803278688524586,False,-3.166,6.758,3,3,3,100.0,10.153993681661406,11.97247706422018,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
22,76.93669210580049,71.35876306678287,603306,华懋科技,bottom_area,2024-01-10,22.7,2024-01-10,22.68,0.08818342151675297,3.1746031746031695,27.539936102236425,False,-3.157,1.9972,2,2,2,100.0,15.214092837855201,19.519094766619503,7.911816578483247,0.08818342151675297,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
