rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.31282751789969,86.5782868204724,002728,特一药业,bottom_area,2025-12-22,11.17,2025-12-19,10.91,2.383134738771767,2.9330889092575645,27.508305647840537,False,0.6306,6.5087,4,4,4,100.0,19.310935617591518,39.3073593073593,5.6168652612282335,2.383134738771767,历史4/4次成功; 当前距低点2.38%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,88.13728065517236,84.34169267732777,603322,超讯通信,bottom_area,2025-12-22,39.82,2025-12-19,39.15,1.7113665389527504,4.674329501915705,29.217139757729164,False,-1.9695,6.0918,7,7,7,100.0,21.524776269570104,39.45833333333333,6.288633461047249,1.7113665389527504,历史7/7次成功; 当前距低点1.71%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,85.88354145126216,84.50388616690454,300768,迪普科技,bottom_area,2025-12-22,18.62,2025-12-17,18.05,3.1578947368421066,4.4321329639889235,29.43706020328381,False,0.0,1.1251,3,3,3,100.0,34.32196863927173,47.28781110402041,4.842105263157894,3.1578947368421066,历史3/3次成功; 当前距低点3.16%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,85.20419423577849,79.86266999166936,002317,众生药业,bottom_area,2025-12-22,19.03,2025-12-22,18.91,0.6345848757271338,1.00475938656796,30.477941176470587,False,-0.7303,4.1485,5,5,5,100.0,24.08345972218942,58.31999999999999,7.365415124272865,0.6345848757271338,历史5/5次成功; 当前距低点0.63%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
5,85.13810316183623,82.59511170982397,600048,保利发展,bottom_area,2025-12-22,6.34,2025-12-17,6.19,2.423263327948295,2.9079159935379595,27.60233918128655,False,0.158,0.891,2,2,2,100.0,31.721247836269217,31.987577639751546,5.576736672051704,2.423263327948295,历史2/2次成功; 当前距低点2.42%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
6,84.9003330017534,81.97032972642582,600161,天坛生物,bottom_area,2025-12-22,16.45,2025-12-17,16.1,2.1739130434782474,2.484472049689432,27.08333333333332,False,0.0608,0.2719,2,2,2,100.0,25.305653040624797,36.77455357142857,5.8260869565217535,2.1739130434782474,历史2/2次成功; 当前距低点2.17%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
7,84.74851314658343,84.5111307703751,300598,诚迈科技,bottom_area,2025-12-22,45.0,2025-12-17,43.33,3.854142626355878,4.661897069005316,32.296875,False,0.1781,2.049,5,5,5,100.0,26.22890300250812,45.24950099800398,4.145857373644122,3.854142626355878,历史5/5次成功; 当前距低点3.85%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,84.08888663056645,81.70277673274843,603038,华立股份,bottom_area,2025-12-22,15.97,2025-12-17,15.58,2.5032092426187456,5.0064184852374805,29.661399548532724,False,-0.1875,1.2749,4,4,4,100.0,17.04351508558693,28.753412192902637,5.496790757381255,2.5032092426187456,历史4/4次成功; 当前距低点2.50%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
9,83.59169705951707,84.97347996419803,603327,福蓉科技,bottom_area,2025-12-22,11.02,2025-12-19,10.51,4.852521408182682,7.4215033301617455,29.651941097724226,False,0.8234,4.6779,7,7,7,100.0,40.952842875562084,129.39632545931758,3.1474785918173183,4.852521408182682,历史7/7次成功; 当前距低点4.85%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
10,83.50328711304684,83.01245655956907,002459,晶澳科技,bottom_area,2025-12-22,11.23,2025-12-16,10.83,3.693444136657437,3.970452446906738,29.215686274509807,False,0.8079,0.9111,6,6,6,100.0,16.2016623180001,26.683937823834192,4.306555863342563,3.693444136657437,历史6/6次成功; 当前距低点3.69%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
11,83.25253431045007,81.96602827802448,002129,TCL中环,bottom_area,2025-12-22,8.41,2025-12-16,8.15,3.190184049079752,4.417177914110422,29.253472222222214,False,0.8393,1.7162,3,3,3,100.0,21.073375859818903,31.12759643916912,4.809815950920248,3.190184049079752,历史3/3次成功; 当前距低点3.19%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
