rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.91405270469733,84.44168437524786,603226,菲林格尔,bottom_area,2023-09-13,5.35,2023-09-12,5.25,1.904761904761898,3.0476190476190506,29.71887550200803,False,1.1342,4.5569,3,3,3,100.0,18.62656730163969,20.479302832244016,6.095238095238102,1.904761904761898,历史3/3次成功; 当前距低点1.90%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
2,86.39148010599806,82.65145256282123,300588,熙菱信息,bottom_area,2023-09-13,12.57,2023-09-12,12.36,1.699029126213599,7.1197411003236315,27.20848056537103,False,0.8828,16.165,2,2,2,100.0,23.146446078431378,25.98039215686274,6.300970873786402,1.699029126213599,历史2/2次成功; 当前距低点1.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
3,84.43254562928635,79.9691511466809,300561,汇金科技,bottom_area,2023-09-13,12.9,2023-09-13,12.75,1.1764705882352968,2.3529411764705936,30.96913914455874,False,-1.1494,3.9484,2,2,2,100.0,24.79303273041607,27.62128325508607,6.823529411764703,1.1764705882352968,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
4,83.46458622204918,81.02728547496231,601778,晶科科技,bottom_area,2023-09-13,3.75,2023-08-29,3.66,2.459016393442619,7.377049180327869,28.79377431906614,True,-1.5748,1.2469,3,3,3,100.0,20.34324113984674,42.344827586206904,5.540983606557381,2.459016393442619,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
5,83.3156908653225,81.92544095815381,002265,建设工业,bottom_area,2023-09-13,12.54,2023-08-25,12.16,3.1249999999999916,7.1546052631578885,28.344136711844424,True,-2.4125,0.8971,4,4,4,100.0,16.669037409429027,32.75229357798165,4.875000000000009,3.1249999999999916,历史4/4次成功; 当前距低点3.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
6,82.16756107716434,78.16911851036508,603106,恒银科技,bottom_area,2023-09-13,7.21,2023-09-11,7.11,1.4064697609001355,6.610407876230657,30.634146341463413,False,-2.171,4.7432,1,1,1,100.0,34.60144927536232,34.60144927536232,6.593530239099865,1.4064697609001355,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
7,79.04870753180525,74.58791568134792,002069,獐子岛,bottom_area,2023-09-13,4.12,2023-09-13,4.08,0.980392156862746,1.715686274509811,27.915194346289752,False,-0.4831,1.8496,3,3,3,100.0,16.6301602096504,30.967741935483854,7.019607843137255,0.980392156862746,历史3/3次成功; 当前距低点0.98%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
8,76.50460143010885,74.43998108945974,000028,国药一致,bottom_area,2023-09-13,31.44,2023-09-08,30.65,2.5774877650897317,5.481239804241435,30.577576443941112,False,-1.2253,1.0063,2,2,2,100.0,12.240070934754426,14.150943396226415,5.422512234910268,2.5774877650897317,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
9,76.43068064464904,76.51367853322746,002386,天原股份,bottom_area,2023-09-13,5.9,2023-08-31,5.67,4.05643738977073,5.996472663139327,31.604342581423396,False,-1.3378,0.4447,3,3,3,100.0,24.851375171530723,48.85290148448042,3.94356261022927,4.05643738977073,历史3/3次成功; 当前距低点4.06%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
10,76.27064276988035,76.85025411404011,000411,英特集团,confirmed_rebound,2023-09-13,11.88,2023-08-24,11.38,4.393673110720562,9.490333919156415,27.974683544303797,True,-1.2469,2.0624,3,3,3,100.0,31.816283905822544,47.98426745329401,3.6063268892794382,4.393673110720562,历史3/3次成功; 当前距低点4.39%; 最新日涨幅-1.25%; 状态confirmed_rebound; 底部已确认
11,74.20521158890764,69.3650002679959,603221,爱丽家居,bottom_area,2023-09-13,8.14,2023-09-13,8.1,0.4938271604938386,2.2222222222222188,29.3193717277487,False,-1.4528,3.4558,1,1,1,100.0,15.91895803183791,15.91895803183791,7.506172839506162,0.4938271604938386,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
