rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.04600891416288,76.75269876250213,300474,景嘉微,bottom_area,2022-01-13,118.02,2022-01-13,117.98,0.03390405153415159,4.043058145448378,27.087324640009886,False,-2.7682,1.8853,1,1,1,100.0,59.857142857142854,59.857142857142854,19.96609594846585,0.03390405153415159,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
2,89.9185594550583,75.3648118617199,300490,华自科技,bottom_area,2022-01-13,19.16,2022-01-13,19.1,0.31413612565444354,3.4554973821989536,31.761343336906027,False,-2.9382,3.0824,2,2,2,100.0,29.306678646301293,32.06349206349206,19.685863874345557,0.31413612565444354,历史2/2次成功; 当前距低点0.31%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
3,89.07915734008246,76.31994947635728,603213,镇洋发展,bottom_area,2022-01-13,20.11,2022-01-11,19.81,1.5143866733972777,6.713780918727926,31.334488734835364,False,-1.3732,11.5283,1,1,1,100.0,25.982532751091718,25.982532751091718,18.485613326602724,1.5143866733972777,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
4,88.27261998671919,74.7101330108827,300402,宝色股份,bottom_area,2022-01-13,25.02,2022-01-11,24.81,0.8464328899637278,10.318419991938745,28.003482298316897,True,-4.5403,3.0083,1,1,1,100.0,61.64021164021163,61.64021164021163,19.153567110036274,0.8464328899637278,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-4.54%; 状态bottom_area; 底部已确认
5,88.09746473479431,76.48894168373295,300409,道氏技术,bottom_area,2022-01-13,22.35,2022-01-11,21.86,2.241537053979881,5.992680695333954,29.845956354300384,False,-2.8261,3.2855,1,1,1,100.0,35.80454928390903,35.80454928390903,17.75846294602012,2.241537053979881,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
6,83.22340429938849,74.51359318488822,601126,四方股份,bottom_area,2022-01-13,18.0,2022-01-11,17.32,3.926096997690529,9.18013856812933,30.21756647864625,True,-3.4853,2.9011,1,1,1,100.0,46.85534591194968,46.85534591194968,16.07390300230947,3.926096997690529,历史1/1次成功; 当前距低点3.93%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
7,82.35613677467572,69.10512307896353,688029,南微医学,bottom_area,2022-01-13,178.7,2022-01-13,178.03,0.37634106611244594,5.42605178902432,29.898409198298946,False,-3.7177,3.0807,1,1,1,100.0,23.296670482257504,23.296670482257504,19.623658933887555,0.37634106611244594,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-3.72%; 状态bottom_area; 底部未确认
8,64.97288649063243,54.848239482515446,601778,晶科科技,bottom_area,2022-01-13,7.14,2022-01-13,7.09,0.7052186177715067,5.782792665726378,27.282051282051285,False,-5.8047,3.8818,1,2,1,50.0,42.344827586206904,42.344827586206904,19.294781382228493,0.7052186177715067,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-5.80%; 状态bottom_area; 底部未确认
9,63.1084944977652,55.813795963642974,300484,蓝海华腾,bottom_area,2022-01-13,14.92,2022-01-10,14.45,3.252595155709347,5.813148788927335,29.580896686159846,False,-1.4531,1.7931,1,2,1,50.0,28.708133971291865,28.708133971291865,16.747404844290653,3.252595155709347,历史1/2次成功; 当前距低点3.25%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
