rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.03861325948144,84.98218440939118,002761,浙江建投,bottom_area,2024-06-17,8.38,2024-06-06,8.25,1.5757575757575852,4.848484848484853,28.26086956521739,False,-1.4118,1.645,6,6,6,100.0,23.305976785583134,43.73730534867976,6.424242424242416,1.5757575757575852,历史6/6次成功; 当前距低点1.58%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
2,85.08903018108656,80.98285714285717,002687,乔治白,bottom_area,2024-06-17,4.26,2024-06-06,4.2,1.428571428571419,5.714285714285719,28.2051282051282,False,-0.9302,1.2547,1,1,1,100.0,64.00000000000001,64.00000000000001,6.571428571428581,1.428571428571419,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
3,85.07844046764676,82.68415094339625,000420,吉林化纤,bottom_area,2024-06-17,3.26,2024-06-14,3.18,2.5157232704402395,3.7735849056603668,30.41575492341357,False,1.5576,1.9305,1,1,1,100.0,53.9249146757679,53.9249146757679,5.4842767295597605,2.5157232704402395,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
4,83.89828309078099,78.60861193338958,300639,凯普生物,bottom_area,2024-06-17,4.91,2024-06-17,4.88,0.6147540983606609,3.688524590163929,28.445747800586513,False,-2.3857,1.3465,4,4,4,100.0,17.09812514866608,33.27433628318583,7.3852459016393395,0.6147540983606609,历史4/4次成功; 当前距低点0.61%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
5,83.58406692110589,81.49606321010197,600322,津投城开,bottom_area,2024-06-17,1.53,2024-06-06,1.49,2.684563758389264,7.382550335570476,28.01932367149758,False,-1.9231,0.8586,4,4,4,100.0,18.15520741521231,35.828877005347586,5.315436241610736,2.684563758389264,历史4/4次成功; 当前距低点2.68%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
6,83.50061205224618,78.99755719494233,001322,箭牌家居,bottom_area,2024-06-17,8.14,2024-06-06,8.05,1.1180124223602466,6.211180124223602,28.634751773049633,False,-2.6316,1.4779,2,2,2,100.0,18.85282536518115,26.897069872276486,6.881987577639753,1.1180124223602466,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
7,83.06229871298406,78.52264298015787,603366,日出东方,bottom_area,2024-06-17,3.75,2024-06-06,3.71,1.078167115902966,5.39083557951483,29.198473282442748,False,-1.3158,0.5725,2,2,2,100.0,15.811096797938903,17.583732057416277,6.921832884097034,1.078167115902966,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
8,81.93801181748607,78.018130905605,688105,诺唯赞,bottom_area,2024-06-17,20.97,2024-06-17,20.67,1.451378809869362,3.7735849056603654,29.090909090909083,False,-1.8718,1.4396,2,2,2,100.0,17.673519312404096,25.237580993520524,6.548621190130638,1.451378809869362,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
9,81.89042365063425,78.46007613585722,002842,翔鹭钨业,confirmed_rebound,2024-06-17,5.16,2024-06-06,5.07,1.7751479289940801,10.059171597633132,29.87551867219917,True,-2.4575,1.9606,2,2,2,100.0,25.039857064321065,29.70588235294118,6.22485207100592,1.7751479289940801,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-2.46%; 状态confirmed_rebound; 底部已确认
10,81.39805322911805,79.93369945977263,603326,我乐家居,bottom_area,2024-06-17,6.07,2024-06-06,5.89,3.056027164685919,6.791171477079802,27.552275522755238,False,-1.9386,0.9235,4,4,4,100.0,14.30882470568014,20.141843971631218,4.9439728353140815,3.056027164685919,历史4/4次成功; 当前距低点3.06%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
11,79.99193442836925,79.68532041728764,300720,海川智能,confirmed_rebound,2024-06-17,13.93,2024-06-11,13.42,3.800298062593143,9.165424739195235,31.0025706940874,True,-3.465,1.7549,3,3,3,100.0,57.75229601757511,75.69193742478939,4.199701937406857,3.800298062593143,历史3/3次成功; 当前距低点3.80%; 最新日涨幅-3.46%; 状态confirmed_rebound; 底部已确认
12,79.7393664167251,78.75711757014153,688276,百克生物,confirmed_rebound,2024-06-17,31.11,2024-06-11,30.1,3.3554817275747437,8.17275747508306,27.9559597893729,True,-0.9551,0.8861,4,4,4,100.0,12.675354349526572,16.844155844155843,4.644518272425256,3.3554817275747437,历史4/4次成功; 当前距低点3.36%; 最新日涨幅-0.96%; 状态confirmed_rebound; 底部已确认
