rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.32226747015731,85.7467078432013,300745,欣锐科技,bottom_area,2024-01-10,24.32,2024-01-10,24.05,1.1226611226611207,3.284823284823281,27.777777777777768,False,-1.098,2.0562,4,4,4,100.0,21.862232273487457,36.150000000000006,8.87733887733888,1.1226611226611207,历史4/4次成功; 当前距低点1.12%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
2,87.9520963604074,82.86816015460349,002146,荣盛发展,bottom_area,2024-01-10,1.63,2024-01-10,1.6,1.8749999999999878,3.7499999999999893,27.927927927927932,False,-0.6098,1.7378,4,4,4,100.0,15.608387927975553,19.587628865979376,8.125000000000012,1.8749999999999878,历史4/4次成功; 当前距低点1.87%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
3,87.806078150289,81.60416184971098,600172,黄河旋风,bottom_area,2024-01-10,3.5,2024-01-08,3.46,1.1560693641618507,3.7572254335260085,29.098360655737704,False,-1.1299,1.2754,1,1,1,100.0,51.074589127686465,51.074589127686465,8.84393063583815,1.1560693641618507,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
4,87.77833520449076,81.58883720930231,603013,亚普股份,bottom_area,2024-01-10,16.53,2024-01-10,16.34,1.1627906976744264,2.325581395348831,28.175824175824175,False,-0.9587,0.4334,1,1,1,100.0,53.30739299610896,53.30739299610896,8.837209302325574,1.1627906976744264,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
5,86.24213923618399,79.09151863054669,300454,深信服,bottom_area,2024-01-10,63.5,2024-01-10,63.21,0.4587881664293611,2.4046828033539045,30.52319191030996,False,-1.5504,1.1207,4,4,4,100.0,17.782557258094812,29.49391262831224,9.541211833570639,0.4587881664293611,历史4/4次成功; 当前距低点0.46%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,86.20995648261567,81.54034927143194,688079,美迪凯,bottom_area,2024-01-10,10.32,2024-01-10,10.11,2.0771513353115814,6.52818991097923,28.19602272727273,False,-4.797,4.1505,4,4,4,100.0,21.162657612593186,30.064655172413808,7.92284866468842,2.0771513353115814,历史4/4次成功; 当前距低点2.08%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
7,84.3996301516649,80.24580700014,002041,登海种业,bottom_area,2024-01-10,12.19,2024-01-10,11.91,2.35096557514693,2.85474391267842,29.484902309058615,False,0.9106,0.6311,2,2,2,100.0,18.2043468358871,21.395106715252467,7.649034424853071,2.35096557514693,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
8,84.15383376586949,79.2492948299335,002385,大北农,bottom_area,2024-01-10,5.51,2024-01-09,5.41,1.8484288354898273,2.4029574861367817,27.38255033557047,False,0.1818,0.812,1,1,1,100.0,23.353293413173663,23.353293413173663,8.151571164510173,1.8484288354898273,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
9,83.66345085397255,77.96979830868786,688072,拓荆科技,bottom_area,2024-01-10,197.73,2024-01-10,195.19,1.3012961729596764,3.4889082432501675,27.643090154211148,False,-1.4307,1.0398,2,2,2,100.0,15.573943994816789,19.9367088607595,8.698703827040324,1.3012961729596764,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
10,83.59377579794311,78.2142803290524,603039,泛微网络,bottom_area,2024-01-10,41.03,2024-01-10,40.42,1.5091538842157333,3.513112320633354,28.320624224153217,False,-2.0296,0.3793,2,2,2,100.0,19.43629669389389,25.971438060445035,8.490846115784267,1.5091538842157333,历史2/2次成功; 当前距低点1.51%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
11,83.53315564218659,76.33741564304692,000070,特发信息,bottom_area,2024-01-10,7.32,2024-01-10,7.3,0.27397260273973234,2.739726027397263,29.604628736740597,False,-2.008,0.9311,2,2,2,100.0,34.04340417899739,50.60532687651331,9.72602739726027,0.27397260273973234,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
