rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.75870899824672,80.9136070931302,000678,襄阳轴承,confirmed_rebound,2025-03-25,13.8,2025-03-25,13.78,0.14513788098694738,11.103047895500733,27.089947089947085,False,-9.8628,34.6805,5,5,5,100.0,44.16409388054002,121.62162162162164,9.854862119013053,0.14513788098694738,历史5/5次成功; 当前距低点0.15%; 最新日涨幅-9.86%; 状态confirmed_rebound; 底部未确认
2,87.59295292496739,83.1204803767754,002725,跃岭股份,bottom_area,2025-03-25,11.82,2025-03-24,11.56,2.249134948096884,7.698961937716252,27.795128044971896,False,0.0,3.982,3,3,3,100.0,15.744666980840336,18.562874251497018,7.750865051903117,2.249134948096884,历史3/3次成功; 当前距低点2.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.60095026169806,80.50752045906944,688031,星环科技,bottom_area,2025-03-25,50.88,2025-03-24,49.99,1.7803560712142439,8.381676335267048,27.843533487297922,False,-1.5099,2.8233,3,3,3,100.0,18.42329194321459,22.70402945387605,8.219643928785757,1.7803560712142439,历史3/3次成功; 当前距低点1.78%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
4,83.6661802412232,76.06016385565745,002173,创新医疗,bottom_area,2025-03-25,9.59,2025-03-25,9.59,0.0,5.109489051094893,27.840481565086527,False,-9.9531,23.8767,5,5,5,100.0,18.334214277728204,27.109266943291825,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
5,83.3572819590039,77.86871412568934,300605,恒锋信息,bottom_area,2025-03-25,14.23,2025-03-25,14.03,1.4255167498218182,3.991446899501073,29.990019960079838,False,-2.6676,6.4829,2,2,2,100.0,16.553184490769308,18.429752066115707,8.574483250178183,1.4255167498218182,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
6,81.84594717915942,74.85621827984286,600203,福日电子,bottom_area,2025-03-25,9.51,2025-03-25,9.48,0.3164556962025249,4.430379746835443,28.988764044943814,False,-4.326,6.8685,3,3,3,100.0,20.149125092390385,24.045801526717554,9.683544303797476,0.3164556962025249,历史3/3次成功; 当前距低点0.32%; 最新日涨幅-4.33%; 状态bottom_area; 底部未确认
7,81.68259953639118,75.48039012167611,300720,海川智能,bottom_area,2025-03-25,21.2,2025-03-24,21.02,0.8563273073263546,7.4690770694576605,28.74576271186441,False,-2.5287,3.6292,4,5,4,80.0,46.57428162569997,75.69193742478939,9.143672692673647,0.8563273073263546,历史4/5次成功; 当前距低点0.86%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
8,80.77278159915105,74.75116034882873,002279,久其软件,bottom_area,2025-03-25,6.48,2025-03-25,6.42,0.9345794392523442,2.6479750778816187,27.04545454545455,False,-2.1148,3.2395,3,3,3,100.0,16.94624446410791,25.915492957746476,9.065420560747656,0.9345794392523442,历史3/3次成功; 当前距低点0.93%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
9,80.70990602906146,74.19799195038593,301366,一博科技,bottom_area,2025-03-25,54.92,2025-03-24,54.6,0.5860805860805866,6.5018315018314965,27.68211920529801,False,-2.8996,5.2933,2,2,2,100.0,26.366966057256242,36.479591836734706,9.413919413919414,0.5860805860805866,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
10,80.55321589110478,73.23019626464071,600126,杭钢股份,confirmed_rebound,2025-03-25,10.05,2025-03-25,10.05,0.0,12.935323383084565,31.63265306122448,False,-10.0269,7.733,3,3,3,100.0,30.00105518624036,55.84045584045584,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态confirmed_rebound; 底部未确认
11,79.52453396044523,73.29346844719726,002757,南兴股份,bottom_area,2025-03-25,19.62,2025-03-25,19.48,0.7186858316221795,4.260780287474324,29.369108049311087,False,-3.2544,5.7637,2,2,2,100.0,33.3444738886872,50.75376884422111,9.281314168377822,0.7186858316221795,历史2/2次成功; 当前距低点0.72%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
12,79.35403209336252,72.14002917578411,603315,福鞍股份,bottom_area,2025-03-25,14.12,2025-03-25,14.12,0.0,9.348441926345611,27.103768714506977,False,-10.0064,16.2065,2,2,2,100.0,30.59155470851666,41.68490153172865,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
13,79.22303489615288,74.40360160508783,300509,新美星,bottom_area,2025-03-25,7.75,2025-03-25,7.62,1.7060367454068228,4.068241469816268,29.769585253456217,False,-1.2739,3.8403,1,1,1,100.0,18.028846153846153,18.028846153846153,8.293963254593178,1.7060367454068228,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
14,77.1775103746877,73.5878587293534,301389,隆扬电子,bottom_area,2025-03-25,22.55,2025-03-25,22.0,2.500000000000003,9.272727272727268,28.571428571428577,False,-5.3317,11.1635,2,2,2,100.0,16.92397166319034,18.998628257887525,7.499999999999997,2.500000000000003,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
15,75.68251295785048,69.98820623735557,300713,英可瑞,bottom_area,2025-03-25,16.9,2025-03-24,16.75,0.8955223880596931,9.313432835820889,28.11158798283262,False,-1.8583,10.2576,4,5,4,80.0,17.5268671082348,23.73271889400922,9.104477611940307,0.8955223880596931,历史4/5次成功; 当前距低点0.90%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
16,71.68034418043061,66.10770300276704,002927,泰永长征,bottom_area,2025-03-25,14.71,2025-03-25,14.6,0.7534246575342548,5.136986301369864,30.740037950664135,False,-3.7304,10.5356,1,1,1,100.0,11.803823773898586,11.803823773898586,9.246575342465746,0.7534246575342548,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
17,70.5083942596915,64.62579027327774,002196,方正电机,confirmed_rebound,2025-03-25,9.36,2025-03-25,9.32,0.429184549356214,10.515021459227473,28.25250192455735,False,-8.4149,21.6425,3,4,3,75.0,14.243715300053324,18.661971830985923,9.570815450643787,0.429184549356214,历史3/4次成功; 当前距低点0.43%; 最新日涨幅-8.41%; 状态confirmed_rebound; 底部未确认
18,68.85133354195493,63.48145465579432,002123,梦网科技,bottom_area,2025-03-25,14.99,2025-03-25,14.88,0.7392473118279531,4.50268817204301,27.308255984367356,False,-3.6013,7.3382,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,9.260752688172047,0.7392473118279531,历史2/3次成功; 当前距低点0.74%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
19,66.63977039232356,61.658843823857204,000409,云鼎科技,bottom_area,2025-03-25,12.02,2025-03-25,11.91,0.9235936188077198,6.381192275398822,29.107142857142858,False,-3.3762,14.2764,2,3,2,66.66666666666666,28.86005703264586,46.53130287648054,9.076406381192282,0.9235936188077198,历史2/3次成功; 当前距低点0.92%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
20,63.81049718707911,63.33039453684239,300378,鼎捷数智,bottom_area,2025-03-25,35.22,2025-03-24,33.67,4.603504603504595,8.226908226908215,30.66309719934102,True,1.5571,5.9078,2,4,2,50.0,20.6794894238326,26.480086114101198,5.396495396495406,4.603504603504595,历史2/4次成功; 当前距低点4.60%; 最新日涨幅1.56%; 状态bottom_area; 底部已确认
21,56.862538706485395,51.99554458400307,002599,盛通股份,bottom_area,2025-03-25,9.85,2025-03-25,9.82,0.30549898167005457,4.582484725050909,27.313101406365654,False,-3.2417,5.4664,1,2,1,50.0,22.107969151670947,22.107969151670947,9.694501018329946,0.30549898167005457,历史1/2次成功; 当前距低点0.31%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
22,56.81407644370011,52.37906105509364,605303,园林股份,bottom_area,2025-03-25,9.59,2025-03-25,9.52,0.7352941176470619,4.201680672268911,30.30746705710103,False,-3.3266,4.3815,2,5,2,40.0,17.771675501768577,23.681489141675293,9.264705882352938,0.7352941176470619,历史2/5次成功; 当前距低点0.74%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
