rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.45334878007421,88.2794660744616,000607,华媒控股,bottom_area,2025-08-05,4.78,2025-07-31,4.66,2.5751072961373414,2.7896995708154484,29.924812030075188,False,0.2096,2.5663,4,4,4,100.0,30.810272632552305,59.82721382289418,7.4248927038626595,2.5751072961373414,历史4/4次成功; 当前距低点2.58%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,89.3431383379065,85.58154738927051,002636,金安国纪,bottom_area,2025-08-05,11.99,2025-07-25,11.67,2.742073693230508,7.112253641816624,29.698795180722897,True,1.2669,2.7456,2,2,2,100.0,42.49180327868853,69.0,7.257926306769493,2.742073693230508,历史2/2次成功; 当前距低点2.74%; 最新日涨幅1.27%; 状态bottom_area; 底部已确认
3,87.59868987668052,80.31209575821956,001226,拓山重工,bottom_area,2025-08-05,36.24,2025-08-04,36.08,0.44345898004435613,4.129711751662977,30.642060745866985,False,-0.5761,5.1633,4,4,4,100.0,24.15689372430483,41.451766953199616,9.556541019955645,0.44345898004435613,历史4/4次成功; 当前距低点0.44%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
4,87.37134406405666,81.69847792108553,605033,美邦股份,bottom_area,2025-08-05,21.3,2025-08-04,20.99,1.4768937589328361,1.6674606955693254,32.50803858520901,False,0.2353,2.1093,1,1,1,100.0,31.96664350243223,31.96664350243223,8.523106241067165,1.4768937589328361,历史1/1次成功; 当前距低点1.48%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
5,87.0444421929339,81.28444439858428,002987,京北方,bottom_area,2025-08-05,20.18,2025-08-04,19.9,1.4070351758794029,1.507537688442215,28.158844765342966,False,0.3481,2.619,1,1,1,100.0,28.88432580424366,28.88432580424366,8.592964824120596,1.4070351758794029,历史1/1次成功; 当前距低点1.41%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
6,86.98027722920419,81.61112431382122,002658,雪迪龙,bottom_area,2025-08-05,7.98,2025-08-01,7.85,1.6560509554140228,2.292993630573245,31.50087260034905,False,-0.3745,4.3429,3,3,3,100.0,22.83290587185592,34.81481481481481,8.343949044585978,1.6560509554140228,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
7,82.31386190533641,78.6438171070093,600620,天宸股份,bottom_area,2025-08-05,6.3,2025-08-04,6.14,2.605863192182413,2.76872964169381,27.078384798099762,False,0.159,1.2025,1,1,1,100.0,29.38271604938273,29.38271604938273,7.3941368078175875,2.605863192182413,历史1/1次成功; 当前距低点2.61%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
8,81.396132207026,78.57232233842852,603022,新通联,bottom_area,2025-08-05,10.49,2025-07-24,10.17,3.1465093411996095,3.244837758112095,32.33532934131736,False,1.0597,4.5458,2,2,2,100.0,18.958944281524914,26.099706744868023,6.85349065880039,3.1465093411996095,历史2/2次成功; 当前距低点3.15%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
9,79.75837236391675,77.32436174469785,603928,兴业股份,bottom_area,2025-08-05,15.63,2025-08-01,15.12,3.3730158730158832,3.3730158730158832,32.16689098250337,False,1.0343,2.38,1,1,1,100.0,31.69267707082834,31.69267707082834,6.626984126984118,3.3730158730158832,历史1/1次成功; 当前距低点3.37%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
10,78.2867874123595,75.13751568435904,603262,技源集团,bottom_area,2025-08-05,30.73,2025-08-04,29.88,2.8447121820615844,3.078982597054892,28.823249166269648,False,1.5868,14.1646,1,1,1,100.0,13.459459459459449,13.459459459459449,7.155287817938416,2.8447121820615844,历史1/1次成功; 当前距低点2.84%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
11,78.19617176513921,75.46442777334397,603511,爱慕股份,bottom_area,2025-08-05,15.47,2025-08-04,15.0,3.1333333333333373,3.4666666666666637,29.906542056074763,False,1.5092,1.5751,1,1,1,100.0,18.754988028731056,18.754988028731056,6.866666666666663,3.1333333333333373,历史1/1次成功; 当前距低点3.13%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
