rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.8128125,75.67734375,603122,合富中国,bottom_area,2022-04-25,12.42,2022-04-25,12.42,0.0,13.929146537842193,30.575740637227504,False,-10.0,20.923,2,2,2,100.0,49.609375,72.1590909090909,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
2,90.17746327427884,75.62283483251746,300584,海辰药业,bottom_area,2022-04-25,32.11,2022-04-25,32.0,0.3437499999999982,13.906250000000009,31.623931623931618,False,-11.2983,11.1401,2,2,2,100.0,41.271961465147655,54.23197492163009,19.656250000000004,0.3437499999999982,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-11.30%; 状态bottom_area; 底部未确认
3,90.00622524249312,77.05927168064073,300480,光力科技,bottom_area,2022-04-25,18.57,2022-04-25,18.3,1.4754098360655714,13.060109289617488,27.952755905511808,False,-11.1908,2.95,1,1,1,100.0,39.69465648854962,39.69465648854962,18.52459016393443,1.4754098360655714,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-11.19%; 状态bottom_area; 底部未确认
4,88.95648586048641,76.51021358987758,300588,熙菱信息,bottom_area,2022-04-25,10.02,2022-04-25,9.85,1.7258883248730958,11.47208121827412,28.623188405797105,False,-10.2151,7.4566,2,2,2,100.0,23.146446078431378,25.98039215686274,18.274111675126907,1.7258883248730958,历史2/2次成功; 当前距低点1.73%; 最新日涨幅-10.22%; 状态bottom_area; 底部未确认
5,88.58696443722197,74.08067296340025,300711,广哈通信,bottom_area,2022-04-25,10.52,2022-04-25,10.5,0.1904761904761864,10.000000000000005,27.083333333333336,False,-10.1623,1.5953,1,1,1,100.0,47.76859504132231,47.76859504132231,19.809523809523817,0.1904761904761864,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-10.16%; 状态bottom_area; 底部未确认
6,87.18,72.65,002657,中科金财,bottom_area,2022-04-25,12.28,2022-04-25,12.28,0.0,9.201954397394143,30.464326160815407,False,-9.9707,10.1702,1,1,1,100.0,56.540447504302946,56.540447504302946,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
7,86.4813452747269,74.1389717002476,600152,维科技术,bottom_area,2022-04-25,5.25,2022-04-25,5.17,1.547388781431336,8.51063829787235,29.945799457994582,False,-7.2438,1.2196,1,1,1,100.0,24.87644151565074,24.87644151565074,18.452611218568666,1.547388781431336,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-7.24%; 状态bottom_area; 底部未确认
8,85.73149606299214,71.44291338582678,603185,弘元绿能,bottom_area,2022-04-25,102.01,2022-04-25,102.01,0.0,8.51877266934614,28.151852373573732,False,-7.01,2.5213,1,1,1,100.0,43.51028702057404,43.51028702057404,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-7.01%; 状态bottom_area; 底部未确认
9,85.6684868172159,71.5808724436839,002045,国光电器,bottom_area,2022-04-25,6.89,2022-04-25,6.88,0.14534883720929923,8.430232558139537,27.731092436974787,False,-9.1029,1.8077,1,1,1,100.0,33.77563329312426,33.77563329312426,19.854651162790702,0.14534883720929923,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-9.10%; 状态bottom_area; 底部未确认
10,85.17734079623305,71.06431309904153,001218,丽臣实业,bottom_area,2022-04-25,31.32,2022-04-25,31.3,0.0638977635782734,5.5591054313098995,27.039627039627035,False,-6.087,2.6199,1,1,1,100.0,29.999999999999993,29.999999999999993,19.936102236421725,0.0638977635782734,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-6.09%; 状态bottom_area; 底部未确认
11,85.13419076529796,70.94515897108164,600391,航发科技,bottom_area,2022-04-25,15.96,2022-04-25,15.96,0.0,9.147869674185468,30.36649214659686,False,-9.9831,3.0086,2,2,2,100.0,24.1675213499013,27.709431751611014,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
12,84.44599486288143,70.81705265399869,002297,博云新材,bottom_area,2022-04-25,5.83,2022-04-25,5.81,0.3442340791738462,8.261617900172125,31.887456037514657,False,-8.9063,2.0925,1,1,1,100.0,32.10702341137123,32.10702341137123,19.655765920826155,0.3442340791738462,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-8.91%; 状态bottom_area; 底部未确认
13,84.20333630686886,70.16944692239072,002715,登云股份,bottom_area,2022-04-25,9.95,2022-04-25,9.95,0.0,10.552763819095485,27.636363636363644,False,-9.9548,1.3852,1,1,1,100.0,36.66369313113291,36.66369313113291,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
14,83.83762381835746,70.52648333051278,002234,民和股份,bottom_area,2022-04-25,15.63,2022-04-25,15.55,0.5144694533762062,10.546623794212222,27.234440804866633,False,-6.7422,9.8114,1,1,1,100.0,32.63157894736842,32.63157894736842,19.485530546623796,0.5144694533762062,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-6.74%; 状态bottom_area; 底部未确认
15,83.55063979560376,70.133748733536,002418,康盛股份,bottom_area,2022-04-25,2.53,2022-04-25,2.52,0.39682539682538837,9.920634920634921,29.213483146067414,False,-9.6429,1.2185,1,1,1,100.0,29.078014184397176,29.078014184397176,19.603174603174615,0.39682539682538837,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-9.64%; 状态bottom_area; 底部未确认
16,82.54897959183674,68.79081632653062,002248,华东数控,bottom_area,2022-04-25,6.0,2022-04-25,6.0,0.0,9.666666666666668,31.271477663230247,False,-10.045,3.4314,1,1,1,100.0,29.251700680272112,29.251700680272112,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
17,82.1623789217546,69.53938430208211,300437,清水源,bottom_area,2022-04-25,17.86,2022-04-25,17.71,0.846979107848665,11.801242236024843,28.183292781832925,False,-12.1495,9.0197,4,5,4,80.0,24.733853053640157,30.330330330330323,19.153020892151336,0.846979107848665,历史4/5次成功; 当前距低点0.85%; 最新日涨幅-12.15%; 状态bottom_area; 底部未确认
