rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.11052131040732,84.70948346699187,002534,西子洁能,bottom_area,2023-10-17,12.64,2023-09-22,12.48,1.2820512820512833,7.2115384615384635,27.861271676300582,True,-0.4724,0.2435,3,3,3,100.0,25.712690269187092,33.11594202898551,13.717948717948717,1.2820512820512833,历史3/3次成功; 当前距低点1.28%; 最新日涨幅-0.47%; 状态bottom_area; 底部已确认
2,93.32048490845197,83.29242143299884,601226,华电科工,bottom_area,2023-10-17,5.81,2023-10-16,5.73,1.396160558464209,1.9197207678882973,29.693251533742327,False,0.519,0.3128,1,1,1,100.0,39.54659949622166,39.54659949622166,13.60383944153579,1.396160558464209,历史1/1次成功; 当前距低点1.40%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
3,87.20144237486014,79.68807602996854,301313,凡拓数创,bottom_area,2023-10-17,28.17,2023-10-16,27.44,2.6603498542274067,3.0612244897959178,31.82608695652174,False,1.2581,5.8858,3,4,3,75.0,39.831579019392564,52.43243243243245,12.339650145772593,2.6603498542274067,历史3/4次成功; 当前距低点2.66%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
4,86.645294822222,75.82509271270894,002333,罗普斯金,bottom_area,2023-10-17,5.89,2023-10-17,5.87,0.340715502555359,2.0442930153321996,28.50182704019489,False,-1.1745,2.3178,2,2,2,100.0,32.10711859427502,46.728971962616825,14.659284497444641,0.340715502555359,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
5,86.54557448898603,78.29539987460461,000524,岭南控股,bottom_area,2023-10-17,8.19,2023-10-17,8.02,2.119700748129675,3.366583541147127,28.392857142857142,False,0.8621,1.5382,1,1,1,100.0,21.550094517958406,21.550094517958406,12.880299251870325,2.119700748129675,历史1/1次成功; 当前距低点2.12%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
6,85.43323466156971,75.61340400974264,600004,白云机场,bottom_area,2023-10-17,10.68,2023-10-17,10.58,0.9451795841209797,1.1342155009451722,28.271186440677965,False,0.2817,0.2924,1,1,1,100.0,32.57211538461537,32.57211538461537,14.054820415879018,0.9451795841209797,历史1/1次成功; 当前距低点0.95%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
7,84.38406843057741,74.10279112754156,600032,浙江新能,bottom_area,2023-10-17,9.55,2023-10-16,9.5,0.5263157894736916,1.8947368421052602,28.892215568862273,False,0.3151,0.7783,1,1,1,100.0,19.31608133086876,19.31608133086876,14.473684210526308,0.5263157894736916,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
8,83.59038414239656,78.26752889349571,000058,深赛格,bottom_area,2023-10-17,7.08,2023-09-22,6.81,3.9647577092511086,7.782672540381795,27.16577540106952,True,0.0,1.4815,1,1,1,100.0,34.82352941176472,34.82352941176472,11.03524229074889,3.9647577092511086,历史1/1次成功; 当前距低点3.96%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
9,78.78597686013701,69.41924466523653,000006,深振业A,bottom_area,2023-10-17,4.28,2023-10-17,4.25,0.7058823529411823,2.1176470588235263,30.327868852459012,False,-0.9259,0.9449,1,1,1,100.0,18.809980806142043,18.809980806142043,14.294117647058819,0.7058823529411823,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
10,77.52400866997125,68.56353474320242,000965,天保基建,bottom_area,2023-10-17,3.34,2023-10-17,3.31,0.9063444108761269,1.5105740181268827,27.886710239651414,False,-0.2985,1.1063,1,1,1,100.0,16.666666666666664,16.666666666666664,14.093655589123872,0.9063444108761269,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
11,76.12343465001341,67.86781174633725,000798,中水渔业,bottom_area,2023-10-17,8.34,2023-10-17,8.23,1.3365735115431279,2.3086269744835906,31.98347107438016,False,-0.9501,1.3521,2,3,2,66.66666666666666,17.250175731123207,17.3015873015873,13.66342648845687,1.3365735115431279,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
