rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.29711146976592,74.36231268731268,002375,亚厦股份,bottom_area,2022-10-24,4.37,2022-10-11,4.2,4.047619047619046,10.476190476190464,29.648241206030146,True,-3.3186,0.715,2,2,2,100.0,30.864968364968366,36.9047619047619,10.952380952380954,4.047619047619046,历史2/2次成功; 当前距低点4.05%; 最新日涨幅-3.32%; 状态bottom_area; 底部已确认
2,79.2376628168172,69.6261559341551,002677,浙江美大,bottom_area,2022-10-24,10.79,2022-10-24,10.73,0.5591798695246851,4.566635601118361,28.418945963975982,False,-2.7051,0.7157,1,1,1,100.0,18.124118476727787,18.124118476727787,14.440820130475315,0.5591798695246851,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
3,77.54446977283197,72.1011870845204,600126,杭钢股份,bottom_area,2022-10-24,4.04,2022-10-11,3.9,3.589743589743593,7.179487179487174,31.698774080560423,True,-1.2225,0.2869,1,1,1,100.0,19.54732510288064,19.54732510288064,11.410256410256405,3.589743589743593,历史1/1次成功; 当前距低点3.59%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
4,76.4137406955539,71.23843897138717,603165,荣晟环保,bottom_area,2022-10-24,10.84,2022-10-11,10.45,3.7320574162679483,8.038277511961722,28.668941979522188,True,-1.7226,0.7131,1,1,1,100.0,16.653386454183263,16.653386454183263,11.267942583732053,3.7320574162679483,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
5,75.71267295807857,69.40912983361895,002271,东方雨虹,bottom_area,2022-10-24,23.25,2022-10-24,22.61,2.8306059265811614,5.395842547545329,28.38137472283814,False,-3.125,3.4543,1,1,1,100.0,15.17694272163444,15.17694272163444,12.169394073418838,2.8306059265811614,历史1/1次成功; 当前距低点2.83%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
6,71.70520546685849,68.43410351201481,603333,尚纬股份,bottom_area,2022-10-24,5.68,2022-10-10,5.41,4.990757855822543,10.905730129390015,28.62796833773087,True,-2.7397,1.636,1,1,1,100.0,17.005545286506468,17.005545286506468,10.009242144177456,4.990757855822543,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
7,67.83341739539517,61.67680948291725,601919,中远海控,bottom_area,2022-10-24,11.14,2022-10-10,10.88,2.389705882352939,8.915441176470578,28.13738441215323,True,-2.1949,0.7103,1,2,1,50.0,40.45881126173098,40.45881126173098,12.610294117647062,2.389705882352939,历史1/2次成功; 当前距低点2.39%; 最新日涨幅-2.19%; 状态bottom_area; 底部已确认
8,60.485341970627054,57.205867660764255,601778,晶科科技,bottom_area,2022-10-24,4.64,2022-09-29,4.44,4.504504504504489,8.108108108108095,28.271405492730207,True,-1.0661,1.0468,1,2,1,50.0,42.344827586206904,42.344827586206904,10.495495495495511,4.504504504504489,历史1/2次成功; 当前距低点4.50%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
9,60.17102238282408,53.08212169251048,600346,恒力石化,bottom_area,2022-10-24,15.68,2022-10-24,15.56,0.7712082262210747,5.591259640102822,27.929597035664656,False,-2.6087,0.4526,1,2,1,50.0,23.443421765024375,23.443421765024375,14.228791773778926,0.7712082262210747,历史1/2次成功; 当前距低点0.77%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
10,55.26213186685673,51.7277559351482,603313,梦百合,bottom_area,2022-10-24,9.74,2022-10-11,9.37,3.948772678762017,10.565635005336183,28.144171779141107,True,-2.3069,0.6447,1,3,1,33.33333333333333,25.52486187845302,25.52486187845302,11.051227321237983,3.948772678762017,历史1/3次成功; 当前距低点3.95%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
11,54.11247654469381,51.580316423523854,605319,无锡振华,bottom_area,2022-10-24,13.21,2022-10-10,12.59,4.924543288324075,9.610802223987298,32.88912579957356,True,-1.6381,0.8473,1,2,1,50.0,17.248790972595383,17.248790972595383,10.075456711675924,4.924543288324075,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
12,52.08439938902859,49.54508451463548,002108,沧州明珠,bottom_area,2022-10-24,4.79,2022-10-10,4.57,4.814004376367609,10.940919037199125,28.03149606299212,True,-1.6427,0.7431,1,3,1,33.33333333333333,24.3961352657005,24.3961352657005,10.18599562363239,4.814004376367609,历史1/3次成功; 当前距低点4.81%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
