rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.78016159687688,83.3421675249846,000619,海螺新材,bottom_area,2025-11-26,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,-0.313,3.7817,4,4,4,100.0,30.81836553898465,43.133047210300425,12.09208400646204,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
2,89.84031969734846,82.03126496400988,002160,常铝股份,bottom_area,2025-11-26,5.1,2025-11-24,4.97,2.6156941649899377,5.231388329979893,28.386167146974074,False,-1.7341,5.2115,3,3,3,100.0,36.855094947241525,40.066225165562926,12.384305835010062,2.6156941649899377,历史3/3次成功; 当前距低点2.62%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
3,87.38119632682941,78.20247251970616,603151,邦基科技,bottom_area,2025-11-26,18.45,2025-11-21,18.17,1.541001651073184,3.742432581177764,32.62884686688913,False,-0.8065,1.1094,1,1,1,100.0,36.42987249544626,36.42987249544626,13.458998348926816,1.541001651073184,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
4,86.29185852703489,81.46789579158317,002825,纳尔股份,bottom_area,2025-11-26,10.42,2025-11-24,9.98,4.408817635270536,4.809619238476958,27.046783625730992,False,1.2634,2.9731,2,2,2,100.0,56.18277368277369,89.24242424242425,10.591182364729464,4.408817635270536,历史2/2次成功; 当前距低点4.41%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
5,85.508100795169,74.76538055018307,000803,山高环能,bottom_area,2025-11-26,6.81,2025-11-26,6.79,0.2945508100147212,3.0927835051546384,29.1970802919708,False,-2.2956,2.9939,2,2,2,100.0,25.843851596863644,36.1111111111111,14.705449189985279,0.2945508100147212,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
6,85.30190056114095,76.50394669160625,600506,统一股份,bottom_area,2025-11-26,25.8,2025-11-24,25.38,1.6548463356974064,6.343577620173363,30.46575342465754,False,-2.3097,13.6285,1,1,1,100.0,28.69352869352869,28.69352869352869,13.345153664302591,1.6548463356974064,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
7,85.03072332711244,76.12654888344679,003038,鑫铂股份,bottom_area,2025-11-26,15.62,2025-11-24,15.38,1.5604681404421223,3.7061118335500547,28.76331635016211,False,-1.6992,1.9951,1,1,1,100.0,25.507614213197975,25.507614213197975,13.439531859557876,1.5604681404421223,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,84.51963662664112,79.35413181952131,002664,信质集团,bottom_area,2025-11-26,22.79,2025-11-24,21.89,4.111466423024206,5.984467793513014,30.727848101265824,False,0.6181,1.5097,2,2,2,100.0,34.990727225895085,52.526315789473685,10.888533576975794,4.111466423024206,历史2/2次成功; 当前距低点4.11%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
9,84.44903654264655,77.00256330783533,603938,三孚股份,bottom_area,2025-11-26,17.75,2025-11-21,17.31,2.5418833044483033,8.08781051415368,27.45180217937972,False,0.0,2.6853,1,1,1,100.0,19.774501300954046,19.774501300954046,12.458116695551697,2.5418833044483033,历史1/1次成功; 当前距低点2.54%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,84.01778969971656,75.57297985153764,002321,华英农业,bottom_area,2025-11-26,2.81,2025-11-25,2.76,1.8115942028985605,6.521739130434789,28.497409326424872,False,-1.4035,3.6167,1,1,1,100.0,25.609756097560986,25.609756097560986,13.188405797101439,1.8115942028985605,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
11,82.97143717517656,72.87376869391822,600550,保变电气,bottom_area,2025-11-26,9.4,2025-11-26,9.35,0.5347593582887776,3.529411764705883,28.076923076923077,False,-2.8926,4.2572,1,1,1,100.0,35.285053929121716,35.285053929121716,14.465240641711222,0.5347593582887776,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
12,82.85745945162668,74.51284424278049,603178,圣龙股份,bottom_area,2025-11-26,18.1,2025-11-24,17.78,1.7997750281214864,3.712035995500563,27.694184627897517,False,-1.0929,1.0509,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,13.200224971878512,1.7997750281214864,历史5/7次成功; 当前距低点1.80%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
13,82.8081110598939,75.0698007804075,601127,赛力斯,bottom_area,2025-11-26,125.1,2025-11-24,122.37,2.2309389556263706,3.914358094304153,28.854651162790695,False,0.2002,0.8327,6,9,6,66.66666666666666,27.793951250370768,42.19143576826195,12.769061044373627,2.2309389556263706,历史6/9次成功; 当前距低点2.23%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
14,82.67482203925961,75.51196690273015,603173,福斯达,bottom_area,2025-11-26,37.82,2025-11-24,36.85,2.632293080054271,4.640434192673001,32.86573146292585,False,-0.6306,1.9259,1,1,1,100.0,35.34190927555856,35.34190927555856,12.367706919945729,2.632293080054271,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
15,81.04451287240066,74.75585848199341,601011,宝泰隆,bottom_area,2025-11-26,3.59,2025-11-24,3.48,3.160919540229881,5.172413793103453,28.395061728395067,False,-1.3736,3.3446,4,5,4,80.0,31.090080826438378,34.951456310679596,11.839080459770118,3.160919540229881,历史4/5次成功; 当前距低点3.16%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
16,80.13007393700651,74.71644749021004,688766,普冉股份,bottom_area,2025-11-26,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,11.258333333333336,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
