rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
30,73.71354632186774,73.33181904464902,600203,福日电子,confirmed_rebound,2023-05-29,5.84,2023-05-15,5.63,3.7300177619893424,8.348134991119,28.824273072060684,True,-0.5111,0.7432,2,2,2,100.0,21.43150291389641,24.045801526717554,4.269982238010658,3.7300177619893424,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-0.51%; 状态confirmed_rebound; 底部已确认
31,73.67834074041278,69.38373243676818,688028,沃尔德,bottom_area,2023-05-29,21.83,2023-05-26,21.64,0.8780036968576604,4.852125693160817,32.35386058143169,False,-2.1515,0.7782,1,1,1,100.0,20.728929384965834,20.728929384965834,7.12199630314234,0.8780036968576604,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
32,73.54290605852785,69.8812604854153,688298,东方生物,bottom_area,2023-05-29,52.75,2023-05-19,52.05,1.3448607108549526,6.570605187319889,32.99433573635429,False,-1.3096,0.6047,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,6.655139289145047,1.3448607108549526,历史4/6次成功; 当前距低点1.34%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
33,73.51119760359583,73.79180019373952,001332,锡装股份,bottom_area,2023-05-29,44.18,2023-05-24,42.4,4.1981132075471725,6.556603773584908,32.290003193867776,False,-1.6255,1.434,2,2,2,100.0,28.620958639500337,31.086142322097377,3.801886792452828,4.1981132075471725,历史2/2次成功; 当前距低点4.20%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
34,73.32937501504898,74.3514455910613,002753,永东股份,confirmed_rebound,2023-05-29,7.1,2023-04-25,6.78,4.719764011799401,10.619469026548668,29.521829521829513,True,-2.069,1.0415,2,2,2,100.0,39.04573945141897,69.36936936936937,3.2802359882005994,4.719764011799401,历史2/2次成功; 当前距低点4.72%; 最新日涨幅-2.07%; 状态confirmed_rebound; 底部已确认
35,73.30289045463567,69.00115463430993,001201,东瑞股份,bottom_area,2023-05-29,23.56,2023-05-19,23.36,0.8561643835616408,5.265410958904111,31.25367863449087,False,-1.505,0.6152,1,1,1,100.0,18.4043517679057,18.4043517679057,7.14383561643836,0.8561643835616408,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
36,73.07309395940102,71.26607616379034,000970,中科三环,confirmed_rebound,2023-05-29,11.8,2023-04-27,11.49,2.697998259355966,9.486510008703219,27.140139505389975,True,-0.9236,0.6781,1,1,1,100.0,14.341463414634154,14.341463414634154,5.302001740644034,2.697998259355966,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-0.92%; 状态confirmed_rebound; 底部已确认
37,72.80579095564,71.10915155023098,600256,广汇能源,bottom_area,2023-05-29,7.41,2023-05-29,7.21,2.773925104022194,5.547850208044388,29.10521140609636,False,-3.3898,2.9013,1,1,1,100.0,23.62204724409449,23.62204724409449,5.226074895977806,2.773925104022194,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
38,72.77603290511604,68.35318007662833,600386,北巴传媒,bottom_area,2023-05-29,4.08,2023-05-25,4.05,0.7407407407407469,2.962962962962966,28.822495606326896,False,-0.4878,1.7625,1,1,1,100.0,13.505747126436788,13.505747126436788,7.259259259259252,0.7407407407407469,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
39,72.42186964184793,70.04783465454129,000572,海马汽车,confirmed_rebound,2023-05-29,4.06,2023-05-26,3.97,2.267002518891673,10.579345088161196,32.59762308998301,True,-5.3613,1.5021,1,1,1,100.0,12.723658051689855,12.723658051689855,5.7329974811083275,2.267002518891673,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-5.36%; 状态confirmed_rebound; 底部已确认
40,71.59961348367843,69.25579003041709,688059,华锐精密,confirmed_rebound,2023-05-29,77.96,2023-05-22,76.23,2.269447723993165,8.172635445362705,32.84883720930232,True,-3.6817,1.1029,1,1,1,100.0,8.495327102803742,8.495327102803742,5.7305522760068355,2.269447723993165,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-3.68%; 状态confirmed_rebound; 底部已确认
41,71.40975966882361,67.17774479252093,600308,华泰股份,bottom_area,2023-05-29,3.67,2023-05-29,3.64,0.8241758241758188,2.7472527472527495,32.342007434944236,False,-1.0782,0.6138,1,1,1,100.0,8.208955223880594,8.208955223880594,7.175824175824181,0.8241758241758188,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
42,68.23229238471157,63.44660556495495,600984,建设机械,bottom_area,2023-05-29,4.55,2023-05-29,4.54,0.22026431718061204,2.422907488986791,27.36,False,-1.5152,0.6532,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,7.779735682819389,0.22026431718061204,历史2/3次成功; 当前距低点0.22%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
43,66.88662665858064,67.95497350573547,600415,小商品城,bottom_area,2023-05-29,8.04,2023-05-24,7.67,4.823989569752272,7.301173402868325,29.503676470588243,True,-0.8631,2.3161,1,1,1,100.0,12.38532110091743,12.38532110091743,3.1760104302477283,4.823989569752272,历史1/1次成功; 当前距低点4.82%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
44,65.81312795195826,66.79844118417606,688321,微芯生物,confirmed_rebound,2023-05-29,23.05,2023-05-15,22.0,4.772727272727276,9.772727272727266,31.888544891640862,True,-1.2002,0.3921,1,1,1,100.0,15.754082612872244,15.754082612872244,3.2272727272727244,4.772727272727276,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-1.20%; 状态confirmed_rebound; 底部已确认
45,54.83876137145881,51.25997441819807,601636,旗滨集团,bottom_area,2023-05-29,8.17,2023-05-29,8.13,0.49200492004918994,3.0750307503075027,32.920792079207914,False,-1.9208,1.0787,1,2,1,50.0,10.224438902743147,10.224438902743147,7.507995079950811,0.49200492004918994,历史1/2次成功; 当前距低点0.49%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
46,48.19499087148273,48.38107191731858,002623,亚玛顿,confirmed_rebound,2023-05-29,27.04,2023-04-25,25.95,4.20038535645472,10.905587668593457,30.42895442359249,True,-3.0477,1.4272,1,2,1,50.0,11.601884570082444,11.601884570082444,3.7996146435452807,4.20038535645472,历史1/2次成功; 当前距低点4.20%; 最新日涨幅-3.05%; 状态confirmed_rebound; 底部已确认
