rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.49623679944084,86.45531580491487,688075,安旭生物,bottom_area,2023-01-13,86.73,2022-12-30,83.88,3.397711015736777,5.996661897949453,29.441453566621806,False,0.2775,1.5645,4,4,4,100.0,31.086542584917854,40.134529147982065,16.602288984263225,3.397711015736777,历史4/4次成功; 当前距低点3.40%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,93.53910290197658,79.19662189256675,000411,英特集团,bottom_area,2023-01-13,11.64,2023-01-05,11.54,0.8665511265164769,2.772963604852689,31.675547661338076,False,0.2584,0.8931,2,2,2,100.0,34.206228285076975,47.98426745329401,19.133448873483523,0.8665511265164769,历史2/2次成功; 当前距低点0.87%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
3,90.95344912649396,78.5534421641791,000919,金陵药业,bottom_area,2023-01-13,7.83,2022-12-29,7.68,1.9531250000000049,4.947916666666677,31.12107623318386,False,0.7722,1.2801,1,1,1,100.0,20.8955223880597,20.8955223880597,18.046874999999996,1.9531250000000049,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
4,86.89612362118842,73.12349857229617,002395,双象股份,bottom_area,2023-01-13,9.44,2023-01-13,9.39,0.5324813631522783,3.833865814696479,31.259150805270856,False,-1.973,1.3926,1,1,1,100.0,36.59976387249114,36.59976387249114,19.46751863684772,0.5324813631522783,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
5,84.78567111861653,71.80847526570851,002095,生意宝,bottom_area,2023-01-13,21.68,2023-01-13,21.49,0.8841321544904668,3.908794788273615,28.366666666666674,False,-1.9448,7.1187,1,1,1,100.0,33.84030418250951,33.84030418250951,19.115867845509534,0.8841321544904668,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
6,82.73139068473138,75.1794298574245,000980,众泰汽车,bottom_area,2023-01-13,4.42,2022-12-29,4.22,4.739336492891,10.4265402843602,30.247933884297524,True,-0.4505,1.0774,2,2,2,100.0,33.52213473772031,43.49775784753364,15.260663507109001,4.739336492891,历史2/2次成功; 当前距低点4.74%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
7,66.21022607461163,59.477963600093005,300382,斯莱克,bottom_area,2023-01-13,18.5,2022-12-23,17.77,4.108047270680926,10.579628587507028,28.34677419354839,True,-2.3747,1.0653,1,2,1,50.0,49.70059880239522,49.70059880239522,15.891952729319076,4.108047270680926,历史1/2次成功; 当前距低点4.11%; 最新日涨幅-2.37%; 状态bottom_area; 底部已确认
8,64.99086557517467,54.451633764486765,002838,道恩股份,bottom_area,2023-01-13,17.06,2023-01-13,17.01,0.2939447383891661,2.057613168724267,32.17703349282296,False,-1.5012,1.1972,1,2,1,50.0,24.95606326889279,24.95606326889279,19.706055261610835,0.2939447383891661,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
9,64.01746438254978,53.98229429015008,300434,金石亚药,bottom_area,2023-01-13,12.48,2023-01-13,12.4,0.6451612903225812,3.3064516129032264,28.653624856156494,False,-1.8096,4.072,1,2,1,50.0,26.7379679144385,26.7379679144385,19.35483870967742,0.6451612903225812,历史1/2次成功; 当前距低点0.65%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
10,62.34743259764206,52.8870051215069,000419,通程控股,bottom_area,2023-01-13,6.25,2023-01-13,6.19,0.969305331179315,2.423263327948295,27.51756440281029,False,-0.7937,5.0163,1,2,1,50.0,24.82269503546099,24.82269503546099,19.030694668820686,0.969305331179315,历史1/2次成功; 当前距低点0.97%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
11,58.68022364761372,49.606279901631986,000715,中兴商业,bottom_area,2023-01-13,6.44,2023-01-13,6.39,0.78247261345854,3.7558685446009425,28.363228699551573,False,-2.1277,5.9667,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,19.217527386541462,0.78247261345854,历史1/3次成功; 当前距低点0.78%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
