rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.91748530827488,83.85799726298396,600009,上海机场,bottom_area,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,3,3,3,100.0,21.829065044759854,27.704918032786885,8.66131191432396,1.3386880856760406,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
2,86.86287251336634,80.62122897947175,002041,登海种业,bottom_area,2023-06-29,14.88,2023-06-29,14.72,1.0869565217391313,2.377717391304345,30.56603773584905,False,0.1346,0.4276,1,1,1,100.0,21.395106715252467,21.395106715252467,8.91304347826087,1.0869565217391313,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,84.69229500693632,80.10992047950795,601666,平煤股份,bottom_area,2023-06-29,7.36,2023-06-26,7.21,2.0804438280166484,4.85436893203883,29.10521140609636,False,-2.2576,0.9105,3,3,3,100.0,19.964152727881192,27.30923694779115,7.919556171983352,2.0804438280166484,历史3/3次成功; 当前距低点2.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
4,83.74861943951092,77.74400144196107,600935,华塑股份,bottom_area,2023-06-29,3.69,2023-06-27,3.65,1.0958904109589052,1.9178082191780899,28.571428571428577,False,-0.8065,0.1659,1,1,1,100.0,28.50877192982458,28.50877192982458,8.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
5,83.54458595314038,77.00266868518683,002545,东方铁塔,bottom_area,2023-06-29,6.98,2023-06-26,6.93,0.7215007215007319,2.0202020202020283,27.58620689655173,False,0.0,0.5291,2,2,2,100.0,20.63274371079842,28.468653648509758,9.27849927849927,0.7215007215007319,历史2/2次成功; 当前距低点0.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,82.45517299900472,79.3416095723365,002299,圣农发展,bottom_area,2023-06-29,19.01,2023-06-26,18.46,2.979414951245941,4.1170097508125565,27.00672202451561,False,0.9559,0.5187,2,2,2,100.0,21.046643339662563,26.73830594184577,7.020585048754059,2.979414951245941,历史2/2次成功; 当前距低点2.98%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
7,81.1234988996252,80.77585597517509,000810,创维数字,bottom_area,2023-06-29,15.8,2023-06-28,15.08,4.774535809018572,5.371352785145892,27.360308285163782,False,0.7653,1.8137,4,4,4,100.0,17.429019460953928,31.738800303720588,5.225464190981429,4.774535809018572,历史4/4次成功; 当前距低点4.77%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
8,81.00586347950603,76.80494576524906,688302,海创药业,bottom_area,2023-06-29,53.77,2023-06-26,52.61,2.2049040106443716,5.873408097319908,29.70336718332443,False,-0.4075,0.8138,1,1,1,100.0,37.054445750097926,37.054445750097926,7.795095989355628,2.2049040106443716,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
9,80.83271512005753,76.46127190637557,603322,超讯通信,bottom_area,2023-06-29,29.42,2023-06-29,28.82,2.081887578070789,3.712699514226233,30.201017195446838,False,-0.5409,10.038,2,2,2,100.0,17.03212679772567,18.007915567282325,7.918112421929211,2.081887578070789,历史2/2次成功; 当前距低点2.08%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
10,78.6114305424809,73.93695740365112,601669,中国电建,bottom_area,2023-06-29,5.71,2023-06-07,5.61,1.7825311942958937,4.812834224598923,29.78723404255319,False,-0.6957,0.591,1,1,1,100.0,16.457680250783696,16.457680250783696,8.217468805704106,1.7825311942958937,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
11,77.87703113682969,77.83939119911251,600421,退市华嵘,bottom_area,2023-06-29,10.34,2023-06-28,9.85,4.974619289340104,7.106598984771585,29.94310099573258,True,0.3883,1.7844,1,1,1,100.0,44.900662251655625,44.900662251655625,5.025380710659897,4.974619289340104,历史1/1次成功; 当前距低点4.97%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
12,77.35888010007723,74.59284953183449,688085,三友医疗,bottom_area,2023-06-29,25.7,2023-06-26,24.93,3.088648215002004,3.6903329322101954,29.25652667423383,False,1.1015,0.2792,1,1,1,100.0,13.52133044107013,13.52133044107013,6.911351784997996,3.088648215002004,历史1/1次成功; 当前距低点3.09%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
