rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.19545983034074,84.28603869911137,000065,北方国际,bottom_area,2024-07-22,9.52,2024-07-18,9.42,1.061571125265389,3.290870488322723,28.905660377358487,False,-1.6529,0.7238,3,3,3,100.0,29.926993896325044,41.48061104582843,18.938428874734612,1.061571125265389,历史3/3次成功; 当前距低点1.06%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
2,95.87317901096422,84.41974052973677,000811,冰轮环境,bottom_area,2024-07-22,8.55,2024-07-18,8.3,3.012048192771084,3.975903614457832,30.13468013468013,False,0.3521,0.8863,3,3,3,100.0,32.0817763938432,47.451868629671566,16.987951807228917,3.012048192771084,历史3/3次成功; 当前距低点3.01%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
3,95.66910698308155,82.82606770159069,300349,金卡智能,bottom_area,2024-07-22,10.77,2024-07-18,10.55,2.085308056872027,2.654028436018951,29.24211938296445,False,0.5602,0.8095,1,1,1,100.0,45.48693586698337,45.48693586698337,17.914691943127973,2.085308056872027,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,95.0134738125947,83.07906435057242,605099,共创草坪,bottom_area,2024-07-22,18.35,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,True,0.1091,0.0693,1,1,1,100.0,44.31372549019606,44.31372549019606,17.371364653243837,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
5,94.372768618993,80.82852867830421,002687,乔治白,bottom_area,2024-07-22,4.07,2024-07-09,4.01,1.4962593516209601,6.733167082294276,31.45299145299145,False,-0.2451,0.4788,1,1,1,100.0,64.00000000000001,64.00000000000001,18.50374064837904,1.4962593516209601,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
6,93.44678671140476,82.51260148406811,600973,宝胜股份,bottom_area,2024-07-22,3.26,2024-07-18,3.16,3.164556962025305,4.113924050632908,31.749460043196542,False,0.3077,0.438,2,2,2,100.0,40.36446966390223,46.551724137931025,16.835443037974695,3.164556962025305,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
7,88.94996562229379,75.62547684486516,601886,江河集团,bottom_area,2024-07-22,4.62,2024-07-22,4.57,1.0940919037199084,1.9693654266958391,27.8041074249605,False,0.0,0.5325,2,3,2,66.66666666666666,33.5125791326875,33.5540838852097,18.905908096280093,1.0940919037199084,历史2/3次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,88.90469896639027,75.90277994575187,600389,江山股份,bottom_area,2024-07-22,13.03,2024-07-18,12.86,1.3219284603421457,4.276827371695185,29.726775956284158,False,-0.7616,0.718,1,1,1,100.0,21.380520620064356,21.380520620064356,18.678071539657857,1.3219284603421457,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
9,88.76259149706318,77.41729483683183,603282,亚光股份,bottom_area,2024-07-22,15.64,2024-07-09,15.26,2.490170380078642,7.7326343381389355,27.848699763593377,True,-0.6984,0.4448,1,1,1,100.0,34.64991023339317,34.64991023339317,17.50982961992136,2.490170380078642,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
10,88.03375146439721,76.88280961224024,001218,丽臣实业,bottom_area,2024-07-22,14.41,2024-07-18,14.05,2.56227758007117,3.70106761565836,29.040404040404038,False,-0.7576,0.8391,2,2,2,100.0,25.18711018711019,29.999999999999993,17.437722419928832,2.56227758007117,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
11,87.78143700067957,78.02794400060408,000789,万年青,bottom_area,2024-07-22,4.4,2024-07-09,4.25,3.5294117647058907,7.2941176470588145,29.752066115702476,True,-0.6772,0.4849,2,2,2,100.0,34.00539152759949,47.599999999999994,16.47058823529411,3.5294117647058907,历史2/2次成功; 当前距低点3.53%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
