rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.4190324447066,77.30412317905218,601669,中国电建,bottom_area,2023-07-19,5.73,2023-06-07,5.61,2.1390374331550817,5.882352941176471,29.78723404255319,False,0.5263,0.3415,1,1,1,100.0,16.457680250783696,16.457680250783696,12.860962566844918,2.1390374331550817,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,83.61571423106416,79.74370983213733,688258,卓易信息,bottom_area,2023-07-19,62.31,2023-07-13,59.37,4.951995957554329,9.516590870810171,31.30857341200973,True,0.3543,1.3518,3,3,3,100.0,21.528282878285978,27.716894977168955,10.04800404244567,4.951995957554329,历史3/3次成功; 当前距低点4.95%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
3,82.83873841507571,74.73915874062217,002825,纳尔股份,bottom_area,2023-07-19,8.78,2023-07-17,8.61,1.9744483159117299,3.019744483159115,32.94392523364487,False,-0.4535,0.6575,1,1,1,100.0,23.123123123123136,23.123123123123136,13.025551684088269,1.9744483159117299,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
4,81.11930260805742,71.54166253604447,002755,奥赛康,bottom_area,2023-07-19,8.0,2023-07-17,7.94,0.7556675062972242,2.267002518891673,28.853046594982075,False,-0.9901,0.2049,1,1,1,100.0,30.831099195710454,30.831099195710454,14.244332493702775,0.7556675062972242,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
5,77.8124107220375,73.80345349675561,600935,华塑股份,bottom_area,2023-07-19,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,0.2625,0.1825,1,1,1,100.0,28.50877192982458,28.50877192982458,10.34246575342466,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
6,75.74282995311971,71.88161584078135,300661,圣邦股份,bottom_area,2023-07-19,85.3,2023-07-03,81.48,4.688267059401071,10.92292587137947,27.145922746781114,True,-1.3417,0.5385,1,1,1,100.0,31.832606108687024,31.832606108687024,10.311732940598928,4.688267059401071,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
7,74.49676363495342,70.77853144947437,600995,南网储能,bottom_area,2023-07-19,11.25,2023-06-07,10.74,4.748603351955305,8.379888268156428,32.7909887359199,True,-0.3543,0.6249,1,1,1,100.0,26.64165103189493,26.64165103189493,10.251396648044695,4.748603351955305,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.35%; 状态bottom_area; 底部已确认
8,74.19831501370903,69.79800594336636,603222,济民健康,bottom_area,2023-07-19,9.89,2023-07-10,9.49,4.214963119072712,8.74604847207587,27.112135176651304,True,0.3043,1.0442,4,7,4,57.14285714285714,35.21263670043394,68.46504559270518,10.785036880927287,4.214963119072712,历史4/7次成功; 当前距低点4.21%; 最新日涨幅0.30%; 状态bottom_area; 底部已确认
9,69.33046060605264,60.978518963568575,688311,盟升电子,bottom_area,2023-07-19,59.38,2023-07-19,59.02,0.6099627245001684,5.404947475432053,30.548364321016706,False,-4.133,3.5837,2,3,2,66.66666666666666,21.357888756786508,23.893805309734503,14.39003727549983,0.6099627245001684,历史2/3次成功; 当前距低点0.61%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
10,66.0944619187964,59.090744710688355,002403,爱仕达,bottom_area,2023-07-19,8.88,2023-07-19,8.75,1.4857142857142946,1.6000000000000065,29.887820512820518,False,0.0,2.7507,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,13.514285714285704,1.4857142857142946,历史1/3次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,58.86139498664944,53.50122242098985,603033,三维股份,bottom_area,2023-07-19,15.97,2023-07-17,15.6,2.3717948717948785,5.25641025641027,27.677329624478446,False,-0.1875,0.116,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,12.628205128205122,2.3717948717948785,历史1/3次成功; 当前距低点2.37%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
12,56.36923044526375,53.510021745883805,000792,盐湖股份,bottom_area,2023-07-19,19.37,2023-05-30,18.5,4.702702702702708,7.5675675675675595,29.49695121951219,True,-0.0516,0.3905,1,2,1,50.0,24.904214559386965,24.904214559386965,10.297297297297291,4.702702702702708,历史1/2次成功; 当前距低点4.70%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
13,55.83012557383012,51.398173670598446,688318,财富趋势,bottom_area,2023-07-19,90.69,2023-07-19,88.0,3.0568181818181794,4.499999999999993,28.837134077308747,False,-2.3894,1.367,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,11.94318181818182,3.0568181818181794,历史1/3次成功; 当前距低点3.06%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
