rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.71151279089551,84.41484087337334,300454,深信服,bottom_area,2024-03-28,63.07,2024-03-27,61.11,3.20733104238259,7.871052200949112,28.35033415406262,False,3.0219,3.7034,4,4,4,100.0,17.782557258094812,29.49391262831224,4.79266895761741,3.20733104238259,历史4/4次成功; 当前距低点3.21%; 最新日涨幅3.02%; 状态bottom_area; 底部未确认
2,84.64300361383044,84.04379768076538,300536,农尚环境,confirmed_rebound,2024-03-28,16.27,2024-03-27,15.7,3.630573248407645,10.063694267515935,28.636363636363637,True,2.327,3.8704,3,3,3,100.0,38.66400369427315,60.27027027027027,4.369426751592355,3.630573248407645,历史3/3次成功; 当前距低点3.63%; 最新日涨幅2.33%; 状态confirmed_rebound; 底部已确认
3,83.71841318616067,83.19514869775423,688048,长光华芯,bottom_area,2024-03-28,42.61,2024-03-28,41.1,3.6739659367396547,6.204379562043789,27.95793163891323,False,2.1823,4.6314,4,4,4,100.0,16.94511308344427,23.810089020771517,4.326034063260345,3.6739659367396547,历史4/4次成功; 当前距低点3.67%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
4,80.45159948742008,76.40616264198357,688220,翱捷科技,bottom_area,2024-03-28,39.98,2024-03-28,39.46,1.3177901672579726,3.8773441459706057,27.19557195571956,False,-0.4482,1.3669,3,4,3,75.0,28.20281840500936,45.103092783505154,6.6822098327420285,1.3177901672579726,历史3/4次成功; 当前距低点1.32%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
5,78.93137334580803,78.57056591321563,000917,电广传媒,bottom_area,2024-03-28,6.62,2024-03-28,6.38,3.7617554858934206,4.702194357366769,30.425299890948747,False,2.0031,8.4116,1,1,1,100.0,43.157894736842124,43.157894736842124,4.238244514106579,3.7617554858934206,历史1/1次成功; 当前距低点3.76%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
6,76.65570279849,78.12992325166216,603095,越剑智能,confirmed_rebound,2024-03-28,16.62,2024-03-26,15.83,4.990524320909671,8.717624763108027,28.981606101390756,True,2.2769,3.0777,3,3,3,100.0,23.5393478673989,49.20159680638723,3.0094756790903294,4.990524320909671,历史3/3次成功; 当前距低点4.99%; 最新日涨幅2.28%; 状态confirmed_rebound; 底部已确认
7,76.00922598106054,76.20468226534416,603356,华菱精工,bottom_area,2024-03-28,13.1,2024-03-28,12.58,4.133545310015895,4.928457869634334,32.32920925228618,False,1.8663,8.1591,3,4,3,75.0,39.16218049559353,53.658536585365866,3.866454689984105,4.133545310015895,历史3/4次成功; 当前距低点4.13%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
8,75.6059784265305,74.84163829079473,002857,三晖电气,bottom_area,2024-03-28,12.22,2024-03-28,11.81,3.471634208298054,4.826418289585099,29.785969084423304,False,2.6891,2.2195,1,1,1,100.0,19.55357142857144,19.55357142857144,4.528365791701947,3.471634208298054,历史1/1次成功; 当前距低点3.47%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
9,75.39756549380805,73.98170370677448,603190,亚通精工,bottom_area,2024-03-28,25.29,2024-03-27,24.55,3.014256619144596,4.114052953156815,27.83656672545562,False,2.9723,5.4474,1,1,1,100.0,9.323703217334197,9.323703217334197,4.9857433808554035,3.014256619144596,历史1/1次成功; 当前距低点3.01%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
10,73.76469515083053,74.46406413897009,000710,贝瑞基因,bottom_area,2024-03-28,9.54,2024-03-28,9.13,4.490690032858689,5.695509309967136,30.62310030395136,False,3.5831,10.4783,2,2,2,100.0,13.34858824670914,17.3469387755102,3.5093099671413115,4.490690032858689,历史2/2次成功; 当前距低点4.49%; 最新日涨幅3.58%; 状态bottom_area; 底部未确认
11,71.63785524161543,72.02485445960735,300727,润禾材料,bottom_area,2024-03-28,26.8,2024-03-27,25.7,4.2801556420233515,6.108949416342414,28.57142857142857,False,3.7152,7.134,3,4,3,75.0,18.487146900110744,26.812499999999993,3.719844357976649,4.2801556420233515,历史3/4次成功; 当前距低点4.28%; 最新日涨幅3.72%; 状态bottom_area; 底部未确认
