rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.81542852179524,79.16106662034223,300633,开立医疗,bottom_area,2023-08-03,44.1,2023-08-02,43.5,1.3793103448275894,4.597701149425287,30.53337591823698,False,0.387,1.0916,1,1,1,100.0,17.12846347607052,17.12846347607052,8.620689655172411,1.3793103448275894,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,81.69671656795043,80.12774128697002,002045,国光电器,bottom_area,2023-08-03,13.84,2023-07-28,13.31,3.9819684447783574,6.386175807663408,27.937195452084456,False,-0.7885,1.6067,4,4,4,100.0,26.70230828529398,33.77563329312426,6.0180315552216435,3.9819684447783574,历史4/4次成功; 当前距低点3.98%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
3,81.15294458082407,75.18256446179888,300342,天银机电,bottom_area,2023-08-03,11.22,2023-07-28,11.11,0.9900990099010011,4.230423042304237,28.368794326241137,False,-1.0582,2.7689,3,3,3,100.0,19.9461838944793,26.68539325842696,9.009900990099,0.9900990099010011,历史3/3次成功; 当前距低点0.99%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
4,79.97893534536102,76.55496456728581,688095,福昕软件,bottom_area,2023-08-03,98.78,2023-08-02,96.18,2.7032647119983304,3.9301310043667983,28.75555555555555,False,-0.1011,2.1215,2,2,2,100.0,25.152731777645194,31.679509356817103,7.29673528800167,2.7032647119983304,历史2/2次成功; 当前距低点2.70%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
5,78.12548278345635,76.65685547182073,600995,南网储能,bottom_area,2023-08-03,11.17,2023-06-07,10.74,4.003724394785844,8.379888268156428,32.7909887359199,True,0.0,0.4375,1,1,1,100.0,26.64165103189493,26.64165103189493,5.996275605214157,4.003724394785844,历史1/1次成功; 当前距低点4.00%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,77.58514337191275,74.01094444610135,688143,长盈通,bottom_area,2023-08-03,30.46,2023-08-01,29.71,2.524402558061259,6.294177044766064,28.906436946637946,False,-1.2322,1.737,1,1,1,100.0,25.949367088607595,25.949367088607595,7.475597441938742,2.524402558061259,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
7,77.53378222508915,76.65271651798587,688300,联瑞新材,bottom_area,2023-08-03,44.37,2023-08-02,42.5,4.399999999999994,5.5764705882352885,27.350427350427353,False,0.8638,0.8252,2,2,2,100.0,24.003852247235756,26.809910956252438,5.600000000000007,4.399999999999994,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
8,77.39605191009758,72.9467715055272,600990,四创电子,bottom_area,2023-08-03,23.15,2023-07-24,22.72,1.8926056338028157,3.3890845070422517,29.199127454035533,False,-0.3444,0.3935,1,1,1,100.0,12.483399734395755,12.483399734395755,8.107394366197184,1.8926056338028157,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
9,77.33169484265848,74.47169719459852,605118,力鼎光电,bottom_area,2023-08-03,14.66,2023-07-28,14.23,3.02178496134926,4.216444132115247,30.210887690044142,False,0.0683,0.6357,1,1,1,100.0,12.050359712230225,12.050359712230225,6.978215038650741,3.02178496134926,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
10,75.18741111262598,73.99447191401227,300515,三德科技,bottom_area,2023-08-03,13.77,2023-07-28,13.22,4.160363086232972,4.311649016641441,27.162534435261698,False,1.6236,1.2687,1,1,1,100.0,23.441396508728182,23.441396508728182,5.839636913767028,4.160363086232972,历史1/1次成功; 当前距低点4.16%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
11,75.1814218702024,74.51705296425604,002755,奥赛康,bottom_area,2023-08-03,8.3,2023-07-17,7.94,4.53400503778338,6.171284634760696,28.853046594982075,False,1.7157,0.2658,1,1,1,100.0,30.831099195710454,30.831099195710454,5.46599496221662,4.53400503778338,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
12,73.89040706012136,73.23650965250967,002219,新里程,bottom_area,2023-08-03,3.92,2023-07-28,3.75,4.533333333333331,6.400000000000006,27.884615384615387,False,1.0309,0.5779,1,1,1,100.0,23.938223938223942,23.938223938223942,5.466666666666669,4.533333333333331,历史1/1次成功; 当前距低点4.53%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
13,73.5488606190563,68.05789690381731,688287,退市观典,bottom_area,2023-08-03,10.87,2023-08-01,10.77,0.9285051067780841,3.899721448467966,28.00802139037434,False,-0.0919,0.533,1,1,1,100.0,14.219830899308223,14.219830899308223,9.071494893221917,0.9285051067780841,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
14,73.2084559837306,68.25651289159526,603033,三维股份,bottom_area,2023-08-03,15.3,2023-08-01,15.1,1.3245033112582854,2.7814569536423837,29.995363931386187,False,-0.3906,0.1272,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,8.675496688741715,1.3245033112582854,历史2/3次成功; 当前距低点1.32%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
15,73.1259057249941,67.5652942143935,300565,科信技术,bottom_area,2023-08-03,16.61,2023-08-03,16.47,0.8500303582270832,2.610807528840314,27.636203866432346,False,-1.3658,4.8009,1,1,1,100.0,10.60948081264109,10.60948081264109,9.149969641772918,0.8500303582270832,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
16,71.18968069357787,65.86244520375529,002829,星网宇达,bottom_area,2023-08-03,30.76,2023-08-02,30.48,0.9186351706036784,2.1981627296587867,31.918695555059195,False,0.0325,1.2305,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,9.081364829396323,0.9186351706036784,历史2/3次成功; 当前距低点0.92%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
17,71.09055891047915,69.19442172164814,601360,三六零,bottom_area,2023-08-03,11.86,2023-07-24,11.45,3.5807860262008746,5.9388646288209745,29.1460396039604,False,-0.4198,0.9714,1,1,1,100.0,13.003300330033007,13.003300330033007,6.419213973799126,3.5807860262008746,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
