rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.31938142898788,82.53734775184975,603027,千禾味业,bottom_area,2024-09-11,10.66,2024-09-11,10.5,1.5238095238095253,2.380952380952381,27.184466019417474,False,0.188,1.1194,1,1,1,100.0,37.051792828685265,37.051792828685265,18.476190476190478,1.5238095238095253,历史1/1次成功; 当前距低点1.52%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
2,91.75616155774053,78.03561403508773,300761,立华股份,bottom_area,2024-09-11,18.2,2024-09-10,18.0,1.1111111111111072,3.4999999999999947,27.710843373493972,False,-0.8715,0.3641,1,1,1,100.0,30.263157894736853,30.263157894736853,18.888888888888893,1.1111111111111072,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,91.68364553607371,79.71183092867302,002674,兴业科技,bottom_area,2024-09-11,7.95,2024-08-21,7.77,2.3166023166023244,6.30630630630631,31.72231985940247,False,0.3788,0.327,1,1,1,100.0,31.578947368421055,31.578947368421055,17.68339768339768,2.3166023166023244,历史1/1次成功; 当前距低点2.32%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
4,87.40938933634195,74.59732815964524,601872,招商轮船,bottom_area,2024-09-11,6.23,2024-09-11,6.15,1.3008130081300824,4.390243902439018,27.47641509433962,False,-3.7094,0.7071,1,1,1,100.0,24.318181818181802,24.318181818181802,18.69918699186992,1.3008130081300824,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
5,87.25263265297005,75.30672966628357,600345,长江通信,bottom_area,2024-09-11,14.89,2024-09-10,14.61,1.9164955509924788,4.449007529089667,27.529761904761905,False,-1.9104,1.4909,1,1,1,100.0,25.46419098143237,25.46419098143237,18.083504449007524,1.9164955509924788,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
6,87.18,72.65,002388,新亚制程,bottom_area,2024-09-11,4.38,2024-09-11,4.38,0.0,0.0,29.354838709677423,False,-10.0616,1.3216,1,1,1,100.0,50.505050505050505,50.505050505050505,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
7,85.30657510540512,74.02809508248096,603079,圣达生物,bottom_area,2024-09-11,10.62,2024-08-26,10.39,2.213666987487956,6.929740134744936,28.83561643835616,False,-0.7477,1.059,1,1,1,100.0,22.232558139534888,22.232558139534888,17.786333012512046,2.213666987487956,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
8,85.12304133484459,76.19746282670677,000532,华金资本,bottom_area,2024-09-11,10.62,2024-09-04,10.22,3.913894324853215,7.632093933463789,27.926657263751757,True,-0.7477,2.5078,2,2,2,100.0,28.877106921355356,32.044198895027606,16.086105675146786,3.913894324853215,历史2/2次成功; 当前距低点3.91%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
9,83.96358095612706,71.32350507780068,601919,中远海控,bottom_area,2024-09-11,11.59,2024-09-10,11.47,1.0462074978203941,2.7027027027026915,29.328404189772023,False,-0.1723,0.3343,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,18.953792502179606,1.0462074978203941,历史2/3次成功; 当前距低点1.05%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
10,76.72590128428801,66.05286550731952,600183,生益科技,bottom_area,2024-09-11,17.18,2024-08-29,16.88,1.7772511848341277,7.760663507109018,29.519832985386223,True,-1.3211,0.4355,2,4,2,50.0,23.14515165989969,25.158227848101262,18.222748815165872,1.7772511848341277,历史2/4次成功; 当前距低点1.78%; 最新日涨幅-1.32%; 状态bottom_area; 底部已确认
11,72.69095451683906,62.2713011552226,000591,太阳能,bottom_area,2024-09-11,4.04,2024-08-23,3.98,1.5075376884422125,7.035175879396981,28.158844765342963,True,-0.7371,0.3228,1,2,1,50.0,32.84132841328414,32.84132841328414,18.492462311557787,1.5075376884422125,历史1/2次成功; 当前距低点1.51%; 最新日涨幅-0.74%; 状态bottom_area; 底部已确认
