rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.34184692158611,82.79545263389811,001203,大中矿业,bottom_area,2024-08-07,8.27,2024-08-05,8.14,1.5970515970515846,3.1941031941031914,30.00859845227859,False,0.0,0.2602,2,2,2,100.0,22.670592877288865,29.46341463414634,8.402948402948414,1.5970515970515846,历史2/2次成功; 当前距低点1.60%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,86.00437899977649,82.29529526932792,000550,江铃汽车,bottom_area,2024-08-07,24.85,2024-08-07,24.2,2.685950413223149,4.338842975206615,29.81438515081206,False,0.5259,7.3714,2,2,2,100.0,33.3293667283694,54.077669902912604,7.314049586776851,2.685950413223149,历史2/2次成功; 当前距低点2.69%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,83.72572810380267,78.42970184518454,600386,北巴传媒,bottom_area,2024-08-07,3.88,2024-08-07,3.82,1.5706806282722525,6.020942408376963,32.6278659611993,False,-8.4906,12.8523,3,3,3,100.0,14.897062783039114,16.708229426433917,8.429319371727747,1.5706806282722525,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-8.49%; 状态bottom_area; 底部未确认
4,81.19235265663973,77.85832061068703,002687,乔治白,bottom_area,2024-08-07,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.9804,0.6233,1,1,1,100.0,64.00000000000001,64.00000000000001,7.20101781170484,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
5,80.01335701963517,76.30701623125971,002563,森马服饰,bottom_area,2024-08-07,4.9,2024-07-30,4.78,2.510460251046027,7.531380753138063,29.080118694362017,True,-1.0101,0.4846,1,1,1,100.0,28.929384965831446,28.929384965831446,7.489539748953973,2.510460251046027,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-1.01%; 状态bottom_area; 底部已确认
6,79.87191776391774,78.13557172557171,001218,丽臣实业,bottom_area,2024-08-07,14.31,2024-07-25,13.78,3.8461538461538547,6.603773584905662,30.404040404040412,False,0.4916,0.966,2,2,2,100.0,25.18711018711019,29.999999999999993,6.153846153846146,3.8461538461538547,历史2/2次成功; 当前距低点3.85%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
7,78.65165133114661,75.30344841801504,600997,开滦股份,bottom_area,2024-08-07,6.05,2024-07-30,5.89,2.716468590831921,5.942275042444831,30.70588235294118,False,0.3317,0.4437,1,1,1,100.0,12.77955271565495,12.77955271565495,7.28353140916808,2.716468590831921,历史1/1次成功; 当前距低点2.72%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
8,78.63757657633795,77.99639910193082,000065,北方国际,bottom_area,2024-08-07,9.61,2024-07-25,9.19,4.57018498367791,8.7051142546246,30.641509433962266,True,-0.104,0.5567,3,3,3,100.0,29.926993896325044,41.48061104582843,5.429815016322091,4.57018498367791,历史3/3次成功; 当前距低点4.57%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
9,78.35957472286248,78.17415216081119,300349,金卡智能,bottom_area,2024-08-07,10.54,2024-07-25,10.05,4.875621890547248,9.55223880597014,32.59557344064386,True,0.5725,0.9046,1,1,1,100.0,45.48693586698337,45.48693586698337,5.124378109452753,4.875621890547248,历史1/1次成功; 当前距低点4.88%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
10,77.56862289779279,77.47414223652872,603368,柳药集团,bottom_area,2024-08-07,17.22,2024-07-31,16.41,4.936014625228512,8.470444850700796,31.908713692946062,True,-1.3181,1.9167,3,3,3,100.0,31.603524634675978,42.85714285714285,5.063985374771489,4.936014625228512,历史3/3次成功; 当前距低点4.94%; 最新日涨幅-1.32%; 状态bottom_area; 底部已确认
11,76.79851072703534,76.70017716656537,601886,江河集团,bottom_area,2024-08-07,4.68,2024-07-25,4.46,4.932735426008963,8.744394618834074,29.54186413902054,True,-0.8475,0.5507,3,3,3,100.0,27.40222547239673,33.5540838852097,5.067264573991038,4.932735426008963,历史3/3次成功; 当前距低点4.93%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
