rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.49293844228865,81.770371530374,002132,恒星科技,bottom_area,2023-05-23,3.74,2023-05-23,3.7,1.081081081081082,2.7027027027026933,28.155339805825246,False,0.2681,0.9219,2,2,2,100.0,10.834604275477771,11.088295687885012,6.9189189189189175,1.081081081081082,历史2/2次成功; 当前距低点1.08%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,84.76860696692077,80.8014849187935,688077,大地熊,bottom_area,2023-05-23,26.25,2023-05-22,25.86,1.5081206496519743,3.3642691415313264,32.83116883116883,False,-0.9434,0.7956,1,1,1,100.0,53.68518518518518,53.68518518518518,6.491879350348026,1.5081206496519743,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
3,82.34731502394152,79.04065989441376,002245,蔚蓝锂芯,confirmed_rebound,2023-05-23,10.9,2023-04-26,10.7,1.8691588785046829,8.317757009345799,29.512516469038214,False,-1.2681,1.0611,3,3,3,100.0,21.840549125830286,25.653923541247494,6.130841121495317,1.8691588785046829,历史3/3次成功; 当前距低点1.87%; 最新日涨幅-1.27%; 状态confirmed_rebound; 底部未确认
4,81.74833097771686,75.79457637386156,001332,锡装股份,bottom_area,2023-05-23,43.07,2023-05-23,43.04,0.06970260223048591,2.5325278810409,31.26796550622804,False,-1.5093,2.034,2,2,2,100.0,28.620958639500337,31.086142322097377,7.930297397769515,0.06970260223048591,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
5,81.24012176148373,77.5987392280947,002405,四维图新,bottom_area,2023-05-23,11.32,2023-05-16,11.14,1.6157989228007157,4.039497307001789,27.75616083009079,False,-0.5272,0.7103,2,2,2,100.0,17.434197699356595,23.478260869565215,6.384201077199285,1.6157989228007157,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
6,80.83097345090245,76.99893350440419,002567,唐人神,bottom_area,2023-05-23,6.88,2023-05-19,6.78,1.4749262536873105,4.572271386430673,27.175080558539204,False,-1.9943,2.1095,2,2,2,100.0,12.482609477479864,13.8187221396731,6.52507374631269,1.4749262536873105,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
7,79.90450746902049,76.98457473162675,002079,苏州固锝,bottom_area,2023-05-23,12.36,2023-05-10,12.11,2.064409578860446,5.6977704376548415,28.512396694214885,False,-1.8268,1.3959,2,2,2,100.0,19.631336405529957,22.488479262672804,5.935590421139554,2.064409578860446,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
8,79.66984489943638,79.2982662291401,601369,陕鼓动力,bottom_area,2023-05-23,9.39,2023-05-10,9.05,3.7569060773480643,7.182320441988933,32.31114435302916,True,-0.8448,0.7253,3,3,3,100.0,26.957054223084292,55.572755417956664,4.243093922651936,3.7569060773480643,历史3/3次成功; 当前距低点3.76%; 最新日涨幅-0.84%; 状态bottom_area; 底部已确认
9,79.4280684629342,75.30023017902815,000629,钒钛股份,confirmed_rebound,2023-05-23,4.13,2023-04-25,4.08,1.225490196078427,9.803921568627459,31.08108108108108,False,-1.432,0.3572,1,1,1,100.0,27.173913043478265,27.173913043478265,6.774509803921573,1.225490196078427,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-1.43%; 状态confirmed_rebound; 底部未确认
10,77.12548965440831,71.41249042074843,601068,中铝国际,bottom_area,2023-05-23,5.41,2023-05-23,5.41,0.0,2.957486136783736,27.770360480640853,False,-2.3466,0.5855,2,2,2,100.0,16.46500226208832,18.6700767263427,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
11,76.72912137942825,75.28318136162665,002068,黑猫股份,bottom_area,2023-05-23,9.58,2023-05-10,9.3,3.010752688172036,7.95698924731181,28.953399541634827,True,-0.8282,1.1442,2,2,2,100.0,12.89084672397248,15.184678522571824,4.989247311827964,3.010752688172036,历史2/2次成功; 当前距低点3.01%; 最新日涨幅-0.83%; 状态bottom_area; 底部已确认
12,76.5872984336498,70.91416521634241,600248,陕建股份,bottom_area,2023-05-23,5.22,2023-05-23,5.22,0.0,2.2988505747126458,32.470892626131956,False,-2.0638,3.5896,2,2,2,100.0,13.785834496464656,16.28498727735369,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
13,76.16327276786134,70.99411593911474,000928,中钢国际,bottom_area,2023-05-23,8.68,2023-05-23,8.65,0.3468208092485475,6.589595375722547,28.981937602627255,False,-5.4466,4.086,2,2,2,100.0,16.424018194631294,18.798449612403097,7.653179190751453,0.3468208092485475,历史2/2次成功; 当前距低点0.35%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
14,74.9996700622957,73.0012549366424,002041,登海种业,bottom_area,2023-05-23,15.81,2023-05-19,15.41,2.595717066839717,5.12654120700843,27.311320754716977,False,-2.2263,0.5474,1,1,1,100.0,21.395106715252467,21.395106715252467,5.404282933160283,2.595717066839717,历史1/1次成功; 当前距低点2.60%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
15,74.54370796875762,69.34454228623417,000572,海马汽车,bottom_area,2023-05-23,4.14,2023-05-23,4.13,0.24213075060532172,2.1791767554479384,29.8811544991511,False,-1.1933,0.7849,1,1,1,100.0,12.723658051689855,12.723658051689855,7.7578692493946795,0.24213075060532172,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
16,74.20185488597573,74.76496190958395,601858,中国科传,bottom_area,2023-05-23,37.07,2023-05-22,35.51,4.393128696141938,7.265558997465519,28.11740890688259,True,0.2976,2.3277,1,1,1,100.0,21.243523316062173,21.243523316062173,3.6068713038580626,4.393128696141938,历史1/1次成功; 当前距低点4.39%; 最新日涨幅0.30%; 状态bottom_area; 底部已确认
17,73.28516927313899,71.51037998324617,688289,圣湘生物,confirmed_rebound,2023-05-23,18.47,2023-04-26,17.98,2.725250278086754,12.45828698553948,27.058823529411757,False,-0.3238,0.9441,1,1,1,100.0,25.182530200451346,25.182530200451346,5.274749721913246,2.725250278086754,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-0.32%; 状态confirmed_rebound; 底部未确认
18,72.88125024693454,67.64651607237771,600415,小商品城,bottom_area,2023-05-23,7.95,2023-05-23,7.94,0.12594458438286885,5.2896725440805925,27.022058823529417,False,-3.5194,2.9113,1,1,1,100.0,12.38532110091743,12.38532110091743,7.874055415617132,0.12594458438286885,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
19,72.8124995515273,73.80967463711461,688181,八亿时空,bottom_area,2023-05-23,34.7,2023-05-15,33.14,4.707302353651183,7.211828605914304,29.157759726378796,True,-1.1678,0.5228,2,2,2,100.0,25.76518281418983,28.477257745550418,3.2926976463488167,4.707302353651183,历史2/2次成功; 当前距低点4.71%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
20,72.43560000000001,67.07000000000001,300528,幸福蓝海,bottom_area,2023-05-23,8.51,2023-05-23,8.51,0.0,3.2902467685076306,29.901153212520597,False,-3.4052,2.5844,1,1,1,100.0,20.0,20.0,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
21,72.13063366336634,66.78762376237624,002383,合众思壮,bottom_area,2023-05-23,6.2,2023-05-23,6.2,0.0,4.5161290322580685,32.017543859649116,False,-3.876,2.4614,1,1,1,100.0,18.48184818481848,18.48184818481848,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
22,71.70132575927958,70.61556049388231,600160,巨化股份,bottom_area,2023-05-23,13.84,2023-05-19,13.41,3.206562266964949,4.772557792692026,29.606299212598426,False,-0.2882,0.6542,1,1,1,100.0,16.05657237936772,16.05657237936772,4.793437733035051,3.206562266964949,历史1/1次成功; 当前距低点3.21%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
23,71.48376593308629,71.63292601412326,300762,上海瀚讯,bottom_area,2023-05-23,11.91,2023-05-10,11.44,4.1083916083916145,6.118881118881128,27.50316856780735,False,-1.7327,0.718,1,1,1,100.0,32.580961727183514,32.580961727183514,3.891608391608386,4.1083916083916145,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
24,71.10700869301661,71.71192561658508,600203,福日电子,confirmed_rebound,2023-05-23,5.88,2023-05-15,5.63,4.440497335701599,8.348134991119,28.824273072060684,True,-2.0,1.098,2,2,2,100.0,21.43150291389641,24.045801526717554,3.5595026642984013,4.440497335701599,历史2/2次成功; 当前距低点4.44%; 最新日涨幅-2.00%; 状态confirmed_rebound; 底部已确认
