rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.18290827357306,85.15035594877436,002339,积成电子,bottom_area,2023-08-29,6.83,2023-08-25,6.53,4.5941807044410385,5.359877488514543,27.201783723522855,False,3.1722,1.9463,4,4,4,100.0,38.73703201559097,82.94930875576038,3.4058192955589615,4.5941807044410385,历史4/4次成功; 当前距低点4.59%; 最新日涨幅3.17%; 状态bottom_area; 底部未确认
2,83.35891383594489,82.31559521852442,002386,天原股份,bottom_area,2023-08-29,5.87,2023-08-25,5.68,3.3450704225352186,5.281690140845083,31.48371531966224,False,1.0327,0.6818,3,3,3,100.0,24.851375171530723,48.85290148448042,4.654929577464782,3.3450704225352186,历史3/3次成功; 当前距低点3.35%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,82.3493831873136,80.12093007832505,603155,新亚强,bottom_area,2023-08-29,22.32,2023-08-29,21.76,2.5735294117647,3.3547794117646914,28.39749917736097,False,1.6393,1.2865,2,2,2,100.0,20.261167404024544,25.624375624375624,5.426470588235301,2.5735294117647,历史2/2次成功; 当前距低点2.57%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
4,81.48100340506919,79.37787263180216,300423,昇辉科技,bottom_area,2023-08-29,9.33,2023-08-25,9.09,2.640264026402643,5.720572057205716,29.37062937062937,False,1.9672,1.5532,2,2,2,100.0,17.084272107527923,23.28482328482329,5.359735973597357,2.640264026402643,历史2/2次成功; 当前距低点2.64%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
5,80.9779956874188,81.3045274305907,605111,新洁能,bottom_area,2023-08-29,34.66,2023-08-25,33.26,4.2092603728202,7.27600721587493,27.616974972796527,True,3.2469,2.763,3,3,3,100.0,20.815274626993325,36.800373134328346,3.7907396271798004,4.2092603728202,历史3/3次成功; 当前距低点4.21%; 最新日涨幅3.25%; 状态bottom_area; 底部已确认
6,80.65329358755446,80.38253137660168,601778,晶科科技,bottom_area,2023-08-29,3.8,2023-08-29,3.66,3.825136612021849,4.098360655737703,28.79377431906614,False,2.7027,2.0147,3,3,3,100.0,20.34324113984674,42.344827586206904,4.174863387978151,3.825136612021849,历史3/3次成功; 当前距低点3.83%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
7,80.45680507095408,80.30795626035257,300505,川金诺,bottom_area,2023-08-29,15.97,2023-08-25,15.37,3.9037085230969515,7.937540663630453,28.378378378378383,True,2.3062,1.8215,2,2,2,100.0,28.378557489320507,39.35656836461126,4.0962914769030485,3.9037085230969515,历史2/2次成功; 当前距低点3.90%; 最新日涨幅2.31%; 状态bottom_area; 底部已确认
8,80.08284591813491,81.0204409581538,002265,建设工业,bottom_area,2023-08-29,12.72,2023-08-25,12.16,4.605263157894741,6.907894736842104,28.344136711844424,False,3.2468,1.2152,4,4,4,100.0,16.669037409429027,32.75229357798165,3.3947368421052593,4.605263157894741,历史4/4次成功; 当前距低点4.61%; 最新日涨幅3.25%; 状态bottom_area; 底部未确认
9,78.89370464657972,79.54509757157531,603212,赛伍技术,bottom_area,2023-08-29,16.51,2023-08-25,15.81,4.427577482605952,7.5268817204301035,30.198675496688736,True,3.123,1.5682,2,2,2,100.0,30.698786193101522,32.01038575667657,3.5724225173940485,4.427577482605952,历史2/2次成功; 当前距低点4.43%; 最新日涨幅3.12%; 状态bottom_area; 底部已确认
10,75.62047430895053,71.0971293843405,000028,国药一致,bottom_area,2023-08-29,31.75,2023-08-29,31.5,0.7936507936507936,1.96825396825396,28.652321630804074,False,-0.3765,1.2153,2,2,2,100.0,12.240070934754426,14.150943396226415,7.2063492063492065,0.7936507936507936,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
11,74.72846226017114,75.02334197531418,688339,亿华通,bottom_area,2023-08-29,53.53,2023-08-29,51.37,4.204788787229908,4.730387385633638,27.392226148409897,False,3.4396,1.5462,2,2,2,100.0,12.850862420421358,14.0971239981141,3.7952112127700923,4.204788787229908,历史2/2次成功; 当前距低点4.20%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
12,72.73540802978762,73.8813224183166,002755,奥赛康,bottom_area,2023-08-29,7.84,2023-08-24,7.48,4.812834224598923,5.347593582887693,32.97491039426523,False,2.3499,0.2305,1,1,1,100.0,30.831099195710454,30.831099195710454,3.187165775401077,4.812834224598923,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
13,72.59625860303134,73.74582588894728,002519,银河电子,bottom_area,2023-08-29,5.44,2023-08-25,5.19,4.816955684007707,7.707129094412321,30.053908355795144,True,2.2556,1.7638,1,1,1,100.0,20.959595959595962,20.959595959595962,3.1830443159922934,4.816955684007707,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.26%; 状态bottom_area; 底部已确认
14,71.39255476334904,71.54981894952338,603301,振德医疗,bottom_area,2023-08-29,26.57,2023-08-29,25.52,4.1144200626959275,4.1536050156739766,31.157270029673594,False,3.4255,0.7983,1,1,1,100.0,9.734928454140272,9.734928454140272,3.8855799373040725,4.1144200626959275,历史1/1次成功; 当前距低点4.11%; 最新日涨幅3.43%; 状态bottom_area; 底部未确认
15,71.23871717747268,71.38494516202603,300452,山河药辅,bottom_area,2023-08-29,14.45,2023-08-25,13.88,4.106628242074917,5.331412103746387,28.710837185413446,False,2.6278,2.0763,1,1,1,100.0,8.752997601918471,8.752997601918471,3.893371757925083,4.106628242074917,历史1/1次成功; 当前距低点4.11%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
16,71.2188342771435,72.19561538461541,002819,东方中科,bottom_area,2023-08-29,25.13,2023-08-29,24.0,4.708333333333329,5.500000000000002,31.428571428571427,False,4.4472,1.0622,1,1,1,100.0,20.487179487179493,20.487179487179493,3.291666666666672,4.708333333333329,历史1/1次成功; 当前距低点4.71%; 最新日涨幅4.45%; 状态bottom_area; 底部未确认
17,71.18648485644673,71.96906105431893,603070,万控智造,bottom_area,2023-08-29,16.48,2023-08-28,15.76,4.56852791878173,6.47208121827412,29.955555555555556,False,4.3038,3.5194,1,1,1,100.0,17.555401662049874,17.555401662049874,3.4314720812182697,4.56852791878173,历史1/1次成功; 当前距低点4.57%; 最新日涨幅4.30%; 状态bottom_area; 底部未确认
18,70.59615554165244,71.74283706964552,300438,鹏辉能源,bottom_area,2023-08-29,38.14,2023-08-29,36.38,4.837822979659148,5.497526113249037,32.94009216589861,False,3.6977,2.7045,1,1,1,100.0,19.640179910044974,19.640179910044974,3.162177020340853,4.837822979659148,历史1/1次成功; 当前距低点4.84%; 最新日涨幅3.70%; 状态bottom_area; 底部未确认
19,70.49677491089852,71.49666906793752,002213,大为股份,bottom_area,2023-08-29,13.5,2023-08-29,12.89,4.732350659425907,5.042668735453829,29.79302832244008,False,4.0062,2.0165,1,1,1,100.0,17.02380952380952,17.02380952380952,3.267649340574093,4.732350659425907,历史1/1次成功; 当前距低点4.73%; 最新日涨幅4.01%; 状态bottom_area; 底部未确认
20,69.59568169631119,69.96778761061945,603076,乐惠国际,confirmed_rebound,2023-08-29,35.35,2023-08-28,33.9,4.277286135693224,8.584070796460189,27.22198368398454,False,4.1851,1.5694,1,1,1,100.0,13.440860215053762,13.440860215053762,3.7227138643067765,4.277286135693224,历史1/1次成功; 当前距低点4.28%; 最新日涨幅4.19%; 状态confirmed_rebound; 底部未确认
21,68.91166525039587,70.12703853523529,002121,科陆电子,bottom_area,2023-08-29,5.77,2023-08-25,5.5,4.909090909090901,6.909090909090907,29.03225806451613,False,3.0357,1.601,1,1,1,100.0,11.826697892271683,11.826697892271683,3.090909090909099,4.909090909090901,历史1/1次成功; 当前距低点4.91%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
22,49.0518123331785,49.1297422691917,300458,全志科技,confirmed_rebound,2023-08-29,23.2,2023-08-28,22.29,4.0825482279048915,8.838043965904003,29.350237717908083,False,3.8961,2.3938,1,3,1,33.33333333333333,10.132359653126422,10.132359653126422,3.917451772095109,4.0825482279048915,历史1/3次成功; 当前距低点4.08%; 最新日涨幅3.90%; 状态confirmed_rebound; 底部未确认
