rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9622829402196,83.41875,300580,贝斯特,bottom_area,2024-04-12,24.59,2024-04-09,24.32,1.1101973684210509,7.565789473684211,28.153618906942395,True,-0.0813,1.3631,1,1,1,100.0,53.89266817838245,53.89266817838245,13.889802631578949,1.1101973684210509,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.08%; 状态bottom_area; 底部已确认
2,90.52083773410017,81.14094454472945,002657,中科金财,bottom_area,2024-04-12,13.75,2024-04-10,13.53,1.6260162601626063,5.469327420546934,29.08805031446541,False,-2.0655,2.3855,2,2,2,100.0,36.60355708548481,56.540447504302946,13.373983739837392,1.6260162601626063,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
3,87.36571145433523,76.77862177470107,603327,福蓉科技,bottom_area,2024-04-12,15.98,2024-04-12,15.89,0.5663939584644421,3.6500943989930668,27.110091743119263,False,-0.8685,3.2853,4,5,4,80.0,58.84779650663165,129.39632545931758,14.433606041535556,0.5663939584644421,历史4/5次成功; 当前距低点0.57%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
4,85.59567149319984,78.2026168224299,002611,东方精工,bottom_area,2024-04-12,6.59,2024-04-11,6.42,2.6479750778816187,5.451713395638624,30.818965517241377,False,-0.9023,4.8957,1,1,1,100.0,145.12534818941506,145.12534818941506,12.35202492211838,2.6479750778816187,历史1/1次成功; 当前距低点2.65%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
5,82.12254909557628,73.75954475149005,002676,顺威股份,bottom_area,2024-04-12,4.11,2024-04-10,4.04,1.7326732673267398,4.7029702970297125,27.72808586762075,False,0.7353,3.2744,2,3,2,66.66666666666666,31.308457711442777,39.33333333333333,13.26732673267326,1.7326732673267398,历史2/3次成功; 当前距低点1.73%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
6,81.70606544949133,75.89621201988012,300548,长芯博创,bottom_area,2024-04-12,23.71,2024-04-10,22.9,3.5371179039301412,6.462882096069872,31.641791044776124,False,2.9974,8.6091,1,1,1,100.0,26.026026026026024,26.026026026026024,11.462882096069858,3.5371179039301412,历史1/1次成功; 当前距低点3.54%; 最新日涨幅3.00%; 状态bottom_area; 底部未确认
7,81.3356421329132,72.23352688301566,688220,翱捷科技,bottom_area,2024-04-12,37.64,2024-04-12,37.22,1.1284255776464314,3.0628694250403026,31.328413284132843,False,0.213,0.9607,2,4,2,50.0,35.14159784972857,45.103092783505154,13.87157442235357,1.1284255776464314,历史2/4次成功; 当前距低点1.13%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
8,80.49619486895035,70.68099532707402,688167,炬光科技,bottom_area,2024-04-12,73.38,2024-04-12,73.0,0.5205479452054732,3.1917808219178054,27.715615407466082,False,-0.4477,2.1893,3,4,3,75.0,27.488412054529558,39.13715105373497,14.479452054794525,0.5205479452054732,历史3/4次成功; 当前距低点0.52%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
9,77.64525062727458,68.20122777572725,688114,华大智造,bottom_area,2024-04-12,54.09,2024-04-12,53.8,0.5390334572490824,5.111524163568774,27.71731828563752,False,-3.9254,0.9074,1,1,1,100.0,20.431312141156706,20.431312141156706,14.460966542750917,0.5390334572490824,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
10,76.5744845520895,70.63182852014312,000803,山高环能,bottom_area,2024-04-12,4.57,2024-04-12,4.43,3.160270880361187,5.191873589164795,28.20097244732577,False,-1.7204,6.4181,1,1,1,100.0,15.576592082616184,15.576592082616184,11.839729119638811,3.160270880361187,历史1/1次成功; 当前距低点3.16%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
11,76.41556213449749,72.03298647625608,300426,华智数媒,bottom_area,2024-04-12,8.44,2024-04-11,8.09,4.326328800988871,6.922126081582207,28.407079646017703,False,-0.5889,1.6555,2,2,2,100.0,20.736645927476964,25.936811168258643,10.673671199011128,4.326328800988871,历史2/2次成功; 当前距低点4.33%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
