rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.89265948323705,78.75219141163086,000936,华西股份,bottom_area,2021-11-03,5.72,2021-11-03,5.66,1.060070671378085,1.5901060070671353,29.072681704260656,False,0.1751,0.4683,1,1,1,100.0,11.016949152542363,11.016949152542363,8.939929328621915,1.060070671378085,历史1/1次成功; 当前距低点1.06%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
2,84.71327824897975,79.41186664243067,603069,海汽集团,bottom_area,2021-11-03,14.53,2021-10-29,14.3,1.608391608391599,5.244755244755245,29.03225806451612,False,0.4147,0.4617,1,1,1,100.0,21.284943599803825,21.284943599803825,8.391608391608402,1.608391608391599,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
3,79.58670328451763,76.77327279093672,300417,南华仪器,bottom_area,2021-11-03,11.27,2021-10-28,10.93,3.1107044830741066,5.946935041171092,27.80713342140027,False,1.2579,1.8009,1,1,1,100.0,25.514403292181065,25.514403292181065,6.889295516925895,3.1107044830741066,历史1/1次成功; 当前距低点3.11%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
4,79.08717061857162,75.73999938586931,002233,塔牌集团,bottom_area,2021-11-03,10.16,2021-11-02,9.89,2.7300303336703697,4.651162790697665,31.080139372822295,False,1.6,1.0969,1,1,1,100.0,15.292841648590022,15.292841648590022,7.269969666329631,2.7300303336703697,历史1/1次成功; 当前距低点2.73%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
5,77.78878263274511,76.77359460491157,600331,宏达股份,bottom_area,2021-11-03,3.63,2021-11-02,3.48,4.310344827586205,8.62068965517241,27.950310559006216,False,2.2535,3.0464,1,1,1,100.0,40.221402214022135,40.221402214022135,5.689655172413796,4.310344827586205,历史1/1次成功; 当前距低点4.31%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
6,76.82083215134848,75.00197190048759,300644,南京聚隆,bottom_area,2021-11-03,18.02,2021-10-22,17.37,3.742084052964874,8.232584916522738,27.169811320754718,True,0.1668,0.8895,1,1,1,100.0,14.537223340040246,14.537223340040246,6.257915947035126,3.742084052964874,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
7,74.96626207458236,73.60027361687307,000868,安凯客车,bottom_area,2021-11-03,3.61,2021-10-29,3.47,4.0345821325648314,5.475504322766569,28.008298755186722,False,0.838,0.442,1,1,1,100.0,19.780219780219785,19.780219780219785,5.9654178674351686,4.0345821325648314,历史1/1次成功; 当前距低点4.03%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
8,68.65153168990628,67.82398646258969,002111,威海广泰,bottom_area,2021-11-03,11.72,2021-11-01,11.23,4.363312555654499,6.945681211041846,29.98753117206982,False,-0.2553,0.816,1,1,1,100.0,15.227629513343796,15.227629513343796,5.636687444345501,4.363312555654499,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,54.70710182927469,54.61785696495287,000695,滨海能源,bottom_area,2021-11-03,9.18,2021-11-03,8.75,4.914285714285711,7.771428571428568,30.05595523581135,False,0.6579,3.5452,1,2,1,50.0,20.174346201743475,20.174346201743475,5.085714285714289,4.914285714285711,历史1/2次成功; 当前距低点4.91%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
