rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.85461828193593,77.82501505657935,300752,隆利科技,bottom_area,2024-06-05,13.23,2024-06-04,13.1,0.9923664122137463,6.793893129770997,27.019498607242337,False,-0.9731,4.0844,4,4,4,100.0,17.51403481949826,21.807655194596325,14.007633587786254,0.9923664122137463,历史4/4次成功; 当前距低点0.99%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
2,84.90393993627929,76.12500760736539,002629,仁智股份,bottom_area,2024-06-05,1.86,2024-06-05,1.83,1.6393442622950833,9.836065573770476,29.615384615384617,False,-8.3744,6.5854,2,2,2,100.0,20.014583469882684,20.890410958904106,13.360655737704915,1.6393442622950833,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-8.37%; 状态bottom_area; 底部未确认
3,83.25232911759406,73.95564493758668,002285,世联行,bottom_area,2024-06-05,1.77,2024-06-05,1.75,1.142857142857144,4.0000000000000036,31.906614785992215,False,-3.8043,2.1301,1,1,1,100.0,18.932038834951463,18.932038834951463,13.857142857142858,1.142857142857144,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
4,82.69504755952434,72.56411549309682,300746,汉嘉数智,bottom_area,2024-06-05,6.21,2024-06-05,6.18,0.48543689320388755,5.987055016181231,27.294117647058826,False,-5.1908,1.7857,2,2,2,100.0,26.564040911837,36.90896259703598,14.51456310679611,0.48543689320388755,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-5.19%; 状态bottom_area; 底部未确认
5,81.87200300066604,73.01308234304345,000668,荣丰控股,bottom_area,2024-06-05,6.0,2024-06-05,5.92,1.3513513513513526,6.4189189189189175,28.502415458937193,False,-4.4586,2.4855,1,1,1,100.0,16.420233463035032,16.420233463035032,13.648648648648647,1.3513513513513526,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
6,79.8883159410668,69.96482411556208,600201,生物股份,bottom_area,2024-06-05,7.9,2024-06-05,7.87,0.381194409148669,3.049555273189318,28.12785388127853,False,-1.9851,2.2632,1,1,1,100.0,17.76315789473684,17.76315789473684,14.61880559085133,0.381194409148669,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
7,79.3421265560166,68.99315352697096,688205,德科立,bottom_area,2024-06-05,30.37,2024-06-05,30.37,0.0,3.0622324662495872,29.174440298507463,False,-2.7538,1.8385,1,1,1,100.0,20.12448132780082,20.12448132780082,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
8,78.75466463414634,68.48231707317073,000886,海南高速,bottom_area,2024-06-05,4.51,2024-06-05,4.51,0.0,1.7738359201773852,27.608346709470315,False,-1.9565,1.0964,1,1,1,100.0,17.378048780487816,17.378048780487816,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
9,78.57372421524661,68.32497757847533,300683,海特生物,bottom_area,2024-06-05,22.39,2024-06-05,22.39,0.0,2.903081732916474,28.283151825752718,False,-2.7368,0.8507,1,1,1,100.0,16.532137518684582,16.532137518684582,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
10,78.24374943555101,69.05324251844938,300621,维业股份,bottom_area,2024-06-05,7.63,2024-06-05,7.57,0.7926023778071282,5.151915455746363,29.11985018726591,False,-4.0252,1.9886,1,1,1,100.0,28.120300751879686,28.120300751879686,14.207397622192872,0.7926023778071282,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
11,78.02572156119813,69.2636771559508,601011,宝泰隆,bottom_area,2024-06-05,1.83,2024-06-05,1.81,1.1049723756906087,5.524861878453031,27.888446215139435,False,-3.6842,2.92,2,3,2,66.66666666666666,32.130900569132905,34.951456310679596,13.895027624309392,1.1049723756906087,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
12,77.66165398102197,67.59062015503875,300644,南京聚隆,bottom_area,2024-06-05,21.51,2024-06-05,21.5,0.046511627906984016,5.069767441860464,30.37564766839378,False,-4.7809,11.0913,2,3,2,66.66666666666666,61.70130689005596,78.38246409674981,14.953488372093016,0.046511627906984016,历史2/3次成功; 当前距低点0.05%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
13,77.33921599391728,67.3289542430706,688236,春立医疗,bottom_area,2024-06-05,16.25,2024-06-05,16.24,0.06157635467981258,3.633004926108374,32.33333333333334,False,-1.7533,4.1171,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,14.938423645320187,0.06157635467981258,历史2/3次成功; 当前距低点0.06%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
14,76.36120503102296,66.40104785306345,002178,延华智能,bottom_area,2024-06-05,3.29,2024-06-05,3.29,0.0,3.0395136778115526,27.050997782705092,False,-3.5191,2.5688,3,4,3,75.0,20.57014974765292,29.076086956521735,15.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
15,76.27948932593534,67.1903797380788,000510,新金路,bottom_area,2024-06-05,2.92,2024-06-05,2.9,0.6896551724137937,4.482758620689651,27.86069651741293,False,-3.9474,2.5578,3,4,3,75.0,21.0096426407648,23.043478260869577,14.310344827586205,0.6896551724137937,历史3/4次成功; 当前距低点0.69%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
16,74.55253645345047,66.76346548070191,002247,聚力文化,bottom_area,2024-06-05,1.29,2024-06-05,1.27,1.5748031496063006,4.724409448818902,27.84090909090909,False,-3.7313,2.1816,2,3,2,66.66666666666666,24.448118253427992,32.967032967032964,13.4251968503937,1.5748031496063006,历史2/3次成功; 当前距低点1.57%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
17,74.38090904998955,69.52698547215496,002453,华软科技,bottom_area,2024-06-05,4.29,2024-06-05,4.13,3.8740920096852336,7.748184019370467,30.471380471380478,False,-3.1603,4.248,1,1,1,100.0,28.60169491525425,28.60169491525425,11.125907990314765,3.8740920096852336,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
18,73.39171765594742,64.014225674045,301382,蜂助手,bottom_area,2024-06-05,18.38,2024-06-05,18.35,0.16348773841960534,4.250681198910068,29.639570552147234,False,-3.0079,2.5077,2,3,2,66.66666666666666,32.20597339233888,47.676579925650564,14.836512261580395,0.16348773841960534,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
19,73.20837564976514,66.4794284583315,002837,英维克,bottom_area,2024-06-05,23.8,2024-05-31,23.26,2.321582115219257,5.546001719690452,30.108173076923073,False,-2.6983,1.1576,2,3,2,66.66666666666666,21.860048464326542,24.517374517374524,12.678417884780742,2.321582115219257,历史2/3次成功; 当前距低点2.32%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
20,72.34664048865619,62.910122164048865,002551,尚荣医疗,bottom_area,2024-06-05,2.52,2024-06-05,2.52,0.0,3.9682539682539715,27.999999999999996,False,-2.3256,1.8728,2,4,2,50.0,45.75334496800466,52.61780104712043,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
21,71.98472372360543,63.4947112029129,688357,建龙微纳,bottom_area,2024-06-05,26.4,2024-06-04,26.2,0.7633587786259515,5.038167938931299,29.871520342612424,False,-0.8637,0.4019,3,5,3,60.0,24.32886676440894,31.65083135391925,14.236641221374047,0.7633587786259515,历史3/5次成功; 当前距低点0.76%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
22,70.3944699891137,61.38159127084655,002313,日海智能,bottom_area,2024-06-05,6.79,2024-06-05,6.78,0.14749262536872842,3.687315634218289,27.48663101604277,False,-3.6879,1.8103,2,3,2,66.66666666666666,17.855955860325707,20.08238928939237,14.852507374631271,0.14749262536872842,历史2/3次成功; 当前距低点0.15%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
23,65.58962278905891,57.38855242588752,603011,合锻智能,bottom_area,2024-06-05,6.06,2024-06-05,6.04,0.33112582781456246,2.6490066225165587,29.76744186046511,False,-2.7287,2.0767,1,2,1,50.0,41.201716738197426,41.201716738197426,14.668874172185436,0.33112582781456246,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
24,65.23792813822811,61.34233718482406,000955,欣龙控股,bottom_area,2024-06-05,3.48,2024-06-05,3.34,4.19161676646707,8.083832335329342,27.074235807860266,False,-6.1995,4.3016,2,3,2,66.66666666666666,27.37933734248553,28.498727735368945,10.808383233532929,4.19161676646707,历史2/3次成功; 当前距低点4.19%; 最新日涨幅-6.20%; 状态bottom_area; 底部未确认
25,64.71593770479393,58.670846813456045,600383,金地集团,bottom_area,2024-06-05,4.12,2024-06-04,4.03,2.233250620347391,11.414392059553348,27.51798561151078,True,-5.5046,4.5878,1,2,1,50.0,32.594936708860764,32.594936708860764,12.766749379652609,2.233250620347391,历史1/2次成功; 当前距低点2.23%; 最新日涨幅-5.50%; 状态bottom_area; 底部已确认
26,63.821264593709316,57.04232198142414,300464,星徽股份,bottom_area,2024-06-05,3.45,2024-06-05,3.4,1.4705882352941255,7.058823529411772,28.57142857142857,False,-5.2198,5.8434,1,2,1,50.0,23.68421052631579,23.68421052631579,13.529411764705873,1.4705882352941255,历史1/2次成功; 当前距低点1.47%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
27,63.73688485826101,56.06445554445554,300511,雪榕生物,bottom_area,2024-06-05,3.27,2024-06-05,3.25,0.6153846153846159,3.9999999999999964,32.150313152400834,False,-2.9674,2.2573,2,5,2,40.0,25.900712191034756,29.220779220779214,14.384615384615385,0.6153846153846159,历史2/5次成功; 当前距低点0.62%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
28,63.139910589561644,56.904002089864136,600358,国旅联合,bottom_area,2024-06-05,2.66,2024-06-05,2.61,1.9157088122605466,4.2145593869731925,27.298050139275766,False,-1.845,2.6703,1,2,1,50.0,18.181818181818198,18.181818181818198,13.084291187739453,1.9157088122605466,历史1/2次成功; 当前距低点1.92%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
29,60.52363634127651,52.95928511705688,002329,皇氏集团,bottom_area,2024-06-05,3.0,2024-06-05,2.99,0.3344481605351099,3.3444816053511586,30.140186915887853,False,-3.537,3.1073,1,2,1,50.0,27.644230769230756,27.644230769230756,14.665551839464891,0.3344481605351099,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
30,60.34284682962034,56.433750107731065,605108,同庆楼,bottom_area,2024-06-05,25.3,2024-05-31,24.35,3.901437371663241,4.6817248459958805,29.725829725829715,False,0.5964,0.6299,1,2,1,50.0,17.52165223184544,17.52165223184544,11.098562628336758,3.901437371663241,历史1/2次成功; 当前距低点3.90%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
31,60.28648267045454,52.42302840909091,000545,金浦钛业,bottom_area,2024-06-05,1.89,2024-06-05,1.89,0.0,3.703703703703707,28.13688212927757,False,-4.0609,1.222,2,5,2,40.0,21.252840909090914,24.6875,15.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
32,59.857325953364246,54.06537703743918,002455,百川股份,bottom_area,2024-06-05,10.03,2024-06-05,9.83,2.0345879959308166,5.696846388606312,28.195763330898465,False,-4.0191,13.7326,1,4,1,25.0,35.42600896860987,35.42600896860987,12.965412004069183,2.0345879959308166,历史1/4次成功; 当前距低点2.03%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
33,59.432085511300706,52.092307014960035,300497,富祥股份,bottom_area,2024-06-05,9.45,2024-06-05,9.41,0.42507970244419924,5.313496280552603,28.92749244712991,False,-3.8657,2.3828,1,2,1,50.0,24.094025465230157,24.094025465230157,14.5749202975558,0.42507970244419924,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
34,59.27339986139987,54.1372972972973,300500,启迪设计,bottom_area,2024-06-05,9.75,2024-06-05,9.5,2.631578947368421,5.578947368421046,29.315476190476186,False,-6.6092,6.8782,1,2,1,50.0,22.2972972972973,22.2972972972973,12.368421052631579,2.631578947368421,历史1/2次成功; 当前距低点2.63%; 最新日涨幅-6.61%; 状态bottom_area; 底部未确认
35,59.02962537227191,51.88600744219342,000514,渝开发,bottom_area,2024-06-05,3.49,2024-06-05,3.47,0.5763688760806921,6.051873198847261,31.01391650099404,False,-5.6757,5.0655,1,2,1,50.0,24.839400428265527,24.839400428265527,14.423631123919305,0.5763688760806921,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
36,58.904851441307734,55.120877676489286,600310,广西能源,bottom_area,2024-06-05,3.7,2024-06-04,3.56,3.9325842696629247,10.674157303370784,30.19607843137254,True,-4.3928,4.7664,1,2,1,50.0,34.33962264150944,34.33962264150944,11.067415730337075,3.9325842696629247,历史1/2次成功; 当前距低点3.93%; 最新日涨幅-4.39%; 状态bottom_area; 底部已确认
37,58.55167938931297,50.914503816793896,002742,三圣股份,bottom_area,2024-06-05,1.33,2024-06-05,1.33,0.0,10.526315789473676,32.82828282828282,False,-5.0,6.2438,1,2,1,50.0,24.809160305343507,24.809160305343507,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.00%; 状态bottom_area; 底部未确认
