rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.62290502220648,82.035389077349,688115,思林杰,bottom_area,2022-12-20,40.6,2022-12-19,40.13,1.1711936207326161,2.890605532020923,27.92744252873563,False,0.5697,0.9772,2,2,2,100.0,13.364035121609469,16.977032898820603,6.828806379267384,1.1711936207326161,历史2/2次成功; 当前距低点1.17%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
2,84.9877147332891,81.43264072445255,002603,以岭药业,bottom_area,2022-12-20,39.49,2022-12-20,38.8,1.7783505154639299,4.587628865979385,28.094885100074134,False,-2.9014,7.0692,3,3,3,100.0,23.37247257908766,39.661898569570866,6.22164948453607,1.7783505154639299,历史3/3次成功; 当前距低点1.78%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
3,83.23784070550911,79.9108539027086,300667,必创科技,bottom_area,2022-12-20,15.18,2022-12-20,14.9,1.879194630872479,2.684563758389264,27.529182879377423,False,0.5298,1.4632,1,1,1,100.0,27.287191726332534,27.287191726332534,6.120805369127521,1.879194630872479,历史1/1次成功; 当前距低点1.88%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,82.64523740634131,76.82993307934144,300624,万兴科技,bottom_area,2022-12-20,28.96,2022-12-20,28.9,0.20761245674741272,3.391003460207614,31.00978753879208,False,-1.5636,1.6655,2,2,2,100.0,35.87790043400834,51.195680123425035,7.7923875432525875,0.20761245674741272,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
5,81.04079858269743,77.66500806807566,600158,中体产业,bottom_area,2022-12-20,8.54,2022-12-20,8.39,1.7878426698450367,2.502979737783064,28.77758913412563,False,0.1172,1.8199,1,1,1,100.0,14.092953523238386,14.092953523238386,6.212157330154963,1.7878426698450367,历史1/1次成功; 当前距低点1.79%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,79.81016629578194,77.42049434436531,002047,宝鹰股份,bottom_area,2022-12-20,3.81,2022-12-20,3.72,2.4193548387096735,3.4946236559139754,31.238447319778185,False,0.7937,1.4647,1,1,1,100.0,20.51948051948051,20.51948051948051,5.5806451612903265,2.4193548387096735,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
7,79.45343455543535,77.39856516028418,300360,炬华科技,bottom_area,2022-12-20,13.62,2022-12-16,13.27,2.6375282592313463,6.782215523737757,27.007700770077008,False,-1.8025,2.1766,2,2,2,100.0,28.882417157697027,45.323741007194236,5.362471740768654,2.6375282592313463,历史2/2次成功; 当前距低点2.64%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
8,78.4675531192673,77.24756289409139,000810,创维数字,bottom_area,2022-12-20,13.93,2022-12-19,13.5,3.1851851851851833,5.259259259259266,27.066450567260947,False,2.3512,1.8003,2,2,2,100.0,12.310672668352654,12.689901697944595,4.814814814814817,3.1851851851851833,历史2/2次成功; 当前距低点3.19%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
9,78.31969123384847,72.51823262393377,000679,大连友谊,bottom_area,2022-12-20,5.88,2022-12-20,5.88,0.0,5.272108843537423,29.832935560859198,False,-9.9541,12.0127,3,3,3,100.0,15.958239913622416,24.94061757719715,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
10,77.23914821066204,72.9855435590162,002362,汉王科技,bottom_area,2022-12-20,16.28,2022-12-20,16.11,1.0552451893234123,7.324643078833021,31.006423982869386,False,-4.5161,9.7063,1,1,1,100.0,12.642487046632112,12.642487046632112,6.944754810676587,1.0552451893234123,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
11,77.17956619734748,72.32236073559862,300365,恒华科技,bottom_area,2022-12-20,8.1,2022-12-20,8.05,0.621118012422347,2.236024844720493,29.261862917398947,False,-0.7353,2.0597,2,2,2,100.0,16.712418300653603,19.111111111111114,7.378881987577652,0.621118012422347,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
12,76.10463379790347,72.41510445367172,600222,太龙药业,bottom_area,2022-12-20,7.16,2022-12-20,7.06,1.4164305949008575,4.24929178470256,30.58013765978368,False,-3.8926,9.2086,1,1,1,100.0,14.00304414003044,14.00304414003044,6.583569405099143,1.4164305949008575,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
13,74.51736763770992,75.40447915720645,002395,双象股份,bottom_area,2022-12-20,10.2,2022-12-20,9.75,4.615384615384608,5.230769230769228,28.62371888726208,False,0.7905,1.055,1,1,1,100.0,36.59976387249114,36.59976387249114,3.384615384615392,4.615384615384608,历史1/1次成功; 当前距低点4.62%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
14,72.79563649445751,67.42138163432723,688068,热景生物,bottom_area,2022-12-20,72.08,2022-12-20,72.07,0.013875398917725986,5.203274594144582,27.209372790627217,False,-4.9327,5.9348,1,1,1,100.0,9.80116959064327,9.80116959064327,7.986124601082274,0.013875398917725986,历史1/1次成功; 当前距低点0.01%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
