rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.44912976156122,84.6843191095862,002041,登海种业,bottom_area,2025-09-05,9.64,2025-06-23,9.53,1.154249737670527,7.345225603357829,29.719764011799416,True,0.0,0.8264,2,2,2,100.0,18.2043468358871,21.395106715252467,6.845750262329473,1.154249737670527,历史2/2次成功; 当前距低点1.15%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,87.59671391072061,86.1934765679083,300510,金冠股份,bottom_area,2025-09-05,4.57,2025-09-03,4.43,3.160270880361187,3.6117381489842018,30.01579778830964,False,1.1062,4.569,4,4,4,100.0,26.76824825339677,40.000000000000014,4.839729119638813,3.160270880361187,历史4/4次成功; 当前距低点3.16%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
3,86.80534148436874,84.94422124942635,603192,汇得科技,bottom_area,2025-09-05,22.2,2025-09-04,21.58,2.873030583873962,2.873030583873962,27.266599258510286,False,1.6484,1.3524,4,4,4,100.0,16.530811723972995,25.562817719680464,5.126969416126038,2.873030583873962,历史4/4次成功; 当前距低点2.87%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
4,85.899560961327,83.50414654522753,688011,新光光电,confirmed_rebound,2025-09-05,34.86,2025-09-04,34.0,2.529411764705881,14.705882352941178,29.387331256490135,False,0.548,3.783,5,5,5,100.0,14.791426713746969,19.069767441860456,5.470588235294119,2.529411764705881,历史5/5次成功; 当前距低点2.53%; 最新日涨幅0.55%; 状态confirmed_rebound; 底部未确认
5,85.43728576042712,84.47359413394364,000561,烽火电子,bottom_area,2025-09-05,11.22,2025-09-04,10.85,3.4101382488479355,6.267281105990781,32.60869565217392,False,1.1722,3.4918,4,4,4,100.0,20.584458824284518,31.050955414012744,4.589861751152065,3.4101382488479355,历史4/4次成功; 当前距低点3.41%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
6,84.02206106615711,80.49431041826114,601669,中国电建,bottom_area,2025-09-05,5.75,2025-09-04,5.65,1.7699115044247724,1.9469026548672466,27.93367346938775,False,1.0545,1.6177,2,2,2,100.0,12.417788431987212,16.457680250783696,6.230088495575227,1.7699115044247724,历史2/2次成功; 当前距低点1.77%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
7,83.21945854577649,82.32741133135082,002695,煌上煌,bottom_area,2025-09-05,12.33,2025-09-05,11.92,3.439597315436243,3.8590604026845705,27.669902912621364,False,1.398,2.1573,3,3,3,100.0,26.073619411534626,30.57176196032671,4.5604026845637575,3.439597315436243,历史3/3次成功; 当前距低点3.44%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
8,82.88238823990974,82.98754669400988,300665,飞鹿股份,bottom_area,2025-09-05,9.47,2025-09-03,9.1,4.065934065934077,5.27472527472528,29.18287937743191,False,0.0,7.2218,5,5,5,100.0,20.633743894298735,23.50486787204451,3.934065934065923,4.065934065934077,历史5/5次成功; 当前距低点4.07%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,82.8550509175705,82.75894375707841,603221,爱丽家居,bottom_area,2025-09-05,12.4,2025-09-02,11.93,3.9396479463537353,5.616093880972338,32.2159090909091,False,0.895,2.2774,4,4,4,100.0,17.856672444972688,20.699708454810505,4.060352053646265,3.9396479463537353,历史4/4次成功; 当前距低点3.94%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
10,82.66497512991575,83.06460076457532,688115,思林杰,bottom_area,2025-09-05,53.71,2025-09-05,51.52,4.250776397515523,4.289596273291913,32.30850085402706,False,2.5979,2.8361,7,7,7,100.0,23.313822316724192,53.58819584171696,3.749223602484477,4.250776397515523,历史7/7次成功; 当前距低点4.25%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
11,81.34409839081059,81.37554787791318,002800,天顺股份,bottom_area,2025-09-05,14.49,2025-09-03,13.93,4.020100502512566,6.030150753768844,27.673935617860856,False,1.3996,3.4766,5,5,5,100.0,11.405252815278596,14.184397163120579,3.979899497487434,4.020100502512566,历史5/5次成功; 当前距低点4.02%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
