rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.34892261858612,83.39229774542267,688300,联瑞新材,bottom_area,2023-08-17,42.15,2023-08-14,41.55,1.4440433212996424,3.7304452466907447,28.974358974358978,False,0.0712,0.1829,2,2,2,100.0,24.003852247235756,26.809910956252438,13.555956678700356,1.4440433212996424,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
2,92.21147932637928,83.48849315068492,002150,正泰电源,bottom_area,2023-08-17,14.17,2023-08-17,13.87,2.1629416005767896,2.739726027397266,27.76041666666667,False,1.2143,1.2777,1,1,1,100.0,164.87025948103792,164.87025948103792,12.83705839942321,2.1629416005767896,历史1/1次成功; 当前距低点2.16%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,90.71626855749624,81.76002883922133,600935,华塑股份,bottom_area,2023-08-17,3.72,2023-06-27,3.65,1.9178082191780899,7.671232876712336,28.571428571428577,True,1.087,0.3244,1,1,1,100.0,28.50877192982458,28.50877192982458,13.082191780821908,1.9178082191780899,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.09%; 状态bottom_area; 底部已确认
4,87.329988951451,79.3774823202529,002864,盘龙药业,bottom_area,2023-08-17,34.96,2023-08-08,34.15,2.371888726207913,7.349926793557827,27.340425531914896,True,0.1719,3.0792,1,1,1,100.0,21.26553019358567,21.26553019358567,12.628111273792086,2.371888726207913,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
5,85.36368761737454,75.63395528956171,002386,天原股份,bottom_area,2023-08-17,6.04,2023-08-17,5.98,1.0033444816053445,1.3377926421404545,27.864897466827493,False,0.1658,0.5204,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,13.996655518394654,1.0033444816053445,历史2/3次成功; 当前距低点1.00%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
6,85.35048740526504,79.1620922226069,688328,深科达,bottom_area,2023-08-17,22.45,2023-08-17,21.7,3.4562211981566824,4.285714285714285,31.04544010168414,False,2.8873,2.7285,2,2,2,100.0,25.92621803443088,29.170984455958543,11.543778801843317,3.4562211981566824,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
7,81.98902725601238,75.77466403238554,300604,长川科技,bottom_area,2023-08-17,36.05,2023-08-17,34.91,3.26553995989688,4.726439415640234,29.716126434467494,False,1.9802,2.034,3,4,3,75.0,26.210188929840978,36.28082648300379,11.73446004010312,3.26553995989688,历史3/4次成功; 当前距低点3.27%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
8,81.2677023657162,75.49621537458052,002219,新里程,bottom_area,2023-08-17,3.8,2023-08-07,3.67,3.542234332425066,6.267029972752043,29.42307692307693,False,0.2639,0.2806,1,1,1,100.0,23.938223938223942,23.938223938223942,11.457765667574934,3.542234332425066,历史1/1次成功; 当前距低点3.54%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
9,80.60874351680651,74.90612529792304,002519,银河电子,bottom_area,2023-08-17,5.53,2023-08-17,5.34,3.558052434456936,3.745318352059929,28.03234501347709,False,2.7881,1.75,1,1,1,100.0,20.959595959595962,20.959595959595962,11.441947565543064,3.558052434456936,历史1/1次成功; 当前距低点3.56%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
10,79.20544124802683,74.78705198286971,002755,奥赛康,bottom_area,2023-08-17,8.04,2023-08-08,7.7,4.4155844155844015,6.363636363636354,31.00358422939068,False,0.1245,0.2415,1,1,1,100.0,30.831099195710454,30.831099195710454,10.584415584415598,4.4155844155844015,历史1/1次成功; 当前距低点4.42%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
11,77.85817918388541,69.84899001617431,603348,文灿股份,bottom_area,2023-08-17,43.2,2023-08-17,42.49,1.670981407389976,3.6008472581783977,27.59032038173142,False,0.1159,1.6925,2,4,2,50.0,28.97219153238415,31.539888682745836,13.329018592610023,1.670981407389976,历史2/4次成功; 当前距低点1.67%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
12,77.51003350499255,71.66566540752738,688248,南网科技,bottom_area,2023-08-17,31.41,2023-08-17,30.41,3.288391976323578,4.242025649457413,29.246161005118655,False,1.5519,2.4851,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,11.71160802367642,3.288391976323578,历史2/3次成功; 当前距低点3.29%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
13,77.28327390203322,72.93140558611675,002819,东方中科,bottom_area,2023-08-17,26.42,2023-08-17,25.31,4.385618332674844,4.899249308573694,27.68571428571429,False,3.2435,0.7875,1,1,1,100.0,20.487179487179493,20.487179487179493,10.614381667325155,4.385618332674844,历史1/1次成功; 当前距低点4.39%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
14,76.58861587239514,70.11403566486612,002240,盛新锂能,bottom_area,2023-08-17,25.73,2023-08-17,25.04,2.755591054313104,3.3945686900958525,29.065155807365432,False,1.499,1.2781,2,3,2,66.66666666666666,24.247938720609284,33.42198581560282,12.244408945686896,2.755591054313104,历史2/3次成功; 当前距低点2.76%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
15,72.59411202185134,67.50490735350641,688286,敏芯股份,bottom_area,2023-08-17,48.7,2023-08-16,47.01,3.594979791533727,7.679217187832375,28.338414634146336,False,1.9895,1.5682,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,11.405020208466272,3.594979791533727,历史2/3次成功; 当前距低点3.59%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
16,70.87331890637469,64.03424296853572,300763,锦浪科技,bottom_area,2023-08-17,83.12,2023-08-17,81.45,2.05033763044813,3.007980356046658,30.295250320924254,False,0.3138,1.9869,1,2,1,50.0,35.693617021276594,35.693617021276594,12.94966236955187,2.05033763044813,历史1/2次成功; 当前距低点2.05%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
17,65.30412012317879,60.875177563889814,300539,横河精密,bottom_area,2023-08-17,11.69,2023-08-17,11.27,3.726708074534161,4.081632653061233,27.524115755627015,False,2.9956,1.422,1,2,1,50.0,39.25845147219192,39.25845147219192,11.27329192546584,3.726708074534161,历史1/2次成功; 当前距低点3.73%; 最新日涨幅3.00%; 状态bottom_area; 底部未确认
