rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.18282488062583,86.0511885208023,000411,英特集团,bottom_area,2022-12-29,11.84,2022-12-29,11.71,1.110162254483339,2.903501280956446,30.66903493191237,False,0.5093,2.5894,2,2,2,100.0,34.206228285076975,47.98426745329401,18.88983774551666,1.110162254483339,历史2/2次成功; 当前距低点1.11%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,95.6788483785238,80.86177213043216,688075,安旭生物,bottom_area,2022-12-29,85.32,2022-12-28,84.67,0.7676863115625268,2.161332231014525,28.776917900403763,False,-0.1872,3.3505,4,4,4,100.0,31.086542584917854,40.134529147982065,19.232313688437475,0.7676863115625268,历史4/4次成功; 当前距低点0.77%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
3,95.36251681798569,81.30487637813748,603289,泰瑞机器,bottom_area,2022-12-29,8.93,2022-12-23,8.82,1.2471655328798121,5.555555555555558,29.888712241653415,False,0.0,1.2781,1,1,1,100.0,27.034482758620705,27.034482758620705,18.752834467120188,1.2471655328798121,历史1/1次成功; 当前距低点1.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,95.24396326938326,81.17919565081228,001332,锡装股份,bottom_area,2022-12-29,56.76,2022-12-23,56.07,1.2306046013911143,5.796326021045122,32.874416377349455,False,0.0529,3.947,1,1,1,100.0,26.155774956903304,26.155774956903304,18.769395398608886,1.2306046013911143,历史1/1次成功; 当前距低点1.23%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
5,91.19283793640359,76.32483270102637,000980,众泰汽车,bottom_area,2022-12-29,4.23,2022-12-29,4.22,0.23696682464456578,3.7914691943128,30.247933884297524,False,-0.9368,3.246,2,2,2,100.0,33.52213473772031,43.49775784753364,19.763033175355435,0.23696682464456578,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
6,90.95344912649396,78.5534421641791,000919,金陵药业,bottom_area,2022-12-29,7.83,2022-12-29,7.68,1.9531250000000049,2.9947916666666723,31.12107623318386,False,0.6427,2.2511,1,1,1,100.0,20.8955223880597,20.8955223880597,18.046874999999996,1.9531250000000049,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
7,88.75557366063855,74.10274660551508,002395,双象股份,bottom_area,2022-12-29,9.72,2022-12-29,9.71,0.10298661174047155,3.2955715756951443,28.916544655929716,False,-2.994,0.9068,1,1,1,100.0,36.59976387249114,36.59976387249114,19.89701338825953,0.10298661174047155,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
8,87.61053324060117,74.2983747373625,002795,永和智控,bottom_area,2022-12-29,8.45,2022-12-29,8.37,0.955794504181602,1.7921146953405063,31.951219512195134,False,0.4756,1.7994,1,1,1,100.0,25.632183908045985,25.632183908045985,19.0442054958184,0.955794504181602,历史1/1次成功; 当前距低点0.96%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
9,87.43496991986947,78.58227671210392,300758,七彩化学,bottom_area,2022-12-29,12.09,2022-12-23,11.61,4.134366925064603,9.216192937123173,27.437500000000004,True,0.9182,1.8819,1,1,1,100.0,38.59480269489894,38.59480269489894,15.865633074935397,4.134366925064603,历史1/1次成功; 当前距低点4.13%; 最新日涨幅0.92%; 状态bottom_area; 底部已确认
10,87.24459908654208,75.43011946414917,300667,必创科技,bottom_area,2022-12-29,14.71,2022-12-23,14.42,2.011095700416095,6.726768377253818,29.863813229571978,False,-1.076,1.1759,1,1,1,100.0,27.287191726332534,27.287191726332534,17.988904299583908,2.011095700416095,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
11,71.41265478478972,61.661957671957666,300542,新晨科技,bottom_area,2022-12-29,11.56,2022-12-29,11.34,1.9400352733686126,3.2627865961199385,28.589420654911844,False,0.0866,1.4504,1,2,1,50.0,21.587301587301592,21.587301587301592,18.05996472663139,1.9400352733686126,历史1/2次成功; 当前距低点1.94%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
