rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.93181321139423,88.76683999905957,300510,金冠股份,bottom_area,2025-09-04,4.52,2025-09-03,4.43,2.0316027088036086,3.6117381489842018,30.01579778830964,False,1.3453,5.9211,4,4,4,100.0,26.76824825339677,40.000000000000014,7.968397291196391,2.0316027088036086,历史4/4次成功; 当前距低点2.03%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
2,92.7218996762767,86.7439836946857,002695,煌上煌,bottom_area,2025-09-04,12.16,2025-09-04,11.98,1.502504173622702,2.67111853088481,27.305825242718445,False,1.0806,1.9232,3,3,3,100.0,26.073619411534626,30.57176196032671,8.4974958263773,1.502504173622702,历史3/3次成功; 当前距低点1.50%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
3,91.12348984686074,84.6843191095862,002041,登海种业,bottom_area,2025-09-04,9.64,2025-06-23,9.53,1.154249737670527,7.345225603357829,29.719764011799416,True,0.5214,0.9603,2,2,2,100.0,18.2043468358871,21.395106715252467,8.845750262329474,1.154249737670527,历史2/2次成功; 当前距低点1.15%; 最新日涨幅0.52%; 状态bottom_area; 底部已确认
4,89.4269895433676,86.04903168785269,002795,永和智控,bottom_area,2025-09-04,4.84,2025-08-28,4.7,2.9787234042553123,5.957446808510643,31.884057971014496,False,0.8333,3.7831,6,6,6,100.0,23.766242201907538,32.328767123287676,7.0212765957446885,2.9787234042553123,历史6/6次成功; 当前距低点2.98%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
5,88.12722411870365,84.86120695909017,603221,爱丽家居,bottom_area,2025-09-04,12.29,2025-09-02,11.93,3.0176026823134907,5.616093880972338,32.2159090909091,False,1.6543,2.4516,4,4,4,100.0,17.856672444972688,20.699708454810505,6.982397317686511,3.0176026823134907,历史4/4次成功; 当前距低点3.02%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
6,87.91018710991196,83.36830132939438,301009,可靠股份,bottom_area,2025-09-04,13.84,2025-09-03,13.54,2.215657311669134,3.9881831610044385,27.008086253369278,False,1.9897,5.6774,1,1,1,100.0,53.96648044692738,53.96648044692738,7.784342688330867,2.215657311669134,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
7,87.21422607824134,83.29976350740466,300730,科创信息,bottom_area,2025-09-04,18.62,2025-09-04,18.15,2.5895316804407846,5.7851239669421535,29.267342166796578,False,0.3233,9.9759,3,3,3,100.0,20.881159886073412,24.329896907216508,7.410468319559216,2.5895316804407846,历史3/3次成功; 当前距低点2.59%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
8,86.65456429883034,82.52815647507651,002232,启明信息,bottom_area,2025-09-04,21.0,2025-09-04,20.5,2.4390243902439024,5.121951219512198,27.201704545454547,False,1.0101,8.3422,3,3,3,100.0,14.887806907702295,17.044757817290016,7.560975609756099,2.4390243902439024,历史3/3次成功; 当前距低点2.44%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
9,86.20891768108967,81.64118566129827,603109,神驰机电,bottom_area,2025-09-04,30.51,2025-09-04,29.87,2.14261801138266,7.499163039839297,27.79792119893642,False,-3.7843,3.004,5,5,5,100.0,22.507283479842627,33.71428571428571,7.85738198861734,2.14261801138266,历史5/5次成功; 当前距低点2.14%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
10,85.99410922713565,80.19437826066253,688115,思林杰,bottom_area,2025-09-04,52.35,2025-09-04,51.66,1.3356562137050036,5.497483546264041,32.124556562869536,False,-2.2409,3.0016,6,7,6,85.71428571428571,25.574286478778507,53.58819584171696,8.664343786294996,1.3356562137050036,历史6/7次成功; 当前距低点1.34%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
11,85.78043388894787,81.93939266342443,002826,易明医药,bottom_area,2025-09-04,19.37,2025-09-03,18.88,2.5953389830508584,5.137711864406793,29.631010063361906,False,2.3244,7.045,2,2,2,100.0,30.305191100969765,50.0,7.404661016949142,2.5953389830508584,历史2/2次成功; 当前距低点2.60%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
