rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.83786248146691,84.48903985811323,300763,锦浪科技,bottom_area,2024-10-14,74.02,2024-10-11,71.32,3.785754346606847,7.922041503084698,27.068207383168026,False,1.9419,3.5605,4,4,4,100.0,25.271826711703444,36.020348268440614,4.214245653393153,3.785754346606847,历史4/4次成功; 当前距低点3.79%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
2,83.38166718921862,81.76996924468567,000430,张家界,bottom_area,2024-10-14,6.21,2024-10-14,6.03,2.985074626865667,3.1509121061359786,27.349397590361452,False,0.0,5.2084,2,2,2,100.0,34.17171717171716,53.99999999999999,5.014925373134333,2.985074626865667,历史2/2次成功; 当前距低点2.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,81.974825735912,83.4222523627832,688358,祥生医疗,bottom_area,2024-10-14,23.93,2024-10-14,22.81,4.910127137220522,5.217010083296805,27.884919380335127,False,2.0469,0.8707,4,4,4,100.0,33.31904427766654,68.06588735387884,3.0898728627794783,4.910127137220522,历史4/4次成功; 当前距低点4.91%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
4,79.31124844522525,80.63913960545509,688047,龙芯中科,bottom_area,2024-10-14,127.43,2024-10-14,121.52,4.863396971691912,7.0523370638578085,28.043581241117955,False,2.2713,2.0577,4,4,4,100.0,17.78325108017539,33.20076594491089,3.136603028308089,4.863396971691912,历史4/4次成功; 当前距低点4.86%; 最新日涨幅2.27%; 状态bottom_area; 底部未确认
5,75.21096482255815,75.89830857062555,688331,荣昌生物,bottom_area,2024-10-14,30.83,2024-10-14,29.51,4.473059979667897,6.4723822433073535,29.721362229102166,False,0.4235,2.4849,2,2,2,100.0,20.843469485313637,26.761565836298917,3.5269400203321033,4.473059979667897,历史2/2次成功; 当前距低点4.47%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
6,74.60678318294445,74.53169418761965,688059,华锐精密,bottom_area,2024-10-14,50.82,2024-10-14,48.89,3.9476375536919606,5.031703824913071,31.140845070422536,False,0.3555,2.8948,4,5,4,80.0,17.05541833353391,38.29213483146067,4.05236244630804,3.9476375536919606,历史4/5次成功; 当前距低点3.95%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,73.66617537677001,75.05137173658608,688062,迈威生物,bottom_area,2024-10-14,25.14,2024-10-14,23.95,4.968684759916498,6.179540709812111,27.42424242424243,False,0.0796,2.7025,2,2,2,100.0,22.365446178471394,35.34313725490197,3.031315240083502,4.968684759916498,历史2/2次成功; 当前距低点4.97%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
8,72.65379440397578,73.31864864864866,688310,迈得医疗,bottom_area,2024-10-14,11.91,2024-10-14,11.4,4.473684210526314,4.912280701754391,27.619047619047617,False,1.5345,1.4904,1,1,1,100.0,23.648648648648653,23.648648648648653,3.526315789473686,4.473684210526314,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
9,72.52238455288372,72.4012109780251,300413,芒果超媒,bottom_area,2024-10-14,23.9,2024-10-14,23.0,3.913043478260864,4.3478260869565215,27.12294043092522,False,1.0144,2.8745,1,1,1,100.0,11.843817787418656,11.843817787418656,4.086956521739136,3.913043478260864,历史1/1次成功; 当前距低点3.91%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
10,70.52080210163807,70.30414833174056,688236,春立医疗,bottom_area,2024-10-14,12.98,2024-10-14,12.5,3.840000000000003,4.0,27.912341407151096,False,1.4855,3.9064,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,4.159999999999997,3.840000000000003,历史2/3次成功; 当前距低点3.84%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
11,68.40007839497467,69.53812716689988,301529,福赛科技,bottom_area,2024-10-14,33.24,2024-10-14,31.7,4.858044164037864,4.858044164037864,27.126436781609197,False,1.9007,5.1078,1,1,1,100.0,8.034773445732341,8.034773445732341,3.1419558359621362,4.858044164037864,历史1/1次成功; 当前距低点4.86%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
12,65.48678023898452,65.92839199082067,688117,圣诺生物,bottom_area,2024-10-14,27.35,2024-10-14,26.21,4.349484929416255,4.8454788248759995,29.123850730124385,False,2.7423,2.2137,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,3.6505150705837446,4.349484929416255,历史2/3次成功; 当前距低点4.35%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
