rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.68134365184048,80.21431999771526,603211,晋拓股份,bottom_area,2023-11-01,15.27,2023-10-31,15.0,1.7999999999999972,5.933333333333337,29.67651195499296,False,0.9253,12.7561,2,2,2,100.0,11.281290310297077,12.639405204460974,6.200000000000003,1.7999999999999972,历史2/2次成功; 当前距低点1.80%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
2,82.55267981640813,78.24232423008033,603326,我乐家居,bottom_area,2023-11-01,10.02,2023-10-23,9.9,1.2121212121212042,5.05050505050505,30.76923076923077,False,-0.0997,1.9506,2,2,2,100.0,15.946024697401477,20.141843971631218,6.787878787878795,1.2121212121212042,历史2/2次成功; 当前距低点1.21%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
3,82.2348963529479,78.06209658646625,000014,沙河股份,bottom_area,2023-11-01,10.97,2023-10-23,10.83,1.2927054478301068,5.909510618651899,31.671924290220822,False,-1.7905,3.4228,2,2,2,100.0,15.964865631822029,20.605355064027936,6.707294552169893,1.2927054478301068,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
4,82.00537146319779,77.85981530171924,300713,英可瑞,bottom_area,2023-11-01,17.88,2023-10-24,17.65,1.3031161473087844,4.815864022662899,27.066115702479344,False,-0.39,3.0242,2,2,2,100.0,15.004946868727224,19.819819819819813,6.696883852691215,1.3031161473087844,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
5,81.89344348400878,77.7419063859557,000938,紫光股份,bottom_area,2023-11-01,19.55,2023-10-23,19.3,1.2953367875647668,4.766839378238332,28.011935844834014,False,-0.306,1.2424,1,1,1,100.0,30.942334739803094,30.942334739803094,6.704663212435233,1.2953367875647668,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
6,81.80259632430335,79.19593180635087,603076,乐惠国际,bottom_area,2023-11-01,27.83,2023-10-31,27.2,2.3161764705882315,4.301470588235301,27.601809954751133,False,0.9797,1.8416,2,2,2,100.0,12.133409458559333,13.440860215053762,5.683823529411769,2.3161764705882315,历史2/2次成功; 当前距低点2.32%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
7,81.53533140967208,78.82613340595728,600048,保利发展,bottom_area,2023-11-01,10.94,2023-10-30,10.7,2.24299065420561,4.018691588785061,28.139691067830768,False,-0.726,0.5573,2,2,2,100.0,31.721247836269217,31.987577639751546,5.7570093457943905,2.24299065420561,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
8,81.3730809392744,80.79576618266273,300511,雪榕生物,bottom_area,2023-11-01,5.71,2023-10-30,5.51,3.629764065335757,3.9927404718693404,27.212681638044923,False,0.8834,2.3775,3,3,3,100.0,20.170044363592744,29.220779220779214,4.370235934664243,3.629764065335757,历史3/3次成功; 当前距低点3.63%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
9,80.8797699899559,80.36310524052915,300620,光库科技,bottom_area,2023-11-01,38.45,2023-10-26,37.09,3.6667565381504432,7.1178215152331985,28.46673095467695,True,-0.3886,2.2917,6,6,6,100.0,14.91026961028043,22.444343480236245,4.333243461849557,3.6667565381504432,历史6/6次成功; 当前距低点3.67%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
10,80.05458131738642,77.28958111548255,688023,安恒信息,bottom_area,2023-11-01,118.52,2023-10-30,116.0,2.172413793103445,5.36206896551724,29.6159213639949,False,-0.0675,0.6818,1,1,1,100.0,39.261744966442954,39.261744966442954,5.827586206896555,2.172413793103445,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
11,80.00155909753335,78.24689170373698,300454,深信服,bottom_area,2023-11-01,82.73,2023-10-27,80.44,2.846842366981609,6.364992541024373,27.150878464046375,False,-1.3945,0.5766,3,3,3,100.0,19.34243172287662,29.49391262831224,5.153157633018391,2.846842366981609,历史3/3次成功; 当前距低点2.85%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
12,79.84454634310435,79.61853244455209,000928,中钢国际,bottom_area,2023-11-01,6.2,2023-10-23,5.97,3.8525963149078803,5.192629815745402,31.06235565819862,False,0.4862,1.2998,3,3,3,100.0,16.57232280936585,18.798449612403097,4.14740368509212,3.8525963149078803,历史3/3次成功; 当前距低点3.85%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
13,77.77555120821957,76.2807981328041,688111,金山办公,bottom_area,2023-11-01,283.74,2023-10-31,275.5,2.9909255898366642,5.281306715063526,29.53964194373401,False,-1.1703,0.6955,3,3,3,100.0,10.538217621675688,14.013605442176866,5.009074410163336,2.9909255898366642,历史3/3次成功; 当前距低点2.99%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
14,76.44517393652545,77.5993068138492,002080,中材科技,bottom_area,2023-11-01,17.32,2023-10-26,16.53,4.77918935269207,5.626134301270415,27.244718309859145,False,0.1735,0.4568,3,3,3,100.0,17.074508268747955,28.579356270810223,3.2208106473079305,4.77918935269207,历史3/3次成功; 当前距低点4.78%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
