rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.93971160398306,85.35731343283584,605133,嵘泰股份,bottom_area,2023-05-08,27.16,2023-05-05,26.8,1.3432835820895501,4.477611940298504,30.099113197704753,False,0.929,3.4452,1,1,1,100.0,60.01483679525222,60.01483679525222,18.656716417910452,1.3432835820895501,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
2,98.13699265927869,83.87072329983334,688181,八亿时空,bottom_area,2023-05-08,34.58,2023-05-05,34.11,1.3778950454412162,2.931691586045148,27.084224027362126,False,0.3191,0.8341,2,2,2,100.0,25.76518281418983,28.477257745550418,18.622104954558786,1.3778950454412162,历史2/2次成功; 当前距低点1.38%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,94.70294030918109,81.58380884769304,300582,英飞特,bottom_area,2023-05-08,12.91,2023-04-27,12.68,1.8138801261829687,4.337539432176662,32.40938166311301,False,0.3108,2.4622,1,1,1,100.0,35.48094373865699,35.48094373865699,18.186119873817034,1.8138801261829687,历史1/1次成功; 当前距低点1.81%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
4,93.75986553860808,80.0516709118696,000935,四川双马,bottom_area,2023-05-08,18.36,2023-05-05,18.12,1.3245033112582694,3.532008830022078,32.68945022288261,False,-0.2716,0.4809,1,1,1,100.0,43.71794871794874,43.71794871794874,18.67549668874173,1.3245033112582694,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
5,92.27242937241788,79.70375959079284,000629,钒钛股份,bottom_area,2023-05-08,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,0.0,0.8266,1,1,1,100.0,27.173913043478265,27.173913043478265,18.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,91.63980249888542,77.26946824706657,688075,安旭生物,bottom_area,2023-05-08,67.46,2023-05-05,67.03,0.6415038042667351,2.7897956139042286,27.81606719793237,False,0.0,1.5435,4,5,4,80.0,31.086542584917854,40.134529147982065,19.358496195733267,0.6415038042667351,历史4/5次成功; 当前距低点0.64%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,90.23033348832256,77.01158963228329,300390,天华新能,bottom_area,2023-05-08,34.14,2023-05-08,33.7,1.3056379821958388,3.7685459940652697,31.850353892821033,False,-0.7558,1.9104,1,1,1,100.0,27.142173288654863,27.142173288654863,18.69436201780416,1.3056379821958388,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
8,87.83831377768776,77.66203884559863,300661,圣邦股份,bottom_area,2023-05-08,123.45,2023-04-25,119.58,3.23632714500753,6.790433182806494,30.20079383609619,False,1.5297,0.6639,1,1,1,100.0,31.832606108687024,31.832606108687024,16.76367285499247,3.23632714500753,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
9,86.87675439533577,74.9567052755802,002385,大北农,bottom_area,2023-05-08,6.98,2023-04-25,6.85,1.8978102189781136,4.963503649635047,30.73811931243681,False,-0.5698,0.9801,1,1,1,100.0,23.353293413173663,23.353293413173663,18.102189781021888,1.8978102189781136,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,86.78764589810204,76.92906778021897,300721,怡达股份,bottom_area,2023-05-08,15.31,2023-04-28,14.81,3.3760972316002698,9.52059419311275,31.90804597701149,True,0.0654,1.6094,1,1,1,100.0,20.411663807890235,20.411663807890235,16.62390276839973,3.3760972316002698,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.07%; 状态bottom_area; 底部已确认
11,85.90184921953553,76.05711396415266,688182,灿勤科技,bottom_area,2023-05-08,17.46,2023-05-05,16.9,3.313609467455635,5.3254437869822615,27.746900384779828,False,1.689,2.7327,1,1,1,100.0,24.15130940834142,24.15130940834142,16.686390532544365,3.313609467455635,历史1/1次成功; 当前距低点3.31%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
12,82.69504230549084,74.07929787833649,300353,东土科技,bottom_area,2023-05-08,11.04,2023-05-04,10.62,3.954802259887005,6.30885122410546,31.48387096774194,False,2.6977,3.4254,1,1,1,100.0,21.377672209026137,21.377672209026137,16.045197740112997,3.954802259887005,历史1/1次成功; 当前距低点3.95%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
13,80.42073346108782,72.06745972073043,603363,傲农生物,bottom_area,2023-05-08,9.68,2023-04-25,9.31,3.9742212674543413,9.559613319011802,29.576399394856278,True,-0.7179,1.1313,1,1,1,100.0,24.078947368421055,24.078947368421055,16.02577873254566,3.9742212674543413,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
14,79.71678365473849,72.64488498880787,688289,圣湘生物,bottom_area,2023-05-08,18.86,2023-04-26,17.98,4.894327030033365,12.45828698553948,27.058823529411757,False,3.8546,2.1091,1,1,1,100.0,25.182530200451346,25.182530200451346,15.105672969966635,4.894327030033365,历史1/1次成功; 当前距低点4.89%; 最新日涨幅3.85%; 状态bottom_area; 底部未确认
15,78.99544010323595,69.53113018671408,002245,蔚蓝锂芯,bottom_area,2023-05-08,11.02,2023-04-26,10.7,2.9906542056074796,8.317757009345799,29.512516469038214,False,0.4558,1.1774,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,17.009345794392523,2.9906542056074796,历史2/3次成功; 当前距低点2.99%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
16,76.37641196559835,67.7897147623654,000980,众泰汽车,bottom_area,2023-05-08,3.0,2023-04-26,2.9,3.448275862068969,8.965517241379318,32.24299065420561,True,-0.3322,1.0033,2,3,2,66.66666666666666,33.52213473772031,43.49775784753364,16.551724137931032,3.448275862068969,历史2/3次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态bottom_area; 底部已确认
17,75.45977414293921,64.53159420289853,601369,陕鼓动力,bottom_area,2023-05-08,9.33,2023-04-27,9.2,1.4130434782608783,5.00000000000001,31.189229618548993,False,0.5388,0.9376,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,18.586956521739122,1.4130434782608783,历史1/3次成功; 当前距低点1.41%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
18,72.86293645570449,63.55404686607502,688350,富淼科技,bottom_area,2023-05-08,16.44,2023-05-05,16.04,2.493765586034926,4.301745635910232,32.774518021793796,False,1.0449,3.0532,1,2,1,50.0,38.54748603351957,38.54748603351957,17.506234413965075,2.493765586034926,历史1/2次成功; 当前距低点2.49%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
19,72.5992661483786,64.81898296495893,688195,腾景科技,bottom_area,2023-05-08,25.86,2023-05-08,24.92,3.772070626003201,4.213483146067404,32.648648648648646,False,2.9869,3.3166,3,6,3,50.0,27.684430065839933,38.77410468319559,16.2279293739968,3.772070626003201,历史3/6次成功; 当前距低点3.77%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
20,71.17627673588063,62.012214551669565,300454,深信服,bottom_area,2023-05-08,118.38,2023-05-04,115.57,2.431426840875662,3.7466470537336787,31.00298507462687,False,0.2371,0.8199,1,2,1,50.0,29.49391262831224,29.49391262831224,17.56857315912434,2.431426840875662,历史1/2次成功; 当前距低点2.43%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
21,70.78521106222746,60.474392697714705,688107,安路科技,bottom_area,2023-05-08,50.71,2023-05-05,50.03,1.3591844893064156,5.676594043573848,32.673933521733275,False,-1.9339,1.3325,1,3,1,33.33333333333333,67.95615731785945,67.95615731785945,18.640815510693585,1.3591844893064156,历史1/3次成功; 当前距低点1.36%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
22,68.43926260387938,60.62195046464274,300552,万集科技,bottom_area,2023-05-08,17.65,2023-05-04,17.08,3.3372365339578476,7.728337236533961,31.129032258064527,True,0.5125,3.083,1,2,1,50.0,23.929299796057098,23.929299796057098,16.66276346604215,3.3372365339578476,历史1/2次成功; 当前距低点3.34%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
