rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.84088977948875,79.30789169652205,002553,南方精工,bottom_area,2022-08-24,16.67,2022-08-24,16.43,1.4607425441266098,4.808277541083379,27.30088495575222,False,0.3008,21.4825,1,1,1,100.0,18.916046758767262,18.916046758767262,8.53925745587339,1.4607425441266098,历史1/1次成功; 当前距低点1.46%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
2,81.07720861376045,77.56314255494179,002077,大港股份,bottom_area,2022-08-24,16.51,2022-08-23,16.08,2.6741293532338513,6.902985074626885,28.53333333333334,False,1.7879,22.3449,1,1,1,100.0,24.40944881889765,24.40944881889765,7.32587064676615,2.6741293532338513,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
3,79.45623477966106,74.606793220339,002471,中超控股,bottom_area,2022-08-24,3.0,2022-08-24,2.95,1.6949152542372818,6.7796610169491425,29.59427207637232,False,-5.0633,10.0716,1,1,1,100.0,29.2,29.2,8.305084745762718,1.6949152542372818,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
4,79.02039934213687,74.68846818727492,002043,兔宝宝,bottom_area,2022-08-24,8.5,2022-08-04,8.33,2.0408163265306114,8.403361344537807,30.2928870292887,True,-2.2989,1.5728,1,1,1,100.0,14.470588235294123,14.470588235294123,7.959183673469389,2.0408163265306114,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
5,78.33127203927705,71.68428772577586,688083,中望软件,bottom_area,2022-08-24,187.65,2022-08-24,187.0,0.3475935828877036,4.695187165775402,27.79086380661854,False,-3.323,1.0076,2,2,2,100.0,20.144091907310933,21.52777777777778,9.652406417112298,0.3475935828877036,历史2/2次成功; 当前距低点0.35%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
6,78.21641007772718,71.36142857142859,002110,三钢闽光,bottom_area,2022-08-24,5.33,2022-08-24,5.32,0.18796992481202604,2.06766917293232,28.398384925975765,False,-1.2963,0.4883,1,1,1,100.0,22.90322580645161,22.90322580645161,9.812030075187975,0.18796992481202604,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
7,75.87303199073108,72.65807300807299,000761,本钢板材,bottom_area,2022-08-24,3.39,2022-07-15,3.3,2.7272727272727364,8.484848484848492,31.818181818181817,True,-1.1662,0.251,1,1,1,100.0,11.969111969111971,11.969111969111971,7.2727272727272645,2.7272727272727364,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-1.17%; 状态bottom_area; 底部已确认
8,74.59809190546443,67.99959816686794,688091,上海谊众,bottom_area,2022-08-24,106.32,2022-08-24,106.17,0.14128284826221293,7.374964679287934,29.205841168233643,False,-6.326,5.6397,1,1,1,100.0,14.471629359708471,14.471629359708471,9.858717151737787,0.14128284826221293,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-6.33%; 状态bottom_area; 底部未确认
9,74.07883287063665,68.5095694313406,600248,陕建股份,bottom_area,2022-08-24,4.49,2022-08-03,4.45,0.8988764044943828,5.393258426966296,28.2258064516129,False,-2.603,1.2339,1,1,1,100.0,16.28498727735369,16.28498727735369,9.101123595505618,0.8988764044943828,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
10,72.28633424383298,71.34536195039276,000715,中兴商业,bottom_area,2022-08-24,5.08,2022-08-03,4.87,4.312114989733059,7.802874743326487,27.421758569299552,True,-2.1195,1.7351,1,1,1,100.0,24.33862433862435,24.33862433862435,5.687885010266941,4.312114989733059,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-2.12%; 状态bottom_area; 底部已确认
11,70.3945158510186,67.33968836124657,603297,永新光学,confirmed_rebound,2022-08-24,96.86,2022-08-24,94.34,2.6711893152427346,10.1441594233623,27.00967117988394,False,-6.7219,3.5399,1,1,1,100.0,12.31182795698925,12.31182795698925,7.328810684757266,2.6711893152427346,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-6.72%; 状态confirmed_rebound; 底部未确认
12,60.81987212276215,55.29079283887468,002272,川润股份,bottom_area,2022-08-24,8.51,2022-08-24,8.51,0.0,6.933019976498237,31.037277147487845,False,-9.9471,39.7809,1,2,1,50.0,48.337595907928375,48.337595907928375,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
13,57.85358731259429,52.72779260655044,300552,万集科技,bottom_area,2022-08-24,22.6,2022-08-24,22.57,0.13291980505095763,6.73460345591493,30.145465800061906,False,-5.5973,3.4289,1,2,1,50.0,23.929299796057098,23.929299796057098,9.867080194949043,0.13291980505095763,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
14,56.43975565966621,51.8176970422263,603180,金牌家居,bottom_area,2022-08-24,23.33,2022-08-10,23.21,0.5170185264971885,5.342524773804388,27.15003138731952,False,-3.0341,0.7766,1,2,1,50.0,23.744619799139173,23.744619799139173,9.482981473502813,0.5170185264971885,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
15,55.08497299864486,50.394345699520116,000625,长安汽车,bottom_area,2022-08-24,15.17,2022-08-24,15.12,0.3306878306878354,8.13492063492065,27.586206896551722,False,-7.4436,5.1411,1,2,1,50.0,13.808139534883724,13.808139534883724,9.669312169312166,0.3306878306878354,历史1/2次成功; 当前距低点0.33%; 最新日涨幅-7.44%; 状态bottom_area; 底部未确认
