rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.21919085646563,83.29084264469606,002347,泰尔股份,bottom_area,2023-03-17,5.1,2023-03-16,5.03,1.3916500994035665,3.379721669980118,28.954802259887003,False,0.1965,2.1106,2,2,2,100.0,22.816155222237516,29.585798816568047,8.608349900596435,1.3916500994035665,历史2/2次成功; 当前距低点1.39%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
2,88.1889434958009,80.4010317565721,688221,前沿生物,bottom_area,2023-03-17,13.39,2023-03-17,13.37,0.14958863126403404,2.7673896783844505,28.118279569892486,False,-1.6887,2.1342,5,5,5,100.0,21.032762558355284,34.87394957983194,9.850411368735966,0.14958863126403404,历史5/5次成功; 当前距低点0.15%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
3,88.08342967925199,81.08562883462038,300707,威唐工业,bottom_area,2023-03-17,15.33,2023-03-14,15.23,0.6565988181221251,6.106369008535783,31.6427289048474,False,-0.8409,2.5727,4,4,4,100.0,30.92835559106886,59.14285714285715,9.343401181877875,0.6565988181221251,历史4/4次成功; 当前距低点0.66%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
4,86.78634114340136,80.28940271498477,300745,欣锐科技,bottom_area,2023-03-17,38.52,2023-03-16,38.17,0.9169504846738313,4.768142520303904,30.117173196631263,False,0.7322,2.0212,3,3,3,100.0,24.03252591419949,36.150000000000006,9.08304951532617,0.9169504846738313,历史3/3次成功; 当前距低点0.92%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
5,86.19388090054284,83.44885284638544,300382,斯莱克,bottom_area,2023-03-17,15.96,2023-03-14,15.45,3.300970873786418,4.919093851132696,29.836512261580385,False,1.1407,1.0156,3,3,3,100.0,30.403583003325068,49.70059880239522,6.699029126213582,3.300970873786418,历史3/3次成功; 当前距低点3.30%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
6,85.63352377300184,78.38940777037381,600152,维科技术,bottom_area,2023-03-17,11.07,2023-03-17,11.03,0.36264732547598305,2.1758839528558496,27.86134728580772,False,0.2717,2.0879,2,2,2,100.0,23.6894821099949,24.87644151565074,9.637352674524017,0.36264732547598305,历史2/2次成功; 当前距低点0.36%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
7,85.14162461581246,79.04166967360996,002708,光洋股份,bottom_area,2023-03-17,6.44,2023-03-14,6.37,1.0989010989011034,4.866562009419146,31.65236051502146,False,-0.155,0.9521,1,1,1,100.0,35.522388059701484,35.522388059701484,8.901098901098898,1.0989010989011034,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
8,83.05152273607786,76.16789971381344,600418,江淮汽车,bottom_area,2023-03-17,13.09,2023-03-17,13.03,0.4604758250191903,3.2233307751343054,27.16601453325881,False,-0.6829,3.6024,3,3,3,100.0,18.751530079877334,24.365079365079367,9.53952417498081,0.4604758250191903,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
9,82.63238938743234,77.30760317046852,300427,红相股份,bottom_area,2023-03-17,14.17,2023-03-17,13.96,1.5042979942693344,5.802292263610306,31.467844869906724,False,-2.4105,4.9958,1,1,1,100.0,31.168831168831172,31.168831168831172,8.495702005730665,1.5042979942693344,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
10,81.88157910081634,75.17543744384383,002824,和胜股份,bottom_area,2023-03-17,31.13,2023-03-17,30.97,0.5166289958023899,3.035195350339042,27.808857808857805,False,-1.3937,2.6554,3,3,3,100.0,14.104040614372417,19.06976744186047,9.483371004197611,0.5166289958023899,历史3/3次成功; 当前距低点0.52%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
11,79.48818977807387,72.84591104062181,603290,斯达半导,bottom_area,2023-03-17,259.6,2023-03-17,258.51,0.4216471316390205,2.3867548644153094,27.180281690140845,False,-0.9803,1.1988,2,2,2,100.0,17.082077961068716,23.2822670787034,9.57835286836098,0.4216471316390205,历史2/2次成功; 当前距低点0.42%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
