rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.09447154771597,83.37426352547807,688083,中望软件,bottom_area,2022-08-31,177.0,2022-08-31,175.01,1.137077881263933,3.8226387063596357,32.42074371548829,False,0.4711,1.0052,2,2,2,100.0,20.144091907310933,21.52777777777778,6.862922118736067,1.137077881263933,历史2/2次成功; 当前距低点1.14%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
2,85.87598835254649,81.78910046969183,300480,光力科技,bottom_area,2022-08-31,15.93,2022-08-31,15.7,1.4649681528662448,7.006369426751602,29.753914988814323,False,-5.1221,2.6024,3,3,3,100.0,31.66251536681112,39.69465648854962,6.535031847133756,1.4649681528662448,历史3/3次成功; 当前距低点1.46%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
3,84.27670762945749,78.74136220994801,001212,中旗新材,bottom_area,2022-08-31,27.87,2022-08-31,27.74,0.46863734679164587,6.0562364816150085,28.72559095580679,False,-5.2363,5.1507,3,3,3,100.0,42.90244817544601,82.06521739130437,7.531362653208354,0.46863734679164587,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
4,83.86616385721379,79.46016295276414,300400,劲拓股份,bottom_area,2022-08-31,15.25,2022-08-31,15.07,1.1944260119442582,5.175846051758456,32.23920863309352,False,-3.5421,2.0272,3,3,3,100.0,15.825022903209952,27.014218009478668,6.805573988055742,1.1944260119442582,历史3/3次成功; 当前距低点1.19%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
5,83.33872294567097,79.2210202007721,605258,协和电子,bottom_area,2022-08-31,23.01,2022-08-31,22.7,1.3656387665198337,4.845814977973575,27.936507936507937,False,-3.3193,2.9253,1,1,1,100.0,49.971379507727534,49.971379507727534,6.634361233480167,1.3656387665198337,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
6,82.89407166078283,78.69371588187202,002520,日发精机,bottom_area,2022-08-31,6.25,2022-08-31,6.17,1.2965964343598066,5.024311183144254,29.16188289322618,False,-2.648,3.413,2,2,2,100.0,19.4083642592064,30.752212389380546,6.703403565640194,1.2965964343598066,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
7,81.84698120176871,77.62593059877447,605319,无锡振华,bottom_area,2022-08-31,13.8,2022-08-29,13.63,1.2472487160674977,5.209097578870132,27.345415778251603,False,-2.197,1.237,2,2,2,100.0,13.062675652733196,17.248790972595383,6.752751283932502,1.2472487160674977,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
8,81.50555896976482,77.029726443769,688058,宝兰德,bottom_area,2022-08-31,40.85,2022-08-31,40.42,1.0638297872340419,5.0964868876793545,31.49152542372881,False,-2.3195,2.5927,1,1,1,100.0,24.27558257345491,24.27558257345491,6.936170212765959,1.0638297872340419,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
9,81.13236133693279,77.20924601762364,603197,保隆科技,confirmed_rebound,2022-08-31,49.17,2022-08-31,48.48,1.4232673267326834,9.61221122112212,29.00863962512814,False,-6.4854,4.8356,3,3,3,100.0,16.74352431491484,20.16154085119603,6.576732673267317,1.4232673267326834,历史3/3次成功; 当前距低点1.42%; 最新日涨幅-6.49%; 状态confirmed_rebound; 底部未确认
10,80.58265276496684,75.3456250171388,603327,福蓉科技,confirmed_rebound,2022-08-31,17.84,2022-08-31,17.75,0.507042253521126,8.112676056338035,29.841897233201582,False,-5.6584,1.3893,3,3,3,100.0,35.33162018906968,52.609776304888165,7.492957746478875,0.507042253521126,历史3/3次成功; 当前距低点0.51%; 最新日涨幅-5.66%; 状态confirmed_rebound; 底部未确认
11,80.31979828018873,74.76963094563868,002536,飞龙股份,bottom_area,2022-08-31,7.21,2022-08-31,7.19,0.2781641168289231,6.53685674547983,31.196172248803823,False,-6.2419,5.3618,2,2,2,100.0,35.88088780649803,55.505617977528075,7.721835883171077,0.2781641168289231,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-6.24%; 状态bottom_area; 底部未确认
12,79.52989681129016,75.53210224558049,002671,龙泉股份,bottom_area,2022-08-31,4.61,2022-08-26,4.55,1.3186813186813295,5.4945054945054945,27.316293929712458,False,-1.9149,1.0488,1,1,1,100.0,19.347826086956534,19.347826086956534,6.681318681318671,1.3186813186813295,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
13,79.26610361434224,74.35263074378051,688288,鸿泉技术,bottom_area,2022-08-31,19.43,2022-08-31,19.3,0.6735751295336736,3.782383419689121,29.355783308931183,False,-3.0923,1.2829,3,3,3,100.0,21.819258274824108,41.992882562277565,7.326424870466326,0.6735751295336736,历史3/3次成功; 当前距低点0.67%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
14,78.97782522279745,73.12761594703467,603185,弘元绿能,confirmed_rebound,2022-08-31,134.87,2022-08-31,134.87,0.0,11.588937495365904,28.933501949625878,False,-9.9967,3.6374,3,3,3,100.0,29.449548102336955,43.51028702057404,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
15,77.87494559810233,73.5549107576915,002346,柘中股份,bottom_area,2022-08-31,14.67,2022-08-31,14.52,1.033057851239672,5.234159779614324,29.855072463768117,False,-3.296,2.2945,1,1,1,100.0,15.431627196333075,15.431627196333075,6.966942148760329,1.033057851239672,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
16,77.36179027604169,74.06393565286305,002119,康强电子,bottom_area,2022-08-31,12.9,2022-08-31,12.68,1.7350157728706677,4.100946372239744,30.25302530253025,False,-0.8455,6.0844,1,1,1,100.0,16.557911908646,16.557911908646,6.264984227129333,1.7350157728706677,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
17,76.93703898862753,71.83893414734818,300620,光库科技,confirmed_rebound,2022-08-31,39.14,2022-08-31,38.97,0.4362329997433968,8.314087759815248,28.587135788895,False,-5.9587,1.3082,3,3,3,100.0,15.610459068618967,22.444343480236245,7.563767000256603,0.4362329997433968,历史3/3次成功; 当前距低点0.44%; 最新日涨幅-5.96%; 状态confirmed_rebound; 底部未确认
18,76.93072523496005,72.61685279187817,600063,皖维高新,bottom_area,2022-08-31,8.08,2022-08-31,8.0,1.0000000000000009,7.000000000000006,29.203539823008857,False,-5.1643,5.0973,1,1,1,100.0,9.983079526226732,9.983079526226732,6.999999999999999,1.0000000000000009,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
19,76.79274681667405,72.55852999845023,688327,云从科技,bottom_area,2022-08-31,19.22,2022-08-31,19.02,1.0515247108307006,6.414300736067292,27.570449352627573,False,-4.0918,3.9607,1,1,1,100.0,10.301109350237724,10.301109350237724,6.948475289169299,1.0515247108307006,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
20,76.27924441922947,72.1911181764294,300499,高澜股份,bottom_area,2022-08-31,10.68,2022-08-31,10.56,1.136363636363629,6.72348484848484,27.172413793103445,False,-5.4867,4.9278,1,1,1,100.0,9.365737996443379,9.365737996443379,6.863636363636372,1.136363636363629,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-5.49%; 状态bottom_area; 底部未确认
21,75.94593923255889,71.91380199328079,605069,正和生态,bottom_area,2022-08-31,10.43,2022-08-29,10.31,1.1639185257031932,5.237633365664395,30.66577000672494,False,-3.0669,1.4251,1,1,1,100.0,8.212560386473426,8.212560386473426,6.836081474296806,1.1639185257031932,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
22,75.67626084670297,70.65161004838569,601606,长城军工,bottom_area,2022-08-31,11.71,2022-08-29,11.66,0.4288164665523217,4.2024013722126945,27.033792240300375,False,-3.0629,1.8249,2,2,2,100.0,15.587696731854795,18.886462882096076,7.5711835334476785,0.4288164665523217,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
23,75.25873740812379,70.4669825918762,002110,三钢闽光,bottom_area,2022-08-31,5.2,2022-08-31,5.17,0.5802707930367553,1.547388781431336,30.41722745625841,False,-0.7634,0.356,1,1,1,100.0,22.90322580645161,22.90322580645161,7.419729206963245,0.5802707930367553,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
24,75.09778818364732,71.47376623376623,000020,深华发A,bottom_area,2022-08-31,9.23,2022-08-31,9.1,1.4285714285714373,7.142857142857147,28.906250000000007,False,-4.2531,4.5178,1,1,1,100.0,9.09090909090908,9.09090909090908,6.571428571428563,1.4285714285714373,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
25,74.79429668174473,72.13989118989119,000761,本钢板材,confirmed_rebound,2022-08-31,3.37,2022-07-15,3.3,2.12121212121213,8.484848484848492,31.818181818181817,True,-0.2959,0.145,1,1,1,100.0,11.969111969111971,11.969111969111971,5.87878787878787,2.12121212121213,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-0.30%; 状态confirmed_rebound; 底部已确认
26,74.51498166201489,69.19796003048343,688045,必易微,bottom_area,2022-08-31,59.2,2022-08-31,59.11,0.1522585010996505,5.565894095753678,28.61111111111111,False,-4.3,6.9396,1,1,1,100.0,21.048975338659265,21.048975338659265,7.8477414989003496,0.1522585010996505,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
27,74.43834062123499,71.05660962492144,300740,水羊股份,bottom_area,2022-08-31,14.12,2022-08-31,13.9,1.582733812949632,5.323741007194246,30.569430569430565,False,-3.7491,3.1911,1,1,1,100.0,8.73786407766991,8.73786407766991,6.417266187050369,1.582733812949632,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
28,73.9386104946808,73.21805188879111,000715,中兴商业,bottom_area,2022-08-31,5.04,2022-08-03,4.87,3.4907597535934274,7.802874743326487,27.421758569299552,True,-1.9455,1.2246,1,1,1,100.0,24.33862433862435,24.33862433862435,4.509240246406573,3.4907597535934274,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
29,73.74687827752203,69.01527030666263,002765,蓝黛科技,confirmed_rebound,2022-08-31,9.09,2022-08-31,9.04,0.5530973451327512,11.946902654867259,29.704510108864703,False,-8.3669,5.6774,2,2,2,100.0,18.52866802992104,19.96726677577741,7.446902654867249,0.5530973451327512,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-8.37%; 状态confirmed_rebound; 底部未确认
30,73.74124193786805,70.17455198156848,002585,双星新材,confirmed_rebound,2022-08-31,19.25,2022-08-31,18.98,1.4225500526870367,9.378292939936781,30.169242089771885,False,-6.0976,5.8209,1,1,1,100.0,12.247129579004932,12.247129579004932,6.577449947312964,1.4225500526870367,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-6.10%; 状态confirmed_rebound; 底部未确认
31,73.70773726845819,68.6173885901923,603055,台华新材,bottom_area,2022-08-31,10.73,2022-08-31,10.7,0.28037383177571157,5.233644859813089,30.202217873450753,False,-4.1964,0.4882,1,1,1,100.0,19.498069498069512,19.498069498069512,7.719626168224289,0.28037383177571157,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
32,73.658713723501,68.95565151789486,000547,航天发展,bottom_area,2022-08-31,10.58,2022-08-31,10.52,0.5703422053231987,2.9467680608365066,30.789473684210527,False,-1.7642,2.033,1,1,1,100.0,14.656084656084673,14.656084656084673,7.429657794676801,0.5703422053231987,历史1/1次成功; 当前距低点0.57%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
33,73.51978106334235,69.1305404028443,002747,埃斯顿,bottom_area,2022-08-31,18.9,2022-08-31,18.75,0.7999999999999924,6.026666666666661,29.48476871004137,False,-7.262,4.4276,2,2,2,100.0,11.959894638947768,13.690987124463508,7.200000000000008,0.7999999999999924,历史2/2次成功; 当前距低点0.80%; 最新日涨幅-7.26%; 状态bottom_area; 底部未确认
34,73.0610613600265,68.94026742861664,002850,科达利,bottom_area,2022-08-31,112.09,2022-08-31,111.0,0.9819819819819852,6.018018018018024,27.912715937134685,False,-3.975,2.6101,2,2,2,100.0,13.167668535137384,13.44718098343773,7.018018018018016,0.9819819819819852,历史2/2次成功; 当前距低点0.98%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
35,72.71409412671223,67.79240523435301,688286,敏芯股份,bottom_area,2022-08-31,47.78,2022-08-31,47.61,0.3570678428901527,4.9149338374291185,27.983663590984726,False,-3.3771,1.899,1,1,1,100.0,16.00279524807827,16.00279524807827,7.642932157109847,0.3570678428901527,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
36,72.55353670248226,71.09955801104975,300611,美力科技,confirmed_rebound,2022-08-31,9.78,2022-08-31,9.5,2.9473684210526248,11.789473684210519,31.70381020848311,False,-7.2986,5.5746,1,1,1,100.0,35.911602209944746,35.911602209944746,5.052631578947375,2.9473684210526248,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-7.30%; 状态confirmed_rebound; 底部未确认
37,72.54194173495908,67.4049252123968,603178,圣龙股份,confirmed_rebound,2022-08-31,10.98,2022-08-31,10.96,0.1824817518248136,10.948905109489043,27.513227513227505,False,-9.6296,4.004,1,1,1,100.0,21.994535519125673,21.994535519125673,7.817518248175187,0.1824817518248136,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-9.63%; 状态confirmed_rebound; 底部未确认
38,72.43901312726814,67.87348254620123,300503,昊志机电,bottom_area,2022-08-31,9.8,2022-08-31,9.74,0.6160164271047278,6.262833675564676,32.31410701876303,False,-4.8544,6.1744,1,1,1,100.0,19.61290322580645,19.61290322580645,7.383983572895272,0.6160164271047278,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
39,72.1842916272718,67.50900492500801,300757,罗博特科,confirmed_rebound,2022-08-31,44.52,2022-08-31,44.29,0.5193045834274193,12.847143824791143,28.44911147011309,False,-10.6204,2.4972,2,2,2,100.0,10.016233200121208,10.161521161316717,7.48069541657258,0.5193045834274193,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-10.62%; 状态confirmed_rebound; 底部未确认
40,72.01264561556488,67.48929868080839,603260,合盛硅业,bottom_area,2022-08-31,112.2,2022-08-31,111.5,0.6278026905829622,6.008968609865473,27.50325097529259,False,-4.5431,0.7597,1,1,1,100.0,17.691875351277094,17.691875351277094,7.372197309417038,0.6278026905829622,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
41,71.91917307692309,66.59182692307692,002329,皇氏集团,confirmed_rebound,2022-08-31,8.02,2022-08-31,8.02,0.0,10.847880299251884,27.223230490018153,False,-9.9888,25.4305,1,1,1,100.0,27.644230769230756,27.644230769230756,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态confirmed_rebound; 底部未确认
42,71.0186359679648,66.33556126323312,002184,海得控制,bottom_area,2022-08-31,11.06,2022-08-31,11.01,0.454132606721169,5.358764759309717,30.711139081183138,False,-4.4905,3.9282,1,1,1,100.0,9.360126916975144,9.360126916975144,7.545867393278831,0.454132606721169,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-4.49%; 状态bottom_area; 底部未确认
